arrear	<font color=red>CHP:</font> acjjz\n<font color=blue>AYM:</font> anaña, anakiña\n<font color=orange>ENG:</font> to herd
lanudo	<font color=red>CHP:</font> tjapjachu\n<font color=blue>AYM:</font> thaphacha, t'arwarara\n<font color=orange>ENG:</font> very whoolly
todo	<font color=red>CHP:</font> tjappacha\n<font color=blue>AYM:</font> taqpacha\n<font color=orange>ENG:</font> all, everything
quemar	<font color=red>CHP:</font> tjapz\n<font color=blue>AYM:</font> laksuña, lakhäña\n<font color=orange>ENG:</font> to burn
preparar	<font color=red>CHP:</font> tjaquinz\n<font color=blue>AYM:</font> wakichaña\n<font color=orange>ENG:</font> to prepare
templado	<font color=red>CHP:</font> tjara\n<font color=blue>AYM:</font> janirak junt'u, janirak thaya, ilala\n<font color=orange>ENG:</font> moderate, mild
tallo aplanado	<font color=red>CHP:</font> tjara\n<font color=blue>AYM:</font> k'ullu phalt'achata\n<font color=orange>ENG:</font> flattened stem
mezclar, remover, revolver, limpiarse las orejas	<font color=red>CHP:</font> tjaranz\n<font color=blue>AYM:</font> qaywitaña, jirutataña, jinchu pichsusiña\n<font color=orange>ENG:</font> to mix, to stir, to clean ears
embarrado	<font color=red>CHP:</font> tjarsi\n<font color=blue>AYM:</font> ñiq'ichata\n<font color=orange>ENG:</font> covered in mud
revocado	<font color=red>CHP:</font> tjarta\n<font color=blue>AYM:</font> ñiqi suq'uta\n<font color=orange>ENG:</font> plastered
embarrar	<font color=red>CHP:</font> tjarz\n<font color=blue>AYM:</font> ñiqi suq'ukipaña\n<font color=orange>ENG:</font> to cover with mud
mezcla preparada	<font color=red>CHP:</font> tjarz̈ta\n<font color=blue>AYM:</font> ch'alita, ch'ali, chhaxru\n<font color=orange>ENG:</font> prepared mix
reir	<font color=red>CHP:</font> tjas\n<font color=blue>AYM:</font> laruña\n<font color=orange>ENG:</font> to laugh
reirse (varias personas)	<font color=red>CHP:</font> tjastjaas\n<font color=blue>AYM:</font> larusiña\n<font color=orange>ENG:</font> to laugh (several persons)
perder	<font color=red>CHP:</font> tjatanz = tjwatanz\n<font color=blue>AYM:</font> chhaqhaña\n<font color=orange>ENG:</font> to lose
reproducirse rápido	<font color=red>CHP:</font> tjatinz = tjwatinz\n<font color=blue>AYM:</font> miräña\n<font color=orange>ENG:</font> to reproduce quickly
cubrir para esconder	<font color=red>CHP:</font> tjats\n<font color=blue>AYM:</font> imantaña\n<font color=orange>ENG:</font> to cover in order to hide
olvidar	<font color=red>CHP:</font> tjatz = tjwatz\n<font color=blue>AYM:</font> armt'aña\n<font color=orange>ENG:</font> to forget
tragar	<font color=red>CHP:</font> tjatz = tjwatz\n<font color=blue>AYM:</font> uquntaña\n<font color=orange>ENG:</font> to swallow
enterrar	<font color=red>CHP:</font> tjatz = tjwatz\n<font color=blue>AYM:</font> allt'xaña, p'amp'antaña\n<font color=orange>ENG:</font> to bury
hacerse echar con agua, bautizar	<font color=red>CHP:</font> tjawkkatz\n<font color=blue>AYM:</font> sutichaña\n<font color=orange>ENG:</font> to be wetted with water, to baptize
holgado, suelto	<font color=red>CHP:</font> tjawkla\n<font color=blue>AYM:</font> llawchhu\n<font color=orange>ENG:</font> wide, loose
derramar, echar	<font color=red>CHP:</font> tjawkz\n<font color=blue>AYM:</font> willnaqaña, willstaña, warsuña\n<font color=orange>ENG:</font> to pour, to spill
hacer gritar, tocar (instrumento)	<font color=red>CHP:</font> tjawunz\n<font color=blue>AYM:</font> q'astayaña\n<font color=orange>ENG:</font> to make to scream, to play (instrument)
humear	<font color=red>CHP:</font> tjawz\n<font color=blue>AYM:</font> jiq'iyaña\n<font color=orange>ENG:</font> to smoke
patear	<font color=red>CHP:</font> tjecanz\n<font color=blue>AYM:</font> takintaña\n<font color=orange>ENG:</font> to kick
(personas, viento, lluvia) hacer caer (a hojas, frutas, cereales)	<font color=red>CHP:</font> tjecunz\n<font color=blue>AYM:</font> jaquqtayaña, anturt'aña\n<font color=orange>ENG:</font> (persons, wind, rain) to make fall (leaves, fruit, grain)
pisar	<font color=red>CHP:</font> tjecz\n<font color=blue>AYM:</font> taktaña\n<font color=orange>ENG:</font> to step on
cocer	<font color=red>CHP:</font> tjeeljz\n<font color=blue>AYM:</font> qhatiña\n<font color=orange>ENG:</font> to cook, to bake
apagar	<font color=red>CHP:</font> tjees\n<font color=blue>AYM:</font> jiwt'ayaña\n<font color=orange>ENG:</font> to turn off
encender	<font color=red>CHP:</font> tjeez\n<font color=blue>AYM:</font> qhaniri lampara\n<font color=orange>ENG:</font> to turn on (light), to light (candle)
mostrar	<font color=red>CHP:</font> tjejz̈nucha\n<font color=blue>AYM:</font> iñichaña\n<font color=orange>ENG:</font> to show, to demonstrate
inclinarse, apoyarse	<font color=red>CHP:</font> tjekz\n<font color=blue>AYM:</font> qimjataña, tanqxasiña, arimt'aña\n<font color=orange>ENG:</font> to bow, to lean
cocinar	<font color=red>CHP:</font> tjelinz\n<font color=blue>AYM:</font> phayaña\n<font color=orange>ENG:</font> to cook
envolver	<font color=red>CHP:</font> tjelz\n<font color=blue>AYM:</font> khiwiña khiwintaña\n<font color=orange>ENG:</font> to wrap up
aparecer, encontrar	<font color=red>CHP:</font> tjenz\n<font color=blue>AYM:</font> instaña, wayusiña\n<font color=orange>ENG:</font> to appear, to find
devolver	<font color=red>CHP:</font> tjepunz\n<font color=blue>AYM:</font> kutiyaña\n<font color=orange>ENG:</font> to return
palo de la rueca	<font color=red>CHP:</font> tjer wañu\n<font color=blue>AYM:</font> qapu lawa\n<font color=orange>ENG:</font> distaff stick
envolver con cuerda	<font color=red>CHP:</font> tjers\n<font color=blue>AYM:</font> yapintaña\n<font color=orange>ENG:</font> to wrap with rope
salir (sol, luna, estrellas)	<font color=red>CHP:</font> tjewcz\n<font color=blue>AYM:</font> jalsu\n<font color=orange>ENG:</font> to come out (sun, moon, stars)
cantar	<font color=red>CHP:</font> tjewcz\n<font color=blue>AYM:</font> kirkiña q'uchiña\n<font color=orange>ENG:</font> to sing
desremangar	<font color=red>CHP:</font> tjewcz\n<font color=blue>AYM:</font> llint'aqasiña\n<font color=orange>ENG:</font> to roll down (sleeves)
esperar	<font color=red>CHP:</font> tjewz\n<font color=blue>AYM:</font> suyt'aña\n<font color=orange>ENG:</font> to wait
hacer conocer, presentar, mostrar	<font color=red>CHP:</font> tjeyanz\n<font color=blue>AYM:</font> iñist'aña\n<font color=orange>ENG:</font> to introduce, to show
tocar, mover	<font color=red>CHP:</font> tjiisinz = tjizinz\n<font color=blue>AYM:</font> t'uxpiña, llujchiña, unuqtayaña\n<font color=orange>ENG:</font> to touch, to move
adorar y pedir	<font color=red>CHP:</font> tjiiz\n<font color=blue>AYM:</font> mayiña\n<font color=orange>ENG:</font> to worship and ask favors of
mover, hurgar	<font color=red>CHP:</font> tjiiz\n<font color=blue>AYM:</font> unuqiña, llujchiña\n<font color=orange>ENG:</font> to move, handle, monkey kith
hacer correr a los animales	<font color=red>CHP:</font> tjirans\n<font color=blue>AYM:</font> alispayaña\n<font color=orange>ENG:</font> to make animals run
espantar	<font color=red>CHP:</font> tjirkatz\n<font color=blue>AYM:</font> anamuchaña, alispayaña\n<font color=orange>ENG:</font> to frighten, to scare
rito para la chacra	<font color=red>CHP:</font> tjis\n<font color=blue>AYM:</font> luqtaña\n<font color=orange>ENG:</font> ritual for field
colocar adornos en pelo de otra persona	<font color=red>CHP:</font> tjitsina\n<font color=blue>AYM:</font> t'ikhanchaña\n<font color=orange>ENG:</font> to put adornments in somebody else's hair
ponerse adornos en el cabello	<font color=red>CHP:</font> tjitz\n<font color=blue>AYM:</font> t'ikhanchasiña\n<font color=orange>ENG:</font> to put adornments in the hair
cansar	<font color=red>CHP:</font> tjitz\n<font color=blue>AYM:</font> qariña\n<font color=orange>ENG:</font> to tire out
encargar a través de otra persona	<font color=red>CHP:</font> tjiyanz\n<font color=blue>AYM:</font> iwxaña\n<font color=orange>ENG:</font> to order via another person
tocar, mover	<font color=red>CHP:</font> tjizinz = tjiisinz\n<font color=blue>AYM:</font> t'uxpiña, llujchiña, unuqtayaña\n<font color=orange>ENG:</font> to touch, to move
hablar en voz alta (a los sordos)	<font color=red>CHP:</font> tjjaazna\n<font color=blue>AYM:</font> jach'at arusiña, paqallis arusiña\n<font color=orange>ENG:</font> to talk really loudly (to persons who don't hear well)
acostarse	<font color=red>CHP:</font> tjjaz = ajps\n<font color=blue>AYM:</font> ikintasiña\n<font color=orange>ENG:</font> to lie down (to sleep)
encargar	<font color=red>CHP:</font> tjjiiz\n<font color=blue>AYM:</font> jaytasiña\n<font color=orange>ENG:</font> to entrust
correr aquí y allí para escapar (animales), ponerse nervioso	<font color=red>CHP:</font> tjjojtiz = tjojknakz\n<font color=blue>AYM:</font> thuqhnaqaña\n<font color=orange>ENG:</font> to run in all directions to escape (animals), to get nervous
envolver para torcelar	<font color=red>CHP:</font> tjjutz\n<font color=blue>AYM:</font> paytaña\n<font color=orange>ENG:</font> to wind in order to twist
vestir a otra persona	<font color=red>CHP:</font> tjjutz\n<font color=blue>AYM:</font> isintayaña\n<font color=orange>ENG:</font> to dress another person
entibiar	<font color=red>CHP:</font> tjjutz\n<font color=blue>AYM:</font> thaytayaña\n<font color=orange>ENG:</font> to make lukewarm
temer alturas, tener vértigo de alturas	<font color=red>CHP:</font> tjjuyunz\n<font color=blue>AYM:</font> pata jiwtayasiri\n<font color=orange>ENG:</font> to be afraid of heights
ayudar a cargar a una persona	<font color=red>CHP:</font> tjjuz̈\n<font color=blue>AYM:</font> q'ip yanapt'aña, q'ipiñ yanapt'aña\n<font color=orange>ENG:</font> to help a person put a bundle on his back
regar	<font color=red>CHP:</font> tjjuz̈\n<font color=blue>AYM:</font> ch'axchuña, qarpaña, umaltpaña\n<font color=orange>ENG:</font> to water
ser llevado por agua/viento	<font color=red>CHP:</font> tjjuz̈katz\n<font color=blue>AYM:</font> uman apata, wayran kallata\n<font color=orange>ENG:</font> to be carried away by water/wind, to have blown off
girar la rueca	<font color=red>CHP:</font> tjojkjunz\n<font color=blue>AYM:</font> thuqhuyaña\n<font color=orange>ENG:</font> to rotate the distaff
correr aquí y allí para escapar (animales), ponerse nervioso	<font color=red>CHP:</font> tjojknakz = tjjojtiz\n<font color=blue>AYM:</font> thuqhnaqaña\n<font color=orange>ENG:</font> to run in all directions to escape (animals), to get nervous
comenzar a correr, apurrarse	<font color=red>CHP:</font> tjojktiz\n<font color=blue>AYM:</font> thuqhtaña\n<font color=orange>ENG:</font> to begin to run, jump up, to hurry
volcar	<font color=red>CHP:</font> tjojkz = tjokz\n<font color=blue>AYM:</font> k'umpuña, k'umpuraña\n<font color=orange>ENG:</font> to overturn
reconocer huellas, rastrear	<font color=red>CHP:</font> tjojkz = tjokz\n<font color=blue>AYM:</font> kayu taki t'aqtaña, sarnaqat int'aña\n<font color=orange>ENG:</font> to recognize tracks/footprints, to track
guardar secreto	<font color=red>CHP:</font> tjojkz = tjokz\n<font color=blue>AYM:</font> imantaña\n<font color=orange>ENG:</font> to keep a secret
hacer caer objeto de otra persona	<font color=red>CHP:</font> tjojtanz\n<font color=blue>AYM:</font> jaquqtayaña\n<font color=orange>ENG:</font> to cause something of another person to fall
caer, dejar caer	<font color=red>CHP:</font> tjojts = tjojtz\n<font color=blue>AYM:</font> jaquqtaña, anturtaña\n<font color=orange>ENG:</font> to fall, to drop
calumniar	<font color=red>CHP:</font> tjojts = tjojtz\n<font color=blue>AYM:</font> jaqt'aña, tumpaña\n<font color=orange>ENG:</font> to calumniate, to slander
botar	<font color=red>CHP:</font> tjojts = tjojtz\n<font color=blue>AYM:</font> jaqumukaña, jaqt'aña\n<font color=orange>ENG:</font> to throw away
calumniador	<font color=red>CHP:</font> tjojtsñi\n<font color=blue>AYM:</font> aka ch'usat jaquri, inapinik jaqt'iri\n<font color=orange>ENG:</font> slanderer
culpar	<font color=red>CHP:</font> tjojtuns\n<font color=blue>AYM:</font> juchachaña, tumpaña\n<font color=orange>ENG:</font> to accuse, to blame
caer, dejar caer	<font color=red>CHP:</font> tjojtz = tjojts\n<font color=blue>AYM:</font> jaquqtaña, anturtaña\n<font color=orange>ENG:</font> to fall, to drop
calumniar	<font color=red>CHP:</font> tjojtz = tjojts\n<font color=blue>AYM:</font> jaqt'aña, tumpaña\n<font color=orange>ENG:</font> to calumniate, to slander
botar	<font color=red>CHP:</font> tjojtz = tjojts\n<font color=blue>AYM:</font> jaqumukaña, jaqt'aña\n<font color=orange>ENG:</font> to throw away
caerse en la cara	<font color=red>CHP:</font> tjoks\n<font color=blue>AYM:</font> innaqa jawq'asiña\n<font color=orange>ENG:</font> to fall on one's face
volcar	<font color=red>CHP:</font> tjokz = tjojkz\n<font color=blue>AYM:</font> k'umpuña, k'umpuraña\n<font color=orange>ENG:</font> to overturn
reconocer huellas, rastrear	<font color=red>CHP:</font> tjokz = tjojkz\n<font color=blue>AYM:</font> kayu taki t'aqtaña, sarnaqat int'aña\n<font color=orange>ENG:</font> to recognize tracks/footprints, to track
guardar secreto	<font color=red>CHP:</font> tjokz = tjojkz\n<font color=blue>AYM:</font> imantaña\n<font color=orange>ENG:</font> to keep a secret
color café	<font color=red>CHP:</font> tjola\n<font color=blue>AYM:</font> ch'uphi, ch'umpi\n<font color=orange>ENG:</font> medium brown
hacer secar, secar	<font color=red>CHP:</font> tjomsiz\n<font color=blue>AYM:</font> wañachiña, lupirayaña\n<font color=orange>ENG:</font> to dry (something)
trenzar el pelo con cordel para aumentarlo	<font color=red>CHP:</font> tjomz\n<font color=blue>AYM:</font> tullmant uchasiña\n<font color=orange>ENG:</font> to braid the hair with hair extension
¡que venga!	<font color=red>CHP:</font> tjonaj cjee\n<font color=blue>AYM:</font> jutpanaya\n<font color=orange>ENG:</font> let him/her come!
caito para trenzar	<font color=red>CHP:</font> tjoni\n<font color=blue>AYM:</font> mismita\n<font color=orange>ENG:</font> wool thread for braiding
visitar	<font color=red>CHP:</font> tjonz\n<font color=blue>AYM:</font> tumpaña\n<font color=orange>ENG:</font> to visit
rayar con azadón	<font color=red>CHP:</font> tjooz\n<font color=blue>AYM:</font> raxsuña\n<font color=orange>ENG:</font> to make lines with a large hoe
poner al cuello de otro	<font color=red>CHP:</font> tjorcanz\n<font color=blue>AYM:</font> warkhuntaña\n<font color=orange>ENG:</font> to put around somebody else's neck
doblar	<font color=red>CHP:</font> tjotz\n<font color=blue>AYM:</font> payar p'aktaña\n<font color=orange>ENG:</font> to double
joven varón	<font color=red>CHP:</font> tjowa\n<font color=blue>AYM:</font> wayna\n<font color=orange>ENG:</font> boy
sacrificar animal cuando alguien muere	<font color=red>CHP:</font> tjowanz\n<font color=blue>AYM:</font> wilancht'aña\n<font color=orange>ENG:</font> to sacrifice an animal when somebody dies
ser joven, llegar a ser joven	<font color=red>CHP:</font> tjowanz\n<font color=blue>AYM:</font> waynar puriña\n<font color=orange>ENG:</font> to be young, to become a young adult
cambiar de nombre	<font color=red>CHP:</font> tju nutz\n<font color=blue>AYM:</font> mayj sutichaña, sut kampiytasiña\n<font color=orange>ENG:</font> to change one's name
ladrar	<font color=red>CHP:</font> tjuctjucz\n<font color=blue>AYM:</font> jinq'aña\n<font color=orange>ENG:</font> to bark
asar carne	<font color=red>CHP:</font> tjucz\n<font color=blue>AYM:</font> kankaña\n<font color=orange>ENG:</font> to roast meat
ladrar	<font color=red>CHP:</font> tjucz\n<font color=blue>AYM:</font> jinq'aña\n<font color=orange>ENG:</font> to bark
polilla	<font color=red>CHP:</font> tjujta\n<font color=blue>AYM:</font> thutha, khuta\n<font color=orange>ENG:</font> moth
escupir	<font color=red>CHP:</font> tjujtz\n<font color=blue>AYM:</font> thusaña\n<font color=orange>ENG:</font> to spit
hacer sentar	<font color=red>CHP:</font> tjulz\n<font color=blue>AYM:</font> q'untayaña\n<font color=orange>ENG:</font> to seat, to make sit down
aplanar, alisar	<font color=red>CHP:</font> tjullz\n<font color=blue>AYM:</font> pampachaña\n<font color=orange>ENG:</font> to level, to smooth
esposa	<font color=red>CHP:</font> tjun\n<font color=blue>AYM:</font> warmi\n<font color=orange>ENG:</font> wife
manear una pata	<font color=red>CHP:</font> tjuncjatz = tjuncjutz\n<font color=blue>AYM:</font> thunkhuchaña\n<font color=orange>ENG:</font> to tie up one leg, to hobble (animals)
saltar, saltar con un pie	<font color=red>CHP:</font> tjuncuz = tjunquiz\n<font color=blue>AYM:</font> thunkhuña\n<font color=orange>ENG:</font> to hop, to jump, to jump on one foot
niña	<font color=red>CHP:</font> tjunmat\n<font color=blue>AYM:</font> imillanika\n<font color=orange>ENG:</font> little girl
sol, día, deidad masculina	<font color=red>CHP:</font> tjuñi\n<font color=blue>AYM:</font> inti, uru\n<font color=orange>ENG:</font> sun, day, male god
aureola del sol	<font color=red>CHP:</font> tjuñi kjuychi\n<font color=blue>AYM:</font> khurmin muytata\n<font color=orange>ENG:</font> sun aureole
puesta del sol, ocaso	<font color=red>CHP:</font> tjuñkata\n<font color=blue>AYM:</font> inti mantxi\n<font color=orange>ENG:</font> sunset
salida del sol, amanecer	<font color=red>CHP:</font> tjuñtjekwa\n<font color=blue>AYM:</font> inti mistuta\n<font color=orange>ENG:</font> sunrise
recordar	<font color=red>CHP:</font> tjuñz\n<font color=blue>AYM:</font> amtayaña\n<font color=orange>ENG:</font> to remind
duro, fuerte, resistente	<font color=red>CHP:</font> tjupi\n<font color=blue>AYM:</font> thuru, ch'ullqi\n<font color=orange>ENG:</font> hard, strong, resistant
probar (comida)	<font color=red>CHP:</font> tjupz\n<font color=blue>AYM:</font> mallt'aña\n<font color=orange>ENG:</font> to taste
nido	<font color=red>CHP:</font> tjura\n<font color=blue>AYM:</font> thapa\n<font color=orange>ENG:</font> nest
palo fuerte, persona fuerte	<font color=red>CHP:</font> tjurmitu\n<font color=blue>AYM:</font> thuru lawa\n<font color=orange>ENG:</font> strong pole, strong person
defensor, durable, duradero	<font color=red>CHP:</font> tjurñi\n<font color=blue>AYM:</font> jxayataki\n<font color=orange>ENG:</font> protecting, durable, lasting
rehusar, negar, rechazar	<font color=red>CHP:</font> tjurt'az\n<font color=blue>AYM:</font> thurt'aña\n<font color=orange>ENG:</font> to refuse, to deny, to reject
pararse firme	<font color=red>CHP:</font> tjurt'iz\n<font color=blue>AYM:</font> thurt'asiña\n<font color=orange>ENG:</font> to stand firm
defender	<font color=red>CHP:</font> tjurz\n<font color=blue>AYM:</font> tuwaña, jark'aña, tuwaqaña\n<font color=orange>ENG:</font> to defend
esparcir	<font color=red>CHP:</font> tjurz\n<font color=blue>AYM:</font> tilamukaña\n<font color=orange>ENG:</font> to scatter
tardar	<font color=red>CHP:</font> tjurz\n<font color=blue>AYM:</font> ukch'ay chhaqhaña, ch'uch'ari llanisnaqtaña\n<font color=orange>ENG:</font> to delay
ponerse terco/rígido	<font color=red>CHP:</font> tjurz\n<font color=blue>AYM:</font> pirqa tukuña\n<font color=orange>ENG:</font> to become stubborn/stiff
tratar, intentar	<font color=red>CHP:</font> tjurz\n<font color=blue>AYM:</font> thuriña, yant'aña\n<font color=orange>ENG:</font> to try
planta medicinal con mal olor	<font color=red>CHP:</font> tjusca tjusca\n<font color=blue>AYM:</font> thuska thuska\n<font color=orange>ENG:</font> medicinal, big-leafed plant with foul odor
calentar	<font color=red>CHP:</font> tjutjunz\n<font color=blue>AYM:</font> junt'uyaña, junt'uttaña\n<font color=orange>ENG:</font> to warm up, to heat
enderezar	<font color=red>CHP:</font> tjutz\n<font color=blue>AYM:</font> chiqapt'ayaña\n<font color=orange>ENG:</font> to straighten, to direct
cambiar de opinión	<font color=red>CHP:</font> tjutz\n<font color=blue>AYM:</font> yaqh amtaña\n<font color=orange>ENG:</font> to change one's mind
entibiar	<font color=red>CHP:</font> tjutz\n<font color=blue>AYM:</font> junt'uyaña\n<font color=orange>ENG:</font> to make lukewarm
nombre	<font color=red>CHP:</font> tjuu\n<font color=blue>AYM:</font> suti\n<font color=orange>ENG:</font> name
hinchado	<font color=red>CHP:</font> tjuuchi\n<font color=blue>AYM:</font> p'usuta\n<font color=orange>ENG:</font> swollen
oficializar el nombre, recibir el bautismo	<font color=red>CHP:</font> tjuukjayz\n<font color=blue>AYM:</font> sutichaña\n<font color=orange>ENG:</font> to officialize name, to be baptized
colocar nombre (al nacer)	<font color=red>CHP:</font> tjuuskatz\n<font color=blue>AYM:</font> sutichaña\n<font color=orange>ENG:</font> to name (a baby)
hinchar (cuerpo)	<font color=red>CHP:</font> tjuuz\n<font color=blue>AYM:</font> p'usuta\n<font color=orange>ENG:</font> to swell (body)
torcelar hilo	<font color=red>CHP:</font> tjuwans\n<font color=blue>AYM:</font> k'anthiña\n<font color=orange>ENG:</font> to twist thread
enganchar a las aves con boleadoras	<font color=red>CHP:</font> tjuz\n<font color=blue>AYM:</font> sipintaña, liwt'aña\n<font color=orange>ENG:</font> to catch birds with bolas
piedra para moler	<font color=red>CHP:</font> tjwaaj = tjaajj\n<font color=blue>AYM:</font> qala iyañataki\n<font color=orange>ENG:</font> millstone
criar (personas + animales)	<font color=red>CHP:</font> tjwakinz = tjakinz\n<font color=blue>AYM:</font> uywaña\n<font color=orange>ENG:</font> to raise, to bring up
calentar	<font color=red>CHP:</font> tjwakinz = tjakinz\n<font color=blue>AYM:</font> junt'uyaña\n<font color=orange>ENG:</font> to heat
hacer animales pasar el agua	<font color=red>CHP:</font> tjwakz = tjakz\n<font color=blue>AYM:</font> pasarayaña\n<font color=orange>ENG:</font> to make animals cross water
agrandar	<font color=red>CHP:</font> tjwakz = tjakz\n<font color=blue>AYM:</font> jach'aptayaña\n<font color=orange>ENG:</font> to enlarge
perder	<font color=red>CHP:</font> tjwatanz = tjatanz\n<font color=blue>AYM:</font> chhaqhaña\n<font color=orange>ENG:</font> to lose
reproducirse rápido	<font color=red>CHP:</font> tjwatinz = tjatinz\n<font color=blue>AYM:</font> miräña\n<font color=orange>ENG:</font> to reproduce quickly
olvidar	<font color=red>CHP:</font> tjwatz = tjatz\n<font color=blue>AYM:</font> armt'aña\n<font color=orange>ENG:</font> to forget
tragar	<font color=red>CHP:</font> tjwatz = tjatz\n<font color=blue>AYM:</font> uquntaña\n<font color=orange>ENG:</font> to swallow
enterrar	<font color=red>CHP:</font> tjwatz = tjatz\n<font color=blue>AYM:</font> allt'xaña, p'amp'antaña\n<font color=orange>ENG:</font> to bury
huallata (ganso andino)	<font color=red>CHP:</font> tojaraca\n<font color=blue>AYM:</font> wallata\n<font color=orange>ENG:</font> Andean goose (large black and white bird)
dividido, repartido	<font color=red>CHP:</font> tojjta = tojta\n<font color=blue>AYM:</font> jaljata, taqata, lakita\n<font color=orange>ENG:</font> divided
otro, otra persona	<font color=red>CHP:</font> tojjta, tojta\n<font color=blue>AYM:</font> yaqha (jaqi)\n<font color=orange>ENG:</font> the other (person)
hoy día	<font color=red>CHP:</font> tojjtjuñi = tonjjtjuñi\n<font color=blue>AYM:</font> jichüru\n<font color=orange>ENG:</font> today
repartir	<font color=red>CHP:</font> tojjz = tojz\n<font color=blue>AYM:</font> jaljanuqaña\n<font color=orange>ENG:</font> to divide
dividido, repartido	<font color=red>CHP:</font> tojta = tojjta\n<font color=blue>AYM:</font> jaljata, taqata, lakita\n<font color=orange>ENG:</font> divided
pututu	<font color=red>CHP:</font> tojti = tojtji\n<font color=blue>AYM:</font> pututo\n<font color=orange>ENG:</font> type of horn
dividir la herencia	<font color=red>CHP:</font> tojtiz\n<font color=blue>AYM:</font> jaljanuqaña\n<font color=orange>ENG:</font> to divide an inheritance
pututu	<font color=red>CHP:</font> tojtji = tojti\n<font color=blue>AYM:</font> pututo\n<font color=orange>ENG:</font> type of horn
vender parte de sus alimentos (a quien lo necesita)	<font color=red>CHP:</font> tojunz\n<font color=blue>AYM:</font> alxaña, partinuqaña\n<font color=orange>ENG:</font> to sell part of one's food (to person who needs it)
repartir	<font color=red>CHP:</font> tojz = tojjz\n<font color=blue>AYM:</font> jaljanuqaña\n<font color=orange>ENG:</font> to divide
uno que se enoja facilmente	<font color=red>CHP:</font> tokila\n<font color=blue>AYM:</font> tiptasiri\n<font color=orange>ENG:</font> hot tempered person
guiar en el camino	<font color=red>CHP:</font> tokiñchiz\n<font color=blue>AYM:</font> iñacht'iri, irpaña\n<font color=orange>ENG:</font> to give directions (road)
decir/aconsejar de guardar un secreto	<font color=red>CHP:</font> toktayz\n<font color=blue>AYM:</font> ar churaña\n<font color=orange>ENG:</font> to ask/to advise to keep a secret
palo de bambú para tejer	<font color=red>CHP:</font> tokura\n<font color=blue>AYM:</font> tuqura\n<font color=orange>ENG:</font> bamboo stick for weaving
traje ancho y largo (cf. cura)	<font color=red>CHP:</font> tola\n<font color=blue>AYM:</font> lunqhu isi\n<font color=orange>ENG:</font> wide and long dress (cf. priest)
saludo entre concuñados	<font color=red>CHP:</font> tolkamazi\n<font color=blue>AYM:</font> tollqamas\n<font color=orange>ENG:</font> greeting between husband/wife of one's sister/brother-in-law
pedir regalo	<font color=red>CHP:</font> tomanjz\n<font color=blue>AYM:</font> yanak mayiña\n<font color=orange>ENG:</font> to ask for a gift
tomar prestado para otro	<font color=red>CHP:</font> tomsinz\n<font color=blue>AYM:</font> yaqhataki mayt'asiña\n<font color=orange>ENG:</font> to borrow for another person
hacerse invitar	<font color=red>CHP:</font> tomz\n<font color=blue>AYM:</font> waqisiña\n<font color=orange>ENG:</font> to let them invite you
hoy día	<font color=red>CHP:</font> tonjjtjuñi = tojjtjuñi\n<font color=blue>AYM:</font> jichüru\n<font color=orange>ENG:</font> today
recibir	<font color=red>CHP:</font> tonjz\n<font color=blue>AYM:</font> waqiña\n<font color=orange>ENG:</font> to receive
ombligo	<font color=red>CHP:</font> toñi\n<font color=blue>AYM:</font> kururu\n<font color=orange>ENG:</font> navel
regazo	<font color=red>CHP:</font> topz\n<font color=blue>AYM:</font> jirphi\n<font color=orange>ENG:</font> lap
empujar, pujar	<font color=red>CHP:</font> torz\n<font color=blue>AYM:</font> miqaña\n<font color=orange>ENG:</font> to push, to struggle
mentira	<font color=red>CHP:</font> toscara\n<font color=blue>AYM:</font> k'ari\n<font color=orange>ENG:</font> lie
nuca	<font color=red>CHP:</font> tota\n<font color=blue>AYM:</font> ati\n<font color=orange>ENG:</font> nape of neck
pututu	<font color=red>CHP:</font> totji\n<font color=blue>AYM:</font> pututu\n<font color=orange>ENG:</font> small horn
variedad de yareta (arbusto de color verde oscuro)	<font color=red>CHP:</font> toyi\n<font color=blue>AYM:</font> pampa yarita\n<font color=orange>ENG:</font> type of dark green bush
anteayer	<font color=red>CHP:</font> tucamajj\n<font color=blue>AYM:</font> payuru\n<font color=orange>ENG:</font> day before yesterday
tocayo	<font color=red>CHP:</font> tucayu\n<font color=blue>AYM:</font> tukayu\n<font color=orange>ENG:</font> to have the same names, namesake
defender con palabras, hablar en favor de	<font color=red>CHP:</font> tucjataz\n<font color=blue>AYM:</font> tukxataña\n<font color=orange>ENG:</font> to defend with words, to speak in favor of
terminar	<font color=red>CHP:</font> tucuyz = z̈eerz = z̈erz\n<font color=blue>AYM:</font> tukuña\n<font color=orange>ENG:</font> to finish
agonizar, estar por morir	<font color=red>CHP:</font> tucuz\n<font color=blue>AYM:</font> jakapachaña\n<font color=orange>ENG:</font> to be dying
pozo	<font color=red>CHP:</font> tuj\n<font color=blue>AYM:</font> phuju\n<font color=orange>ENG:</font> well, water hole
tío	<font color=red>CHP:</font> tulu\n<font color=blue>AYM:</font> tiyu\n<font color=orange>ENG:</font> uncle
saludo a tío	<font color=red>CHP:</font> tulull\n<font color=blue>AYM:</font> tiyu\n<font color=orange>ENG:</font> greeting to uncle
ordenar al perro	<font color=red>CHP:</font> tumalz\n<font color=blue>AYM:</font> tumalaña\n<font color=orange>ENG:</font> to command a dog
