a'ạjtaba'	Mata caballo.
ji'munuyaqui	Amutar algo filo.
jị'muqui	Cocer algo como: comida y otros.
jị'muquis	Cocina.
jin	Hueso.
ji'na'aquí	Vivir o estar con una persona melancólica o un chico exigente.
ji'na'aquí	Hacer nacer una cosa nueva.
ji'nabaqui	Echar gallina a empollar, encubar.
jinac	Arroyo.
jị'naijcaqui	Esperar hasta que amanece.
jị'naijtaqui	Hacerlo ver algo, mostrar.
ji'naijbun	Aparecer después de mucho tiempo.
ji'naijti	Serviste.
ji'na'iti	Persona exigente.
jijchacaqui	Corretear, perseguir alguien de la familia.
jíno	Ano.
jị'nobaqui	Hacerlo cruzar rio.
ji'nopjudyiĉam'	Hagan nos el favor de cruzarnos.
ji'no'baqui - beja	Hacerlo cansar.
ji'noi'quete	Asustar, dar miedo.
ji'ñäbaqui'	Animal que está dispuesta a tener relaciones sexuales.
ji'ñäbe', ji'ñäpte	Hacerlo hinchar.
ji'ñäpsin'	Hacernos hinchar lo que nos pica (peto).
jị'ñäbeyacsi	Contagiar enfermedad a otros.
ji'ñe'te	Convulsionar, dar ataque (epilepsia);
sọyo' ji'ñe'ete	Lo convulsionó el demonio.
jị'ñäbaqui'	Animal que está en sélo.
jị'ñibe'caqui	Hacerlo sufrir, castigar demasiado.
jị'oque'	Que ensucia.
jị'ocja'	Ensuciamos.
ji'paca'cayibun	Persona que se refresca en la sombra.
ji'paca'cayibujsha'	Refrescarnos en la sombra.
ji'paca'cayiti	Refrescar, aliviar (del calor).
ji'pacajtaqui	Aliviar, consolar.
ji'pai'que' - queja'	Desparramar.
ji'p̂ai'caqui	Hacerlo subir o bajar de un vehículo, canoa, etc.
ji'p̂anacdye'	Criado.
ji'p̂añe', ji'p̂ante	Hacer criar como hijo.
ji'p̂ashe'	Fermentar.
ji'pechte - che'	Hacer hundir cosa u objeto.
ji'penacdye'	Derrota, prueba.
ji'penja- ja'	Lo derrotamos o ganamos una justicia.
ji'pente-ñe'	Lo venció, lo derrotó.
ji'penac	Derrotar, ganarle algo.
ji'pen'ti	Defender.
ji'pen'ti p̂eyacdye'ya'	Defender con palabras.
ji'pen'tidyes	Arma o otra cosa para defenderse.
ji'p̂eyaque'	Hacerlo hablar.
ji'piñituti	Hacerse curar.
jị'pi'tsuyaqui	Ablandar, poner blando o flexible alguna cosa.
ji'p̂o'chiti - ti'	Tener tratamiento inyectable.
ji'p̂o'chti	Hacerse inyectar.
ji'poijque'	Disolver, derretir.
ji'puijdayaqui	Dejar polvo.
ji'p̂uijdaye' jac	Hacer polvo la tierra.
ji'p̂uti	Ahogarse en el agua.
jip̂ujtye'	Hacer inflar.
jiputaqui	Masturbar (varón).
jịquei'	Se enfría.
jị'jịqui	Hacer enfriar.
jíquei'	Desmayado, listo a morir.
jiquej	Muestra el pasado, "había sido".
jíquej jadyiqui- qui'	Estuvo desmayado.
jiquej yi	Desmayar.
ji'quepti-ti'	Hacerse sacar foto.
ji'quepte	Hacerle tomar foto a alguien.
ji'queptaqui	Hacer sacar foto Ej: Hijo, nietos, etc.
ji'querechayaqui	Hacer ganar plata.
ji'queveye'	Hacerla buscar algo.
jíquin	Ir a avisar.
jiquique'	Fue a dejarla.
jiquicte	Ir a dejar una persona.
jicajquiqui	Ir a dejar algo de carga.
jị'quiqui, jị'quite	Hacerla vestir.
jị'qui'i', jị'quija'	Vestirla.
jiquiyecte	Dejárselo algo a alguien.
jiquiyeĉajte, jiquiyeĉan', jiquiyacsequi, jiquiyacseĉa'	Ir a dejárselo algo a una persona o a varias personas.
jiquiyeĉajte pe're	Ir a dejárselo plátano.
ji'rä'aquí	Terminar todo.
ji'räsh yụ'taqui	Ponerlo erecto.
ji'rébaqui, ji'rebeja	Ir a encontrar a alguien que viene.
jirijriij	Oler feo, olor de puerco de tropa.
jị'ruijtaqui	Hacerle decir la verdad.
jị'sa'	Humo.
jị'saij - sai'	Que humea.
jị'sajsai'	Neblina.
jị'sájsaij -sai'	Oler a humo.
ji'sáñeyaqui	Hacerle escribir.
ji'sáñiti	Inscribirse, presentarse al cuartel.
ji'sei'taqui	Safar, circuncidar.
ji'se'jeyaqui	Hacer, convencer o animarlo.
ji'se'vaqui	Escucha.
ji'site'	Lo hace entrar.
ji'sisja	Lo hacemos entrar.
ji'site', ji'siste	Lo hace entrar.
ji'sisye	Te aré entrar.
ji'säsunac	Los hizo entrar.
ji'sässin'	Nos hizo entrar.
ji'säsdyiĉa'	Nos hacemos entrar en una actividad.
ji'säsdyi -dyi'	Que entra en una actividad.
ji'säcsac, ji'säcse', ji'säcsete	Alimentarlo, darle de comer.
ji'säñéja	Anestesiar.
ji'sästi	Integrarse al grupo.
ji'sitaqui	Dar permiso para entrada o introducir una cosa.
ji'shapuye'	Hacerla enloquecer.
jishdyiti-ti'	Peinarse.
jishdaqui'	Peinar a alguien de la familia.
jishdyisin'	Peinado por otra persona.
jịshin'je'	Quemar cabello.
jishi'shiij- shii'	Estar medio borracho.
ji'shuc	Sobra.
ji'shuque'	Que sobra.
ji'shucdyi'	Lo que sobrar.
ji'shucdyidye'	Sobra.
ji'shucaqui	Hacer aserrar con otra persona (madera).
ji'shu'caqui	Hacerlo emborrachar.
ji'shu'queja-a'	Nosotros lo hacemos emborrachar.
jishujsin'	Viene a llevarnos.
jishun'	Vuelva a llevarme.
ji'shupque'	Saca r afuera alguna cosa.
ji'shupte	Sacar afuera a una persona.
ji'shuptiñe'	Ustedes lo están haciendo salir.
jítacdyi'	Avísame cuando salgas.
jitajquiti	Venir a dejar alguna cosa.
jítaqui, jítaĉa'	Tener muchas plantaciones para cosechar.
ji'taraqui	Entristecer.
ji'tashdyi	Guiar, adelantar.
ji'tashiti	Ir adelante.
ji'tashja-ja'	Mandar adelante.
ji'tätsaqui	Acortar un compromiso o contrato.
ji'tä'tsiti	Hacer recortar cabello.
ji'ti aquí	Nombrar, poner nombre.
jítidyeij- dyei'	Avisar uno al otro.
jitishajte	Vino a dejarlo.
jitishan'	Vino a dejarla.
ji'toco'taqui	Que se deja tocar.
ji'toco'taqui'	Que se deja tocar, o manosear, (sentido sexual).
ji'tofeye'	Hacerlo encegar.
ji'tomaqui	Hacerlo tumbar en el agua algo propio.
ji'tome'- tomte	Hacerla ahogar, o caer al agua.
ji'tom'taqui	Poner o echar remedios por gota en el ojo o en una herida.
ji'to'ojcạti	Llegar a ser tonto flojo.
ji'to'ti	Se logra avanzar.
jitu'baqui	Estar botando algo.
jitupje'	Botar algo.
ji'tuqui	Mandar algo con alguien.
ji'tututi'	Traer consigo.
ji'tui'	Mandar con alguien.
ji'tuyaqui	Mandar con otra una encomienda para alguien de su familia.
jijtsaebajte	Resucitarlo.
jị'tsa'aquí	Despertarlo.
jitsaqui	Animal que busca alimento para su subsistir en el frio.
jitsaqui	Morder algo propio.
ji'tse'aquí	Reproducir, crecer, extender.
jị'tsicaye'	Hacer avergonzar.
ji'tsicayin	Te hizo dar vergüenza.
ji'tsi'yaqui'	Mamar, dar de chupar.
ji'tsivujtye'	Enfriar.
jị'tsivujtaqui	Enfriar algo propio.
jị'tsivujtaquis	Heladera.
jị'tŝoqui, ji'tŝun	Lograr, acertar, hacer caer.
ji'tŝuyinac	Contagiar.
ji'tyäpe'	Callar.
ji'tye', ji'tyequi	Hacerlo tomar.
ji'tyeja	Hacerlo beber.
ji'tyete	Hacer tomar, convidar a tomar.
ji'tyuqui	Hacer tener relaciones sexuales.
ji'tyuyete	La mujer entrega al hombre hacer relaciones.
ji'tyuti', ji'tyuyisin'	Hacer tener relaciones sexuales, tener relaciones sexuales.
ji'ujaqui	Hacerlo matar.
ji'unaqui -ñeja	Hacer trabajar.
jịva'chai'	Tumbar (palo, animal, etc.).
ji'vai'ñe'	Hervir.
ji'vanchui'	Hacerlo abrir: cartón, maleta.
ji'vämacsity	Oficial registro civil.
ji'vämaqui -meja	Casarse, hacer casar.
ji'venaqui, ji'veñe', ji'venjan	Acarrear.
ji'ventucsity	Brujo, hechicero que llama a los difuntos.
ji'ventuqui	Hacer llamar (especialmente se refiere a los difuntos).
ji'vei'	Ponerle carga (persona, animal).
jivin	Pasto cortador.
ji'vorvete -ve'	Llamar, mandar a llamar.
ji'yacĉhuyaqui	Hacer dejar, hacer salir.
jiya'dyeye'	Pagar.
jiya'dyeyaqui	Pagar (persona, deuda).
ji'yajcati	Dejarse quedar en el medio camino.
ji'yajtuti	Quedar (cuando está de venida).
ji'ye', ji'yeja	Imitar, remedar.
ji'yaquintuqui	Hacer olvidar.
ji'yäjcaqui	Haber endurar algo propio.
yäjqueja'	La enduramos.
jiyi	Pasó.
jiyi'	Ocurrió, sucedió.
jiijja'	Pasamos.
jii'dye'	El pase (puente, tranca).
jiyicdyij -dyi'	Fragante, de buen olor.
jiyi'dye	Se pasó (del tiempo).
jiyis yómodye'	Año pasado.
jiyi'si', viyadye'	Apellido.
ji'yocaqui, ji'yoquete	Extrañar, entristecer.
ji'yomoyaqui -ye'	Esperar: la noche, oscuridad.
jịyu'taqui	Encargar algo.
jịyu'tyeyete	Se lo encargó.
jịyu'tac	Encargar.
jiyutyiti	Hacerse pisar por un vehículo, carretón, etc.
ji'äjdyiyaqui	Hacer lo gritar.
jo'	Águila.
jọban' ịvaj	Luna nueva.
jọban	Se fue.
jọbajsha'	Vamonos.
joboboj	Cargado de algo como: ser en canoa, camión, carretón, etc.
jopje'	Poner en algo (bolsa, etc.).
joc	Carnada.
joco'co'	Planta de vainilla.
jọcoyoj	Garza blanca.
jọ'chaij	Se cayó.
jọ'chaja'	Nos caímos.
jochboij -boi'	Tener espundia en la nariz, estar con la nariz pontuda.
joi'je'	Servir algo líquido.
joi'taqui, joyaqui	Servir comida, bebida.
joi'dyi, cordyi	Remar.
joijno'	Bebe, hasta 4 o 5 meses.
jojdoij	Estar hueco.
jojdojdoij -doi'	Con huecos.
jojdojdos	Hueco, agujero.
jojoi'	Verde, no maduro.
jojoi' na'ij- nai'	Aborto.
jo'meij, jo'mei'	Parecido, de color, apariencia.
jo'meijdye	Parecido.
jo'mei'tyi	Varios objetos parecidos.
jo'me'quequeij	Alistarse, ponerse en actividad, actuar cuando uno está preocupado o en pánico.
jo'mety -mes	Así como esto.
jo'na	Comida (sopa de plátano).
jo'naij	Hacer locro.
jonajnaij	Tener olor a comida.
jonayeja'	Cocinaremos.
jónaqui	Desvío del curso del río.
jónaqui	Violar.
jo'no'	Cabeza.
jonocjeyaqui	Horadar, agujerear algo propio.
jonodye'	Pus, materia.
jo'nodyes	Remedio para dolor de cabeza.
jopje'	Embolsar, embarcar.
jopo'naqui	Pez que boquea.
joquin'je', joquin'yi	Montara caballo.
jọrọ	Lira.
joro'ĉo	Clase de fruta como pachió.
jorojĉan	Visible, entendible, conocido.
jorojĉanje'	Mostrar, hacer visible, hacer conocer.
jorojya'	Estar afuera de la casa.
josir	Fusil.
joshojje'	Golpear, aplastar a golpe.
joyaqui	Sacar en un vaso algún líquido.
joyo'daqui	Desaguar canoa.
joyo'daquis	Vasija para desaguar (una canoa, etc.).
juban', ji'juban, ja'yeban'	Bastante cantidad de algo.
jubij	Cama, trastes.
jucñuij	Velloso, cabelludo.
jucshuij	Barbudo, bigotudo, con muchos pelos.
jucshui'tyi'	Barbudo, peludo.
juchaij	Pecar.
juchayeja'	Pecamos o cometemos un gran error.
juchaj	Pecado.
juchajtumtyi' -si'	Pecador.
juchatute	Pecar contra otro.
juchujmaqui	Zunchar, punzar.
juchujme'	Punzar a un hueco.
jụdyej	Si, bien, está bien.
judyeya'	Y, después.
jufiti	Calentarse en el sol o al fuego.
jui'buty, jai'baty	Blanco.
jụij	Nariz, hocico.
jụijche'	En la nariz.
jụijya'	Con la nariz.
jụjje', jụjyi	Lo recibe o acepta.
jụj ja'yete	Ganar, convencer de algo.
jụjjeĉúnaqui	Recibir o aceptarla.
jujmuij	Esconder.
jujnaqui	Calentarse.
jụjtaqui	Lo acepta.
jụjtyeja	Aceptamos.
jumĉan, jumve	Escondido.
jumejjeyaqui	Encerrar, cerrar, tapar.
jumij	Caballete.
jumje'	Esconder.
jumyi	Esconderse.
jijmu'se'	La escondió, lo ocultó.
jun'	¿Qué?
jun' a ĉa	¿Como será? (dudando).
jun' a caty me'	Frase que expresa desaprobación.
jun' buca'	¿Como será?
jun' buty	¿Como es?
jun' bu'yi'	¿Como fue?
jun' ca'	¿Qué pasó?
jun'ca'mi	¿Qué te pasa?
junĉhui'	Calentando.
jun' da' bo o	¿Como será?, significa que no acepta.
jun' dash	¿Porque?
jun' qui	y ¿Cómo?
jun' qui', jun' quity	¿Que tamaño es?
jun' ra'	¿Como será?
jun' to' ca'	¿Que le pasó? (Femenina).
jun' tyu' ca'	¿Que le pasó? (Masculino).
juna'	Donde, donde está.
juna'dyem'	¡De donde!
junaqui	Plantar horcones.
junatyi', junasi', junaty, junas	De dónde es.
jun'dyeya'	¿Cuando?
jun'dye ba'	Como es siempre, como era su costumbre.
jun'dyem'	No, ni un poco.
jun'dyeya'dye	Desde cuando.
jun'dyij-dyi'	Cómo está el sabor.
jun'je'	Hacerle, dañarle.
jun'jeja'dyem'	Imposible, una situación que no podemos cambiar o realizar alguna actividad.
junjoij	Sudar, transpirar.
junjos	Sudor.
jun'si'	Cuando.
jun'si' ra' ĉụi'	En cualquier momento.
jun'tacdye'	Cualquier oficio o trabajo.
jun'taqui	Hacer algo.
jun'taquidyem'	Que no hace nada.
juntacsidyem'	Dejémoslo, que no sirven para nada.
jun'tityu ụ in	Que hacen entre ellos.
jun'tum	¿Cuántos?
jun'tum qui'	Cuantas veces hiciste.
jun'yi	Como hizo.
jụ'ñiij, jụ'ñii'	¿Cómo es?, ¿como está?
jụ'ñis	¿Cuál es?
jụ'ñis (-ty) ĉụi'	Cualquier.
jụ'ñisĉan	En cual o en donde se encuentra un objeto o cosa.
jụ'ñity -ñis	¿Cual?
jun'je'	Plantar (palo, planta, etc.).
jun'taqui	Plantar poste, horcón, etc.
juñucsi'	¿Cuántos?
juñujñuij	Tener calor.
juñujñus	Calor.
juñum	Cubierta, tapada.
juñum bu'yi	Estar cubierto.
juñumchuquis	Impedimento, límite.
juñumchuquity	Cortina.
júparej	Avestruz, piyo.
ju'saqui	Olfatear, oler.
jushu'je'	Que calienta algo.
júshu'taqui	Calentar algo propio.
jushu'shuij	Caliente, ropa caliente, etc.
jushu'shui'	Agua que está tibia.
jutac bu'yi	Acecha, hacer emboscada.
jutacdye'	Mandato, carta mandada.
jutacdyety	Persona que es utilizada para realizar lo mandado.
jutactyi'	Comisionado, mandado.
jutaqui	Mandar.
jutiru	Pez, bagre.
jutsjeyaqui	Asar, poner al fuego.
ju'tsuij	Que se está asando.
jụ́tyes	Respiración.
jụ́tyi	Respirar, descansar.
jụ́tyiĉan	Nariz, ventana de la nariz.
jutyu'ĉa	Vamonos.
jutyu'ĉa!	¡Vamos!
juyaqui	Defectuoso de nacimiento, mudo, con deformidad.
juyu'tyeñej	Oso de los cerros.
jäbäj	Pulgar, dedo mayor del pie y de la mano.
jäbän	Seis.
jäĉan'si'	Restar (usada en matemática).
jäcaqui	Sacar, restar.
jäcaquis	Instrumento para sacar algo.
jäctaqui	Sacar, comprar algo de un familiar.
jäcmäty	Persona sin diente o algún objeto que le falta un pedazo.
jäĉhä'je'	Dejar destapado.
jä'ĉhäij -i'	Recipiente vacío.
jä'ĉhäs	Vasija, bañador.
jä'dyäijdyety tsun	Tarde, por ponerse el sol.
jä'dyäij-dyäi'	Alumbrado.
jädyen'yi	Brillar, reflejar.
jäi'	Yerno, nuera, la relación de suegra a la nuera o al yerno.
jäijnäjyi	Enojarse y ponerse la cara roja.
jäijnäs -näty	Rojo, colorado.
jäijnäty	Billete de 100.
jäijni	Colorearse.
jäijve, jäijvetaque	Al lado de algo.
jájä	Animal pequeño parecido al melero.
jän'jän'yity	Tartamudo.
jän'jän'yi p̂eyaqui	Tartamudear.
jäjäbä	Dueño mitológico de animales silvestres.
jäjäjäi''tyi'	Riendo mujer.
jäjäm'tum	Despacio, lento, con cuidado.
jäjämun	Cosas buenas, lindas.
jäjyij-yi'	Gritar.
jäm'	Bueno, bonito, lindo, sirve, útil.
jäm' bä'yi	Vivir bien de salud o moralmente.
jäm' bu'yi'dyes aca'	El base de la casa.
jäm' jishdac	Bien peinado.
jäm' yụ'tacdyedyes	Repuestos.
jäm' yụ'taqui	Componer o guardar.
jä́me'	Persistir, hacer continuamente.
jäm'ĉan	Estar en el lugar bueno.
jäm'ĉhubun	Alistarse para el viaje.
jäm'ĉhuqui	Tomar control de uno, retener.
jäm'ĉhuti	Acomodarse.
jäm'dye mi	¿Cómo está?
jäm'dyeya'	De vez en cuando.
jäm'dyij- dyi'	Rica, sabrosa.
jämejje'	Cerrar, tapar.
jämij	Hacer, formar, crear.
jämi	Hacer varias veces.
jämi"taqui	Arreglar, alistarlo, acomodar bien.
jä'mii'tyi -tyi'	Estar listo, preparado.
jä'mij	Adelantar, ir primero.
jä'mijdye	Antes de que algo pasa.
jämi'miij -mii'	Recuperar, recobrar ánimo, fuerza.
jämijmij'	Huele lindo, de buen olor.
jämi'taqui	Alistar algo, acomodar.
jämi'ti	Alistarse, acomodarse.
jäm'ja'yaqui	Hacer bonito, bueno.
jämjan, jämjajsha'	Sanar herida.
jäm'jeĉúne'	Recibir, encontrar con respeto, con cariño.
jäm'jeyaĉan	Reconciliar.
jäm'jeyaqui	1. Guardar 2. Tratar con respeto 3. Satisfacer.
jäm'jiti	Ser reconciliado.
jäm'tac	Elaborar algún trabajo u otra cosa.
jäm'tacdye'	Monumento.
jäm'taqui	Hacer, fabricar, construir.
jäm"tui'	Lograr satisfactoriamente.
jäm'yedye'	Bondad, benevolencia, rectitud, virtud.
jäm'yedyes	Adorno.
jäm'yi	Bueno, ser bueno, ser arreglado.
jä'naqui	Barrera, obstáculo que impide pasar.
jän'jän'yi	Tartamudear.
jänjänyi	Con fiebre.
jänjoij	Escaldar.
jäñä'	Llama, brasa de fuego; maquina que está encendida.
jäñäc	Pierna, muslo.
jä'ñi (-i')	Encenderse, arderse.
jä'ñi ĉojtyi'	Turbado, enojado, pensar hacer mal.
jäp	Sobrina, nuera (relación con su suegro).
jäqui', jäqui've	Después, atrás.
jäquity -quis	Último, el menor.
jäqui'ves	La de atrás.
jäsdye'	Helape (fabricación de chicha).
jäsi'	Hacer chicha.
jäshajte, jäshan'	Venir a llevar a alguien.
jätäjyi	¿Que dice?
jätäjjete	Que es lo que le dice.
jätäjyidyem'	Que no dice nada, imposible, sin solución.
jätaĉan	Venir a llevar algo cosa personal.
jäti	Tener frío.
jätis	Frente frío, sur.
jätisve	Dirección del sur.
jätsä'ñe'	Rascarse algo.
jätsän'je'	Rascar.
jätsin	Te mordió.
jätstiĉa'	Nos mordimos.
jäye'	Abuela, nieto, nieta: la relación entre ellos.
jäyem'	Palabra vulgar: teste.
mabej	Gordo.
mabety -bes	Gordo.
mabij	Engordar.
máchichi'	Garrapatilla.
machitu	Machete.
mạ'edye'	Sonido, eco.
mạ'edyes	Música, instrumento de música.
mạij	De día.
maijyi	Alumbrar.
mạ'ij	Que suena.
mạijchuqui	Estar alumbrando algo de uno.
mạijchuja	Alumbrándolo.
mạijquedye'	Luz.
mạijdyem'	Temprano, casi de noche.
mạijjeyaqui	Alumbrar algo de uno.
mạijyi	Alumbrar.
mạijyis	Linterna, luz.
mạijyity	Luz, lamparita.
maj	Hondo, mucho líquido.
maj añei'	Llovió mucho.
majdye'	Remanso, lugar hondo en el río, etc.
ma'je'	Quiere.
mạ'jejcacaqui, mạ'jejcacai'	Seguir queriendo más.
mạ'je' muju'cha'	Que la quiere mucho.
mạ'jeyacdyes	Querida, amada.
mạ'jeyacdyety	Querido, amado.
mạ'jeyaqui	Querer, desear, amar.
mạ'jitidye'	Amor.
majmadye'	Juguete, juego, apodo.
majmaij -ayeja'	Jugar, chistear.
majmatuqui	Hacer la jugar, chistear, burlar o vender barato alguna cosa.
majmayaquity	Uniforme, ropa deportiva.
majmi	Camino, senda.
majmiij, majmii', majmiyeja'	Hacer camino.
ma'joij	Contento, gozoso, alegre.
ma'jotye'	Alegrarse, estar contento de algo, estar complacido de algo.
majya'taqui	Llevar, poner en lo hondo del rio alguna cosa o canoa.
majyedye'	Tiempo de agua, llenura.
majyi	Subir el agua, llenarse.
mana'i	Motacú.
mạnaqui, mạnja', mạn'dyi	Encender fuego.
mạ́ra'	Costilla.
mạra'se	Varacachi.
mạra'	Flaco, persona o animal sin gordura.
mạraĉa	Naranja.
mạradye'	Palabra de cariño para hablar al hijo (sobrino).
mạraij	Enflaquecerse.
mạraty-ras	Flaco.
mạ́rata	Perdiz de la pampa.
marípi	Mate.
mạrei'	Gusano.
ma'se'	Clase de árbol.
mashadye'	Brujería.
mashaij	Hacer brujería.
mạyedye'	Día, cielo.
mạyedye'che'	En el cielo.
mạyeij, mạyei'	Claro, de día.
mạyes	Luz.
me'	Así, de esta manera.
me' bu'yeti	Vino por un rato.
meme' qui	De esa manera.
me'qui'	Ese tanto, tiempo largo.
me'ra'	Será así.
me'vu'ca'	Ojalá.
me'ca'	Así.
mécacaj	Por pedazo.
me'ĉandye	De esa forma.
me'chuqui	Que detiene.
me'dye	Así, seguir así.
me'dyes qui	Por eso, desde entonces.
me'dyety	El ultimo.
medyety	Para eso.
meij	Apartarse.
meij jịjcaij	Que esta de ida.
meij qui	De esta manera.
meijjetyete- tye'	Quitar.
meijje'	Apartar, anular.
meijyi	Apartarse, separarse de algo.
meijtaqui	Apartar alguna cosa que es de uno mismo.
meijtuqui	Dar una vuelta.
meijya' yi	Hacer lance, ir de un lado a otro.
mej	Tábano.
me'je'	Que realiza algo.
me'yi	Que hace así.
meme'	Tortuga, peta de agua.
me' qui	Por eso.
me'meyejoij	Seguir andando, seguir haciendo cosas.
men	Tarda, mucho tiempo.
mendye	Más tarde.
mensi'	Un tiempo, rato largo.
menya'	Media noche.
meñi -ñi'	Tardarse.
meñi'ñiyeti	No tarda mucho.
méqui'	Así de esta manera, ni un poco.
me'qui'dye, me'qui'	Final, terminado.
me'qui'muntyi'	Contemporáneo, de la misma edad.
méqui'mun	De ese tamaño.
méquity -quis	Mediano, de este tamaño  (señala con la mano).
mequi've quịjodye'	Chaco pequeño, media hectárea.
mereshje'	Rayarse la piel con algo.
meriq̂ue	Piña.
me'si'	Esa cantidad, en número.
mesh ĉaij	Así es.
me'taqui	Que siempre hace así.
me'taqui	Que hace relaciones sexuales.
me'taquis p̂en, me'taquity son'	Adultera(o), prostituta.
me'tiĉa'	Hagamos relaciones sexuales.
métudye'	Tábano negro.
me'yi	Que hace así.
mi	Tú, vos.
miba'	Tu era.
mibaqui'	Empollar.
mic	Vituperación, regaño, (lo trató).
micdaqui	Evitar (algo, tabú o prohibido), privarse de algo.
micdyi, micdyiĉa'	Hacer en moderación, prohibirse de contacto sexual, ciertos alimentos, etc., cumplir los tabúes.
micdyidye'	Tiempo de prohibición.
mi'edye'	Cañada, arroyo.
mi'edye'	Caminata.
mi'ij-i'	Caminar, andar, (agua que corre).
mi'in	Ustedes.
mịj	Camino, senda.
mij	Piedra, roca.
mijam	No, ni.
mijmama	Caimán.
mimitjoij	Endurar, espesar rápidamente.
minacdye'	Soga.
minaqui	Hacer cuerda para arco.
miqui'	Poco, poquito.
miquity	Pequeño, chiquito.
miquis	Pequeña, chiquitita.
miqui'ya'	Corto.
miqui'yai'	Más corto, o bajando.
misij	Calumniar.
míshi	Gato.
mitactyi'	Gusano pequeño.
míte	Quemadura.
míti	Quemarse el cuerpo.
miti'	Encuajar.
míto	Tarumá.
mitsej	Pedernal, piedra.
mitsej	Marico pequeño.
mitsi'naqui	Perforar.
miyaĉa	¡Va por ahí!
mọ'	Ella, esa.
moch	Lejos, alto.
mocha', mochaty-chas	Largo, alto.
mochadyem'	Largura.
mocha'je'	Alargar, poner mas largo.
mochane'	Mosetén.
mochaty un	Manga larga (camisa).
mochĉan	Hondo, bien adentro.
moĉhĉhe'	Alto.
moĉhedyem'	Altura.
mochety-ches	Alto, alta.
mocho'naqui, mocho'ne'	Cavar en la tierra con el hocico (chancho, etc.).
mochti	Alejarse.
mọ'dye	Misma.
modyin	Diente, muela.
mo'fe	Yema del huevo.
mo'ijva	Clase de pez (bagre).
mọj	Allá.
mojij	Lugar bajo llanura.
mọjo'cha', muju'cha'	Mejor, superior, mas allá.
mọjo'cha'je', muju'chajete	Recorrer, poner más allá.
mọjo'va', muju'va'	Más allá.
mọjo'veya'	Mas allá (como más abajo por el río).
mon	Perderse, escaparse.
mon'dye've, mon'dye'ĉan	Perdición.
mono'	Renacuajo.
montaqui	Dejó perder.
moñi	Perderse.
mor'mor'tyity	Color rayado.
mor'mor'sis	Color rayada.
moractyi' -si'	Rayado de distintos colores.
mórety -res	Rayado de diferentes colores.
mor'tacdye'	Rayado de color.
mor'je'	Masticar chicha.
morifi	Planta venenosa.
morocje'	Golpear en la costilla.
morocje'	Golpear, destrozar casa, cerco, etc.
moro'joij	Tener diarrea.
moro'jos	Diarrea.
mosh ọij	Aquí está (mostrando en la mano).
mosh tyu'	Ahí está, señalando con dedo.
motaqui	Afilar pala, hacha, machete, etc.
motoc	Víbora de la tierra.
mótoi'	Boro.
mótoi'yeja'	Tener boro.
mọtsi', mọtsi	Terminarse, desaparecerse, acabarse.
mo'tyi'	Gusano grande.
mọvety-ves	Los de allá.
mọ'ya', mu'ya'	Hay, ahí está.
mọ'ya'	En ese lugar.
mọ'ya'dye, mu'ya'dye	En el mismo lugar.
moyo'fi	Gato gris.
moyojco'	Conejo.
mụ'	Algodoncillo.
mu'	Él.
mu'ĉan	Está adentro.
mu'che'	Él está arriba, encima.
mu've	Está allá.
mu'ya'	Ahí está él.
mubaqui	Jalar.
muben'je'	Jalar alguna cosa.
mube'ñe'	Estar jalando.
mubiri	Raíz.
mucu'	Tener en la boca.
mụcu'	Cerro.
mucu'chuqui, mucu'naqui - ñe'	Tener en la boca, masticar.
mucta	Plato (Mosetén).
muchety	El es de allá.
mụi'	Que esta cociendo, asando.
mụi', mụi'dye	Hace rato.
mụi'dye	Hace ratito, hace pocos minutos.
mụij-i'	Cocer.
mụijya'	Abajo, al suelo.
mu'in	Ellos.
munaqui, muñe'	Chamuscar pelo de animal en el fuego.
mụi'tyity -sis	Nuevo.
mụi'ya'	Anteriormente.
muj	Mariguí.
mujrui'tyi'	Muchas frutas en el suelo.
muju'cha', mojo'cha'	Más superior.
mujve	Al otro lado.
mumu'	Cura.
mumujñi	Chancho del monte tropero.
mun	Entero.
munuj	Muto, sin filo.
munujje'	Hacerlo muto.
munja'	Ayer.
munja'	Fecundar.
munja'veya', munja'veyas	Hacen unos días.
munjaya'ĉan	Antes de ayer.
munsi	Persona de sexo femenino.
muntyi'	Hombre, persona, humano de sexo masculino.
muntyim' bä'yi	Ateo.
munujje'	En mutar algo filo.
múñeji'	Tángara de paraíso.
muñety	Viudo.
muñes	Viuda, divorciada, soltera.
muñemunsi' in	Solteras.
muñety	Viudo, divorciado, soltero.
muñemuntyi' in	Solteros.
muñesdyem'	Que no tiene marido todavía (soltera).
muñetydyem'	Que no tiene mujer todavía (soltero).
muñi, munja', mun'dye'	Convertirse en otra cosa, tigre, etc.
muñiti'	Fecunda, frutea.
muquedye'	Yuca sancochada.
muquejje'	Quemarlo.
muquety -ques	Cocido, quemado.
muruc	Frutas que caen en cantidad.
murje'	Hacer caer de arriba.
murucjeyaqui	Cosechar toda la fruta de la planta.
muru'que', muru'queja'	Cosechar mucha fruta.
murujru	Espinazo, columna vertebral, espalda.
murujrutaqui	Dar la espalda.
musacdye'	Molido.
musaqui	Moler (con piedra).
mu'suru	Árbol chicle de monte.
mush tyu'	Ahí está (apuntando).
mush uts	Aquí está (en mano).
