
achalay	<span fgcolor="#228B22">(r).</span> Sumaq qawakunanpaq allinchay utaq llimpiy. Sumaqchay. <span fgcolor="#ff0000">Adornar, hermosear.</span>\n<span fgcolor="#a403fb">- Yachay wasinchikta achalasun.</span>\n<span fgcolor="#0000ff">- Adornemos nuestra escuela.</span>
tutur	<span fgcolor="#228B22">(s).</span> Anchata muyuspa huqarikuq wayra. Muyuq wayra. <span fgcolor="#ff0000">Remolino de viento.</span>\n<span fgcolor="#a403fb">- Paranayamuptin tutur wayra rikurimun.</span>\n<span fgcolor="#0000ff">- Aparece un remolino de viento cuando está por llover.</span>
tuya	<span fgcolor="#228B22">(s).</span> Sumaq takiq yanawan qillu llimpiyuq pisqu. <span fgcolor="#ff0000">Calandria.</span>\n<span fgcolor="#a403fb">- Chiwakuwan tuyaqa chiqninakunmi.</span>\n<span fgcolor="#0000ff">- La calandria y el zorzal se odian.</span>
tuytuy	<span fgcolor="#228B22">(r).</span> Yakupa hawanpi uku takyachiy. <span fgcolor="#ff0000">Flotar.</span>\n<span fgcolor="#a403fb">- Unay unaytam tuytun.</span>\n<span fgcolor="#0000ff">- Flota por un tiempo prolongado.</span>
tuyu	<span fgcolor="#228B22">(s).</span> Luku para. Wayrantin wakrintin para. <span fgcolor="#ff0000">Tormenta.</span>\n<span fgcolor="#a403fb">- Tuyu wichikaykamuptinqa wayquqa mikuykunatam apakun.</span>\n<span fgcolor="#0000ff">- Cuando llega la tormenta la avenida se lleva la sementera.</span>
tuyuy	<b>1.</b> <span fgcolor="#228B22">(r).</span> Wampu purichinapaq tuyukuna kuyuchiy.<span fgcolor="#ff0000"> Remar.</span> <b>2.</b> <span fgcolor="#228B22">(r).</span> Makita chakita kuyuchispa yakupi tuytuspa ñawpaqman riy. Waytay. <span fgcolor="#ff0000">Nadar.</span>\n<span fgcolor="#a403fb">1. Yunkapi yachaqkunaqa allintam tuyunku.</span>\n<span fgcolor="#0000ff">- Los que viven en la selva reman muy bien.</span>\n<span fgcolor="#a403fb">2. Runaqa allintam tuyun mayupi.</span>\n<span fgcolor="#0000ff">- La gente nada bien en el río.</span>
uchpa	<span fgcolor="#228B22">(s).</span> Kañasqa yantapa puchun. Ñutu qusñi allpamam rikchakuq. <span fgcolor="#ff0000">Ceniza.</span>\n<span fgcolor="#a403fb">- Uchpaqa sachapa urunkuna wañuchinapaq allinmi.</span>\n<span fgcolor="#0000ff">- La ceniza es bueno para matar las enfermedades de las plantas.</span>
uchu	<span fgcolor="#228B22">(s).</span> Simita rawrachispa mikuy miskichiq ruru. <span fgcolor="#ff0000">Ají.</span>\n<span fgcolor="#a403fb">- Uchu kachipantinta kutay papawan mikunapaq.</span>\n<span fgcolor="#0000ff">- Muele el ají juntamente con el queso para comer con la papa.</span>
uchuy	<span fgcolor="#228B22">(s).</span> Imapas taksalla. <span fgcolor="#ff0000">Pequeño.</span>\n<span fgcolor="#a403fb">- Uchuy warata rantiramusqanki.</span>\n<span fgcolor="#0000ff">- Habías comprado un pantalón pequeño.</span>
uhu	<span fgcolor="#228B22">(s).</span> Qapsanmanta kallpawan wayra wischupayay. <span fgcolor="#ff0000">Tos.</span>\n<span fgcolor="#a403fb">- Iskay punchawñam uhusqanqa.</span>\n<span fgcolor="#0000ff">- Ya son dos días que está tosiendo.</span>
uku	<span fgcolor="#228B22">(p).</span> Wichqasqa, mana qawasqa. Imapapas ukunpi kaq. Uku, ukunpi. <span fgcolor="#ff0000">Dentro.</span>\n<span fgcolor="#a403fb">- Misiqa wasi ukupim kachkan.</span>\n<span fgcolor="#0000ff">- El gato está dentro de la casa.</span>
ukucha	<span fgcolor="#228B22">(s).</span> Sarapas, imapas kutkuq waskachupa urucha; misipa ancha munasqan purun uywa. <span fgcolor="#ff0000">Ratón, pericote.</span>\n<span fgcolor="#a403fb">- Ukuchatam misi qatikachachkan.</span>\n<span fgcolor="#0000ff">- El gato está persiguiendo al ratón.</span>
ukuku	<span fgcolor="#228B22">(s).</span> Millwasapa allquhina sinqayuq uywa. Aycha mikuq. Simpihina silluyuq raku chaki. <span fgcolor="#ff0000">Oso.</span>\n<span fgcolor="#a403fb">- Ukukuqa ritipipas, sunipipas, yunkapipas yachanmi.</span>\n<span fgcolor="#0000ff">- El oso vive ya sea en el ártico, en la puna o en la selva.</span>
ullatu	<span fgcolor="#228B22">(s).</span> Antipipas kustapipas yachaq kunturhina pisqu. Aychalla mikuq. Waman, suyuntuy, Suwiqara. <span fgcolor="#ff0000">Gallinazo.</span>\n<span fgcolor="#a403fb">- Saqisqa aychata ullatuqa mikun.</span>\n<span fgcolor="#0000ff">- El gallinazo se alimenta de la carne dejada.</span>
ullu	<span fgcolor="#228B22">(s).</span> Qaripa qarikaynin. Lani, pinqay, urpitu. <span fgcolor="#ff0000">Pene.</span>\n<span fgcolor="#a403fb">- Wawapa ulluchanmi llillirqun.</span>\n<span fgcolor="#0000ff">- El pene del bebé se ha escaldado.</span>
ulluku	<span fgcolor="#228B22">(s).</span> Papa kaqlla qawchi aycha kawsay. Papa lisa. <span fgcolor="#ff0000">Olluco.</span>\n<span fgcolor="#a403fb">- Ulluku pikantita yanupuway.</span>\n<span fgcolor="#0000ff">- Prepárame picante de olluco.</span>
uma	<span fgcolor="#228B22">(s).</span> Runapa ukun hawanpi kaq runtuhina tullu aycha, uywapa ñawpanpi kaq. <span fgcolor="#ff0000">Cabeza.</span>\n<span fgcolor="#a403fb">- Umapim rinri, ñawi, simi, uya, sinqa kan.</span>\n<span fgcolor="#0000ff">- En la cabeza se encuentra la naríz, los ojos, la boca, las orejas y la cara.</span>
umalliq	<span fgcolor="#228B22">(s).</span> Llaqta apaq runa. Huñunasqa runakuna pusaq, qaripas warmipas kanman. <span fgcolor="#ff0000">Dirigente.</span>\n<span fgcolor="#a403fb">- Llaqtanchik umalliq runaqa allin rimayniyuqmi.</span>\n<span fgcolor="#0000ff">- El dirigente de nuestro pueblo es bien hablado.</span>
uma muyu	<span fgcolor="#228B22">(s).</span> Tampikachay uma unquy; mana sayay atiy. <span fgcolor="#ff0000">Mareo.</span>\n<span fgcolor="#a403fb">- Uma muyum hapirquwan.</span>\n<span fgcolor="#0000ff">- Me dio mareo.</span>
umayuq	<span fgcolor="#228B22">(s).</span> Yuyaysapa runa. Yuyayniyuq, allin umayuq runa. Yachaq. <span fgcolor="#ff0000">Inteligente.</span>\n<span fgcolor="#a403fb">- Uywamantaqa runaqa umayuqmi.</span>\n<span fgcolor="#0000ff">- A diferencia de los animales el hombre es inteligente.</span>
umiña	<span fgcolor="#228B22">(s).</span> Chaniyuq sumaq rumi. <span fgcolor="#ff0000">Piedra preciosa.</span>\n<span fgcolor="#a403fb">- Qumir qispi umiñata maskachkani.</span>\n<span fgcolor="#0000ff">- Estoy buscando una esmeralda.</span>
umutu	<span fgcolor="#228B22">(s).</span> Puchu, tinri, tusta. Llumpay uchuy runa. <span fgcolor="#ff0000">Enano.</span>\n<span fgcolor="#a403fb">- Umutu allinllamanta hamuchkan.</span>\n<span fgcolor="#0000ff">- El enano viene lentamente.</span>
uña	<span fgcolor="#228B22">(s).</span> Charyaq wachasqa llullu wawa. Uywasqa uchuy uywa. <span fgcolor="#ff0000">Cría.</span>\n<span fgcolor="#a403fb">- Wakapa uñan pawaykachan.</span>\n<span fgcolor="#0000ff">- La cría de la vaca corretea.</span>
unancha	<span fgcolor="#228B22">(s).</span> Hatun kaspipi churasqa siñas. Suyukunapa llimpinwan pipuy pipuy awasqa siñas. <span fgcolor="#ff0000">Bandera.</span>\n<span fgcolor="#a403fb">- Piruw suyunchikpa unanchanqa pukawan yuraq llimpiyuqmi.</span>\n<span fgcolor="#0000ff">- La bandera del Perú tiene los colores rojo y blanco.</span>
unku	<span fgcolor="#228B22">(s).</span> Utkumantapas millwamantapas rurasqa qaripa pachan; wiqawmanta hanayman churakuna pacha. Kutun. <span fgcolor="#ff0000">Camisa.</span>\n<span fgcolor="#a403fb">- Musuq utkumanta rurasqa unkutam rantimusaq.</span>\n<span fgcolor="#0000ff">- Compraré una camisa nueva hecha de algodón.</span>
unquq	<b>1.</b> <span fgcolor="#228B22">(s).</span> Mana allin ukuyuq runa.<span fgcolor="#ff0000"> Enfermo.</span> <b>2.</b> <span fgcolor="#228B22">(s).</span> Wiksayuq warmi. Chichu warmi. <span fgcolor="#ff0000">Embarazada.</span>\n<span fgcolor="#a403fb">1. Warmachaqa unquchkanmi.</span>\n<span fgcolor="#0000ff">- El niño está enfermo.</span>\n<span fgcolor="#a403fb">2. Kimsa killatañam unquchkan.</span>\n<span fgcolor="#0000ff">- Ya son tres meses que está embarazada.</span>
unquy	<b>1.</b> <span fgcolor="#228B22">(s).</span> Mana allin kay. Ukupa nanaynin. Nanay.<span fgcolor="#ff0000"> Enfermedad.</span> <b>2.</b> <span fgcolor="#228B22">(s).</span> Unquyman chayay. Iquyay. <span fgcolor="#ff0000">Enfermarse.</span>\n<span fgcolor="#a403fb">1. Ratakuq unquymi hapirqun.</span>\n<span fgcolor="#0000ff">- Tiene una enfermedad contagiosa.</span>\n<span fgcolor="#a403fb">2. Hatun mamayqa unquchkan.</span>\n<span fgcolor="#0000ff">- Mi abuela se enfermó.</span>
upa	<span fgcolor="#228B22">(s).</span> Mana yuyayniyuq puqis, panra runa. Tonto. Mana uyariq runa. Mana allin uyariq. Ruqtu. <span fgcolor="#ff0000">Sordo.</span>\n<span fgcolor="#a403fb">1. Upa runa llaqtaypi kanmi.</span>\n<span fgcolor="#0000ff">- Hay un hombre tonto en mi pueblo.</span>\n<span fgcolor="#a403fb">2. Awiluyqa upañan kachkan.</span>\n<span fgcolor="#0000ff">- Mi abuelo ya está sordo.</span>
upakuy	<span fgcolor="#228B22">(r).</span> Yakuwan uya mayllakuy. <span fgcolor="#ff0000">Lavarse la cara.</span>\n<span fgcolor="#a403fb">- Sapa punchawmi uyanchiktaqa upakuna.</span>\n<span fgcolor="#0000ff">- Todos los días debemos lavarnos la cara.</span>
upichu	<span fgcolor="#228B22">(s).</span> Mana allin mikusqa runa, mana ancha yawarniyuq. <span fgcolor="#ff0000">Anemia.</span>\n<span fgcolor="#a403fb">- Mana allinta mikuspanmi Upichusqa kachkan.</span>\n<span fgcolor="#0000ff">- Por no comer bien se encuentra anémico.</span>
upyay	<span fgcolor="#228B22">(r).</span> Siminta yaku millpuy. <span fgcolor="#ff0000">Beber, tomar.</span>\n<span fgcolor="#a403fb">- Hatun punchawkunapi runakuna upyanku.</span>\n<span fgcolor="#0000ff">- La gente bebe en los días festivos.</span>
uqa	<span fgcolor="#228B22">(s).</span> Suytu papahina machkay machkay miski mikuy. Allpa ukunpi ruruq. Rupaypi masasqaqa aswan miskiyarqun. <span fgcolor="#ff0000">Oca.</span>\n<span fgcolor="#a403fb">- Uqata tarpuna papatahinam.</span>\n<span fgcolor="#0000ff">- La oca se siembra igual que la papa.</span>
huqarikuy	<b>1.</b> <span fgcolor="#228B22">(r).</span> Huñunakuspa imapas mañakuy.<span fgcolor="#ff0000"> Reclamar con fuerza.</span> <b>2.</b> <span fgcolor="#228B22">(s).</span> Kamachikuq wichichiq rina. <span fgcolor="#ff0000">Levantamiento.</span>\n<span fgcolor="#a403fb">1. Alliqninku qawasqa kananpaq mañanku.</span>\n<span fgcolor="#0000ff">- Reclaman para que sus derechos sean respetados.</span>\n<span fgcolor="#a403fb">2. Mana amawtata quwaptinchikqa huqarikuymi kanqa.</span>\n<span fgcolor="#0000ff">- Si no nos envía un maestro habrá levantamiento.</span>
uqi	<span fgcolor="#228B22">(s).</span> Titiman rikchakuq llimpi. Qusñihina llimpi. <span fgcolor="#ff0000">Plomo.</span>\n<span fgcolor="#a403fb">- Uqi uqi uyayuqmi chiripi chayarqamun.</span>\n<span fgcolor="#0000ff">- Con el rostro plomizo llegó en el frío.</span>
uqiti	<span fgcolor="#228B22">(s).</span> Sikipa uchkun. Raku chunchullpa sikipi tukuynin. <span fgcolor="#ff0000">Ano.</span>\n<span fgcolor="#a403fb">- Akayta tukuruspaqa allintam uqitita pichakuna.</span>\n<span fgcolor="#0000ff">- Después de defecar debe limpiarse bien el ano.</span>
uqullu	<span fgcolor="#228B22">(s).</span> Kayrapa runtunmanta paqariq uruchakuna. <span fgcolor="#ff0000">Renacuajo.</span>\n<span fgcolor="#a403fb">- Pukyupi uqulluchakunata riqsimusun.</span>\n<span fgcolor="#0000ff">- Vamos a estudiar los renacuajos en el puquial.</span>
uqururu	<span fgcolor="#228B22">(s).</span> Uqu allpakunapi wiñaq qura, qillu waytayuq, hampiq qura. <span fgcolor="#ff0000">Berro.</span>\n<span fgcolor="#a403fb">- Uqururuqa allinmi kipchan hampinapaq.</span>\n<span fgcolor="#0000ff">- El berro es bueno para curar el hígado.</span>
uray	<span fgcolor="#228B22">(s).</span> Imapapas chaki qatiqninman tarikuq. <span fgcolor="#ff0000">Parte baja.</span>\n<span fgcolor="#a403fb">- Kallpayllam uraytaqa rin.</span>\n<span fgcolor="#0000ff">- Corriendo va hacia abajo.</span>
uraykachiy	<span fgcolor="#228B22">(r).</span> Runapas uywapas ima apasqanta pampaman churay. <span fgcolor="#ff0000">Bajar algo.</span>\n<span fgcolor="#a403fb">- Qipiykita uraykachiy samanaykipaq.</span>\n<span fgcolor="#0000ff">- Baja tu bulto para que descanses.</span>
urpi	<span fgcolor="#228B22">(s).</span> Imaymana rikchaq wasipipas purunpipas yachaq, wallpahina puriq pisqu. <span fgcolor="#ff0000">Paloma.</span>\n<span fgcolor="#a403fb">- Urpiqa llampu sunquyuq hawka yachakuqmi.</span>\n<span fgcolor="#0000ff">- La paloma en un ave tranquilo y bondadoso.</span>
urqu	<span fgcolor="#228B22">(s).</span> Hanayman huqarikusqa allpantin qaqa. <span fgcolor="#ff0000">Cerro.</span>\n<span fgcolor="#a403fb">- Chunyaq urqukunapim taruka yachan.</span>\n<span fgcolor="#0000ff">- El venado vive en los cerros más alejados.</span>
urqu	<span fgcolor="#228B22">(s).</span> Runtuyuq uywa. <span fgcolor="#ff0000">Animal macho.</span>\n<span fgcolor="#a403fb">- Urqu allquqa puñuchkan.</span>\n<span fgcolor="#0000ff">- El perro macho duerme.</span>
uru	<span fgcolor="#228B22">(s).</span> Aqaruway kurukuna, mikunakunapa ukunpi wiñaq urukuna. Kuru. <span fgcolor="#ff0000">Gusano.</span>\n<span fgcolor="#a403fb">- Sara tarpukusqaqa manchanami uru rikurimun.</span>\n<span fgcolor="#0000ff">- Aparecen muchos gusanos cuando se siembra el maíz.</span>
urunquy	<span fgcolor="#228B22">(s).</span> Miski ruraq uru. Tawa raprayuq, suqta chakiyuq, sikinpi ulluyuq. Wayrunqu, wankuyru, wanquyru, lachiwa ninkutaqmi. <span fgcolor="#ff0000">Abeja.</span>\n<span fgcolor="#a403fb">- Urunquyqa achka achka huñunasqam yachan.</span>\n<span fgcolor="#0000ff">- La abeja vive formando colmenas.</span>
usa	<span fgcolor="#228B22">(s).</span> Runapa uywapa ukunpi yawarninta suqustin kawsaq uru. <span fgcolor="#ff0000">Piojo.</span>\n<span fgcolor="#a403fb">- Uña wakata hampisun usamanta.</span>\n<span fgcolor="#0000ff">- Curemos a la ternera de la piojera.</span>
usqu misi	<span fgcolor="#228B22">(s).</span> Hatun purun misi. Titi misi. Usqullu. <span fgcolor="#ff0000">Gato montés.</span>\n<span fgcolor="#a403fb">- Manam wasiman usqu misiqa yaykumunmanchu.</span>\n<span fgcolor="#0000ff">- El gato montés no podría entrar a la casa.</span>
ustuchiy	<b>1.</b> <span fgcolor="#228B22">(r).</span> Qaytuwan uchkusqa murukunata hapichiy. Suskuchiy.<span fgcolor="#ff0000"> Ensartar.</span> <b>2.</b> <span fgcolor="#228B22">(r).</span> Uchkunta imapas winay. <span fgcolor="#ff0000">Introducir.</span>\n<span fgcolor="#a403fb">1. Sarata uchkuspa qaytuta ustuchiy.</span>\n<span fgcolor="#0000ff">- Ensarta el maíz con el hilo.</span>\n<span fgcolor="#a403fb">2. Qaytuta ustuchiy yawriman.</span>\n<span fgcolor="#0000ff">- Introduce el hilo a la aguja gruesa.</span>
ustuy	<span fgcolor="#228B22">(r).</span> Uchkukunaman sumaqlla yaykuy. <span fgcolor="#ff0000">Penetrar, deslizarse.</span>\n<span fgcolor="#a403fb">- Puñunaykipaq puñunaman ustuy.</span>\n<span fgcolor="#0000ff">- Deslízate a la cama para que duermas.</span>
ususi	<span fgcolor="#228B22">(s).</span> Qaripa warmi churin. <span fgcolor="#ff0000">Hija del padre.</span>\n<span fgcolor="#a403fb">- Sipasñam amawtapa ususin.</span>\n<span fgcolor="#0000ff">- Ya está joven la hija del profesor.</span>
usuy	<span fgcolor="#228B22">(r).</span> Imawanpas llakiy; sasachakuywan arwitakuy; wakcha kaywan mana ima atiy. <span fgcolor="#ff0000">Sufrir, padecer.</span>\n<span fgcolor="#a403fb">- Tayta mamay wañuptinmi ususqayta usuni.</span>\n<span fgcolor="#0000ff">- Por la muerte de mis padres sufro mucho.</span>
utku	<span fgcolor="#228B22">(s).</span> Yuraq millwahina ruruyuq sacha. Chunka pichqayuqmanta iskaychunkakaman yana muhuyuq. <span fgcolor="#ff0000">Algodón.</span>\n<span fgcolor="#a403fb">- Ñawpa runakunapa pachanqa utkumanta rurasqam karqa.</span>\n<span fgcolor="#0000ff">- La ropa de los hombres antiguos estaba confeccionada a base de algodón.</span>
utqay	<span fgcolor="#228B22">(s).</span> Chaylla imapas ruray. Huklla kuyuypas puriypas llamkaypas. <span fgcolor="#ff0000">Rápido.</span>\n<span fgcolor="#a403fb">- Utqayllaman mikuy yanukunapaq yakuta apamusaq.</span>\n<span fgcolor="#0000ff">- Para cocinar la comida traeré rápido agua.</span>
utulu	<span fgcolor="#228B22">(s).</span> Wallpapa qarin. <span fgcolor="#ff0000">Gallo.</span>\n<span fgcolor="#a403fb">- Puka utuluqa yana wallpata sarurqun.</span>\n<span fgcolor="#0000ff">- El gallo rojo ha domado a la gallina negra.</span>
uturunku	<span fgcolor="#228B22">(s).</span> Hatun yana misihina purun uywa. <span fgcolor="#ff0000">Jaguar.</span>\n<span fgcolor="#a403fb">- Uturunkuqa manam runataqa mikunchu.</span>\n<span fgcolor="#0000ff">- La pantera no come a las personas.</span>
uwiha	<span fgcolor="#228B22">(s).</span> Karnirupa chinan. Quralla mikuq millwasapa uchuy uywa. <span fgcolor="#ff0000">Ovino, oveja.</span>\n<span fgcolor="#a403fb">- Uwihapa aychanqa manam llumpay miskichu.</span>\n<span fgcolor="#0000ff">- La carne de la oveja no es muy agradable.</span>
uya	<span fgcolor="#228B22">(s).</span> Umapa rakin, kaypin ñawi, sinqa, urku, simi tarikun. <span fgcolor="#ff0000">Cara.</span>\n<span fgcolor="#a403fb">- Machuyasqa uyapa qaran sipuyanñam.</span>\n<span fgcolor="#0000ff">- Cuando envejecemos la piel de la cara comienza a arrugarse.</span>
uyariy	<span fgcolor="#228B22">(r).</span> Runapa rimasqan uywapa pisqupa waqasqan rinriwan hapiy. Ima luqyaypas musyay. <span fgcolor="#ff0000">Oir.</span>\n<span fgcolor="#a403fb">- Sapa punchawmi kukulipa takisqanta uyarini.</span>\n<span fgcolor="#0000ff">- Escucho todos los días el canto de la paloma cuculi.</span>
uyllay	<span fgcolor="#228B22">(r).</span> Pitapas quwananchikpaq rimapayay. Mañay. <span fgcolor="#ff0000">Pedir.</span>\n<span fgcolor="#a403fb">- Amahina kaspayki, tantaykita quykuway.</span>\n<span fgcolor="#0000ff">- Por favor, dame pan.</span>
uytu	<span fgcolor="#228B22">(s).</span> Wallpapa, pisqukunapa kunkanpi wayaqa mikusqan yaqinanpaq. Uynu, uksu, qutu. <span fgcolor="#ff0000">Buche.</span>\n<span fgcolor="#a403fb">- Wallpa uytuta mikunam.</span>\n<span fgcolor="#0000ff">- Se debe comer el buche de la gallina.</span>
uywa	<span fgcolor="#228B22">(s).</span> Runawan kuska yachaq huñunasqa uywakuna. <span fgcolor="#ff0000">Animal, ganado.</span>\n<span fgcolor="#a403fb">- Kanchantin uywatam runa suwarqun.</span>\n<span fgcolor="#0000ff">- El ratero robó todo el corral de ganado.</span>
uyway	<span fgcolor="#228B22">(r).</span> Ima uywapas mirachinapaq harkay. <span fgcolor="#ff0000">Criar ganado.</span>\n<span fgcolor="#a403fb">- Wasinpi wallpakunata kuchikunanta uywan.</span>\n<span fgcolor="#0000ff">- Cría gallinas y chanchos en su casa.</span>
wachakuy	<span fgcolor="#228B22">(r).</span> Llullu wawa paqarichimuy. China uywa uña paqarichimuy. Yurichiy. <span fgcolor="#ff0000">Parir, dar a luz.</span>\n<span fgcolor="#a403fb">- Warmi qari wawata wachakurqun.</span>\n<span fgcolor="#0000ff">- La mujer dio a luz un niño.</span>
wachi	<span fgcolor="#228B22">(s).</span> Uywakuna wañuchinapaq uman ñawchiyachisqa kaspi. <span fgcolor="#ff0000">Flecha.</span>\n<span fgcolor="#a403fb">- Wachiwan purun kuchita hapinku.</span>\n<span fgcolor="#0000ff">- Con la flecha cazan chanchos salvajes.</span>
wachu	<span fgcolor="#228B22">(s).</span> Sukahina huñunasqa allpa mikuy tarpunapaq. Waru waru ninkutaqmi. <span fgcolor="#ff0000">Camellón.</span>\n<span fgcolor="#a403fb">- Para quchaptin mana mikuy ismunanpaq wachuta ruranku.</span>\n<span fgcolor="#0000ff">- Costruyen camellones para que no se pudra la comida cuando la lluvia se empoza.</span>
waka	<span fgcolor="#228B22">(s).</span> Turupa chinan. <span fgcolor="#ff0000">Vaca.</span>\n<span fgcolor="#a403fb">- Wakapa lichinmanta kachipata ruranku.</span>\n<span fgcolor="#0000ff">- De la leche de la vaca hacen quesos.</span>
wakamayu	<span fgcolor="#228B22">(s).</span> Hatun luruhina qillu qumir anqas llimpiyuq sumaq puruyuq pisqu. <span fgcolor="#ff0000">Papagayo.</span>\n<span fgcolor="#a403fb">- Wakamayuqa runa rimasqanta yachapayan.</span>\n<span fgcolor="#0000ff">- El guacamayo imita lo que el hombre habla.</span>
wakay	<span fgcolor="#228B22">(r).</span> Achka ñutu rurukunata pampaman maqchiy. <span fgcolor="#ff0000">Esparcir.</span>\n<span fgcolor="#a403fb">- Siwaratam wakarqusqaku.</span>\n<span fgcolor="#0000ff">- Habían esparcido la cebada.</span>
wakcha	<b>1.</b> <span fgcolor="#228B22">(s).</span> Mana tayta mamayuq runa.<span fgcolor="#ff0000"> Huérfano.</span> <b>2.</b> <span fgcolor="#228B22">(s).</span> Mana imayuq runa. <span fgcolor="#ff0000">Pobre.</span>\n<span fgcolor="#a403fb">- Qayna watakuna achkam wakcha wawakuna rikurirqa.</span>\n<span fgcolor="#0000ff">- Los años anteriores aparecieron muchos niños huérfanos.</span>\n<span fgcolor="#a403fb">- Wasinkuta wayqu aparquptin llaqta wakchayarqun.</span>\n<span fgcolor="#0000ff">- Debido a la avalancha el pueblo quedó pobre.</span>
wakriy	<span fgcolor="#228B22">(r).</span> Paramunayaptin hanay pachapi akchistin tuqyay. <span fgcolor="#ff0000">Tronar.</span>\n<span fgcolor="#a403fb">- Wakrimuchkanmi; luku param chayarqamunqa.</span>\n<span fgcolor="#0000ff">- Está tronando el cielo; va a llegar una tormenta.</span>
wallata	<span fgcolor="#228B22">(s).</span> Pukaniraq tuspayuq chiri chiri purunkunapi yachaq pisqu. <span fgcolor="#ff0000">Ganso andino.</span>\n<span fgcolor="#a403fb">- Yuraqwan yanawan puruyuqmi wallataqa.</span>\n<span fgcolor="#0000ff">- La huallata tiene el plumaje de color blanco y negro.</span>
wallpa	<span fgcolor="#228B22">(s).</span> Utulupa chinan. <span fgcolor="#ff0000">Gallina.</span>\n<span fgcolor="#a403fb">- Wallpa aychaqa unquq warmikunapaq allinmi.</span>\n<span fgcolor="#0000ff">- La carne de gallina es muy buena para las parturientas.</span>
wallqa	<span fgcolor="#228B22">(s).</span> Hapichisqa rurukuna mikuykuna kunkapi warkurayaq. <span fgcolor="#ff0000">Collar.</span>\n<span fgcolor="#a403fb">- Uywa sintachina punchaw michiqkunaman wallqata churanku.</span>\n<span fgcolor="#0000ff">- El día que se les pone cintas a los animales se les coloca collares de frutas y comida a los que pastan.</span>
wallwaku	<span fgcolor="#228B22">(s).</span> Rikrapa waqtapa chawpinpi kaq uchku. Rikrapa urayninpi uchku. <span fgcolor="#ff0000">Axila.</span>\n<span fgcolor="#a403fb">- Hatunyasqaqa wallwakupi chukcha wiñamun.</span>\n<span fgcolor="#0000ff">- Cuando se llega a ser joven crece pelo en las axilas.</span>
waman	<span fgcolor="#228B22">(s).</span> Killin ninkutaqmi. Aycha mikuq uchuy ankahina pisqu, kallpasapa tuspayuq. <span fgcolor="#ff0000">Halcón.</span>\n<span fgcolor="#a403fb">- Anka pawaptin wamanqa qatikachan.</span>\n<span fgcolor="#0000ff">- Cuando vuela el gavilán le persigue el halcón.</span>
wanachu	<span fgcolor="#228B22">(s).</span> Tuqulluwaypa rurun. Qumir kaspaqa millwasapam qaran. Puqusqanmanhinaqa millwan wichin. Miskiy miskiy mikuyniyuq ñutu, yana kinuwahina muhuyuq. Sankayu. <span fgcolor="#ff0000">Fruto de un cactus.</span>\n<span fgcolor="#a403fb">- Sasa sasam wanachu pallayqa, chaymi pisqukunalla mikukun.</span>\n<span fgcolor="#0000ff">- Es muy difìcil coger el wanachu por eso sólo se lo comen los pájaros.</span>
wanaku	<span fgcolor="#228B22">(s).</span> Llamaman rikchakuq purun uywa, yana chumpiniraq millwayuq, chiri allpakunapi yachan. <span fgcolor="#ff0000">Guanaco.</span>\n<span fgcolor="#a403fb">- Wanakupiqa manam qipita apachwanchu.</span>\n<span fgcolor="#0000ff">- En el guanaco no se puede cargar bultos.</span>
wankiy	<span fgcolor="#228B22">(r).</span> Imawanpas waltay, pituy, maytuy. <span fgcolor="#ff0000">Envolver, vendar.</span>\n<span fgcolor="#a403fb">- Kay chumpiwan muqunta wankirusaq.</span>\n<span fgcolor="#0000ff">- Voy a envolver su rodilla con esta faja.</span>
wanquyru	<span fgcolor="#228B22">(s).</span> Waylis kaqlla yana qillu, sirapi waytakunawan miski ruraq urucha. <span fgcolor="#ff0000">Abeja.</span>\n<span fgcolor="#a403fb">- Wanquyrupaqmi waytakunata tarpusun.</span>\n<span fgcolor="#0000ff">- Vamos a sembrar flores para las abejas.</span>
wanti	<span fgcolor="#228B22">(s).</span> Rakapapas lanipapas unquynin. <span fgcolor="#ff0000">Enfermedades venéreas.</span>\n<span fgcolor="#a403fb">- Pusullu pusulluhinam wanti runapa ispakunanpi rikurimun.</span>\n<span fgcolor="#0000ff">- Las enfermedades venéreas aparecen en forma de úlceras en los genitales de las personas.</span>
wanu	<span fgcolor="#228B22">(s).</span> Mikuy ruruchinapaq imaymana uywakunapa akan huñusqa. <span fgcolor="#ff0000">Estiércol extraído de corral, abono, desperdicio.</span>\n<span fgcolor="#a403fb">- Quwi wanuwan allintam sara qispin.</span>\n<span fgcolor="#0000ff">- Con el abono del cuy hay buena producción de maíz.</span>
wañunayaq	<span fgcolor="#228B22">(s).</span> Runapapas uywapapas kallpan chinkaynin wañuypaq kachkaptin. <span fgcolor="#ff0000">Agonizante.</span>\n<span fgcolor="#a403fb">- Wañunayaq runa kawsarirqamusqa.</span>\n<span fgcolor="#0000ff">- El hombre que estaba por morir reaccionó.</span>
wañuy	<span fgcolor="#228B22">(r).</span> Samay chinkay. Manaña kawsay. Chinkakuy. <span fgcolor="#ff0000">Morir.</span>\n<span fgcolor="#a403fb">- Allquqa unquywan wañun.</span>\n<span fgcolor="#0000ff">- El perro murió con la enfermedad.</span>
