a	Vocal baja central.
wayaqa	<i>s.</i> Bolsa. Talega, saquillo. || Bolsa pequeña para llevar coca. Ch'uspa. || Bolsa o saco grande, costal. Kutama.
wayay, wayachay, llawqhiy, llawqhichay	<i>tr.</i> Aflojar. Disminuir la presión o tirantez.
wayay, wikch'uy, ayqichiy	<i>tr.</i> Ahuyentar. Hacer huir.
wayay	<i>tr.</i> Ahuyentar a los pájaros de las sementeras.
waychinqara	<i>adj.</i> Andrajoso, harapiento.
waychu	<i>s.</i> Ave tiránica de color plomo pardusco que vive en tierras bastante altas.
waych'a	<i>s.</i> Planta de la familia de las compuestas que tiene un olor fuerte.
wayka, WAYKHA	<i>s.</i> Faena. Trabajo comunal para bienestar público.
wayka, WAYKHA	<i>s.</i> Agresión colectiva a una sola persona.
waykanaku, WAYKHANAKU	<i>s.</i> Arrebatiña.
waykay, WAYKHAY	<i>tr.</i> Atacar varios a uno solo.
wayki	<i>s.</i> Estatura, talla.
wayk'ukuy	<i>s.</i> Hora. // Juk wayk'ukuy: Una hora. // Phichqa wayk'ukuy: Cinco horas. <span variant="smallcaps"><b>phani.</b></span>
wayk'una wasi, wayk'uy wasi	<i>s.</i> Cocina. Casa o pieza donde se cocina. || Fogón. Q'uncha, junch'a.
wayk'uq, yanuq	<i>adj. y s.</i> Cocinero, -ra.
wayk'uy, yanuy	<i>tr.</i> Cocinar. Guisar, preparar los alimentos con el fuego.
wayk'uy, yanuy	<i>tr.</i> Guisar. Preparar alimentos mediante el fuego.
waylla	<i>s.</i> Prado, fierra con hierba para pasto o paseo.
wayllaku, WALLWAK'U, lluk'i	wallak'u. <i>s.</i> Axila. Sobaco.
wayllaywana, p'itu	p'itulli, k'uchi. <i>adj.</i> Activo. Que obra o tiene virtud de obrar.
wayllu	<i>s.</i> Caricia. Demostración cariñosa o amorosa. || Caricia entre las palomas. Chinu.
wayllu	<i>s.</i> Halago, idilio, coloquio amoroso.
wayllukuy	<i>tr. y prnl.</i> Halagar, acariciar, mimar.
wayllunakuy	<i>rec.</i> Enamorarse tiernamente, mimarse. || Enamorarse una pareja. Munanakuy.
wayllunk'a	<i>s.</i> Columpio. Mecedora.
wayllunk'achiy	<i>tr.</i> Mecer en un columpio. || Mecer. Menear y mover un líquido. Qaywiy, q'altiy. || Mecer un niño. Chhukuy. Ikhay.
wayllunk'ay	<i>intr.</i> Columpiarse, mecer en el columpio.
waylluq wayna, munaqi	<i>s.</i> Galán. El que galantea a una mujer.
wayllusqa, munasqa	<i>adj.</i> Ñaño, -ña. Mimado.
waylluy	<i>s.</i> Amor con ternura. || Munay. Amor. Inclinación o afecto a la persona. || Afecto entre personas. Munakuy. || Compasión. Khuyay.
waylluy	<i>tr.</i> Acariciar. Tratar a alguien con ternura. || Acariciar una paloma a otra. Chinuy.
waylluy	tr. Amar con ternura y cariño.
waylluykachay	<i>tr.</i> Galantear. Pretender algo de una persona y ser amable con ella. || Galantear el hombre a la mujer. Sallaykachay. || Galantear la mujer al varón. Chapullayay.
wayma kay, ñawpa kay	<i>s.</i> Antigüedad. Condición de antiguo o remoto.
wayma pacha	<i>s.</i> Tiempo pretérito, tiempo pasado.
wayma wata	<i>adv.</i> Antaño, en tiempo antiguo, en época o año pasado.
wayma	<i>adj. y s.</i> Pretérito, pasado.
wayna kay	<i>s. m.</i> Juventud. Mocedad del varón. || <i>s. f.</i> Sipas kay.
wayna	<i>adj.</i> <i>s. m.</i> Joven. Hombre que está en la juventud. || Muchacho, adolescente, efebo. Maqt'a.
waynakuy, waynay	Enamorarse la mujer.
waynay	<i>tr.</i> Enamorarse la mujer.
waynayay	<i>intr.</i> Rejuvenecer. Remozar los varones. || Remozar las mujeres. Sipasyay.
waynayay	<i>intr.</i> Volverse joven.
wayñiy	<i>tr.</i> Temer, avergonzarse.
wayñu	<i>s.</i> Danza muy movida que se baila colectivamente por parejas asidas de las manos.
wayñuy	<i>intr.</i> Bailar la danza wayñu.
wayq'u	<i>s.</i> Quebrada. Hondonada, hoyada, cuenca, depresión de tierra formada por hundimiento o por deslaves. || Valle de clima benigno, cañada templada. Qhiswa.
wayq'uchay	<i>tr.</i> Erosionar la tierra convirtiendola en quebradiza.
wayra chaki, wayralla	<i>adj.</i> Ágil. Ligero, pronto.
wayra chaki	<i>adj. y s.</i> Andarín. Andariego.
wayra maki, q'aru	<i>adj. y s.</i> Manirroto, derrochador, despilfarrar.
wayra	<i>s.</i> Viento. Corriente natural de aire atmosférico.
wayracha, wayralli	<i>s.</i> Aire.
wayrachina	<i>s.</i> Abanico. Instrumento para hacer o hacerse aire. || Utensilio para avivar el fuego. Phukuna.
wayrachiy, phukuy, laphay	<i>tr. y prnl.</i> Abanicar. Hacer aire con el abanico.
wayrachiy	<i>tr.</i> Ventilar. Hacer que entre y corra el aire en algún sitio.
wayralla	Utqhaq. <i>adj.</i> Veloz. Ligero, rápido.
wayrana	Qhawana. <i>s.</i> Ventana. Abertura en la pared de una casa para dar luz, ventilación y para avisorar afuera.
wayrapamusqa, mitmaq, tumaqaya	<i>adj. y s.</i> Advenedizo. Extranjero.
wayrari	<i>s.</i> Brisa. Viento suave.
wayrat'ay	<i>tr.</i> Castigar para escarmiento.
wayray	<i>impers.</i> Hacer viento.
wayraykachay	<i>impers.</i> Amagar parcialmente el viento, ventisquear. || <i>intr.</i> Afanarse insulsamente o por demostrar diligencia.
wayru	<i>s.</i> Señora. Mujer de los curacas o de otras autoridades. || Tratamiento que se da a cualquier mujer. Mama.
wayrunq'u t'iqi	<i>s.</i> Colmena de las abejas.
wayrunq'u, wayrunqu, wanquyru, wanq'uyru, wankuyra	<i>s.</i> Abejorro. Insecto himenóptero, velludo, que zumba mucho al volar.
wayruru	<i>s.</i> <i>Bot.</i> Búcare, árbol leguminoso de lugares tropicales, cuyos frutos rojos encendidos y algunas veces mellados de negro, se utiliza para collares y otros usos de adorno (JAL).
wayta	<i>s.</i> Airón. Penacho.
wayta	<i>s.</i> Flor silvestre, flor campestre. // Cual silvestre flor, único y sólito soy: Puna wayta jiña ch'ulla sapachallay. || T'ika, ayna. Flor. // Flor roja: Puka t'ika. || Flor de frutales y de cereales. Sisa.
wayta	<i>s.</i> Silbido del viento.
waytay	<i>intr.</i> Florecer las plantas silvestres. || Florecer, echar la flor. T'ikay, aynay. || Florecer los cereales y frutales. Sisay.
waytay	<i>intr.</i> Silbar el viento.
waytay, tuytuy	<i>intr.</i> Nadar. Mantenerse sobre un líquido e ir por él sin tocar el fondo.
wayu, ruru, puquy	<i>s.</i> Fruta. Fruto comestible del árbol.
wayunka, chuqllunka	<i>s.</i> Racimo de banano. || Racimo. Conjunto de frutas que pende de un eje común. Kintu.
wayuq	<i>adj.</i> Abundante. || Achkha, chay chhika. Abundante.
wayuy	<i>intr.</i> Colgar, quedar pendiente o estar suspendido en el aire.
waywa, jiwi, yawya	<i>s.</i> Merma. Acción de mermar.
waywachiy, yawyachiy, pisiyachiy	<i>tr.</i> Disminuir. Rebajar, hacer menos. || <i>intr.</i> Volverse o hacerse menos. Yawyay, wayway, pisiyay, jiwiqay.
wayway, jiwiy, jiwiqay, yawyay	<i>intr. </i>Mermar. Disminuir una cosa.
wayway, yawyay, pisiyay	iwiqay. <i>intr.</i> Volverse o hacerse menos. || Disminuir. Rebajar, hacer menos. <i>tr.</i> Yawyachiy, pisiyachiy, waywachiy.
wichana, siqana, chakana	<i>s.</i> Escalera. Serie de peldaños que sirve para subir y bajar. || Subida, cuesta.
wichariq, siqaq	<i>adj.</i> Ascendiente.
wichariy, wichay	<i>intr.</i> Subir. Ascender, pasar a lugar más alto.
wichay, wichariy	<i>intr.</i> Subir. Ascender, pasar a lugar más alto.
wichay	<i>adv.</i> Arriba. En lo alto, en la parte alta.
wichay	<i>s.</i> Cuesta arriba. || Cuesta. Terreno en pendiente. Qhata, saya. || Cuesta abajo. Uray.
wichay	<i>s.</i> Subida. Acción de subir. Cuesta.
wichichichiy	<i>intr.</i> Silbar, dar o producir silbidos.
wich'i	<i>s.</i> Cántaro grande de boca ancha (JL).
wich'u	<i>s.</i> Hueso largo del muslo o brazo.
wikapay, urmachiy, taqmay, thuñichiy, thunichiy, maray	<i>tr.</i> Derribar. Hechar abajo, tirar al suelo.
wikar	Chumpillina. <i>s.</i> Cintura. Parte más estrecha del cuerpo humano, por encima de las caderas.
wikay	<i>tr.</i> Destupir, descompactar un tejido.
wikch'una	<i>adj.</i> Aplícase a las cosas despreciables, que pueden ser arrojadas.
wikch'uy, chamqay, chuqay, ch'amqay	<i>tr.</i> Lanzar. Arrojar, tirar. || Lanzar a pelea o competencia. Kachaykuy.
wikch'uy, qharquy	<i>tr.</i> Desterrar. Echar a uno de un lugar.
wikch'uy	<i>tr.</i> Botar, arrojar con violencia. || Expulsar. Despedir, arrojar o echar fuera. Qharquy.
wiksa, wisa	<i>s.</i> Estómago. Viscera que recibe el alimento.
wiksa, wisa	<i>s.</i> Panza. Barriga, vientre.
wiksallikuy, wiksayakuy, chichuyakuy, chichuyay	<i>intr. y tr.</i> Concebir. Quedar preñada la hembra. || <i>fig.</i> Imaginar, formar idea, hacer concepto de una cosa. Umallikuy, umalliy. || Comprender. Jap'iqay.
wiksasapa, t'ini	<i>adj.</i> Barrigodo. Que tiene la barriga grande, panzón.
wiksayuq kay, chichu kay	<i>s.</i> Embarazo. Preñez.
wiksayuq	<i>adj.</i> Embarazada. Preñada, mujer encinta. || Término más usado para animales. Chichu.
wiksu, wist'u, q'iwi	<i>adj.</i> Torcido, -da. Que no es recto o que está doblado, encurvado o desviado.
wiksusqa, wiksu	<i>fam.</i> Wist'u. <i>adj.</i> Oblicuo, cua. Sesgado, inclinado.
wiksuy	<i>tr.</i> Sesgar, olbicuar.
wiksuyay	<i>intr.</i> Sesgarse. Torcerse a un lado, adquirir posición inclinada.
wik'i	<i>s.</i> Vedija, mechón de lana.
wik'uña	<i>s.</i> Vicuña.
wilali	<i>s.</i> Leche. Secreción de las mamas.
willachiy	<i>tr.</i> Hacer avisar, denunciar o anoticiar.
willakuy	<i>s.</i> Suceso que se comunica. || Noticia. Conocimiento de una cosa. Yacha.
willama, willayma	<i>s.</i> Historia.
willana, jawariy	<i>s.</i> Relato. Acto de relatar o narrar.
willana	<i>s.</i> Aviso, referencia, informe, relato. || Comunicación.
willana	<i>s.</i> Mensaje.
willapi	<i>adj.</i> Anaranjado. De color de la naranja.
willarikuy, ch'atay, willaykukuy	<i>prnl.</i> Presentar querella. || Quejarse. Expresar con la voz dolor o pena. Ayquy.
willay, atikllay	<i>tr.</i> Avisar. Anunciar.
willay, jaway, jawariy	<i>tr.</i> Narrar. Relatar, referir, contar.
willay	<i>s.</i> Cuento. Relato.
willay	<i>tr.</i> Informar. Enterar, dar noticia.
willaykukuy, ch'atay, willarikuy	<i>prnl.</i> Presentar querella. || Quejarse. Expresar con la voz dolor o pena. Ayquy.
willayma, willama	<i>s.</i> Historia.
willina	<i>adj.</i> Dícese del adolescente que crece rápido y alcanza alta estatura.
williwa	<i>s.</i> Anticipación, antelación.
williway	<i>tr.</i> Anticipar, antelar.
willka	<i>s.</i> Nieto, ta respecto del abuelo. || Nieto, nieta. Jaway.
willka	<i>s.</i> Dios menor en la teogonia incaica. || Tata inti. Dios Sol. || Dios divino, hacedor supremo de los incas. Wiraqucha. || Guaca. Dios tutelar masculino del lugar que moran en piedras antropomorfas o de formas impresionantes. Wak'a.
willkachay	<i>tr.</i> Deificar. Elevar a la categoría de Dios.
willkachi	<i>s.</i> Chisguete.
willkachina	<i>s.</i> Jeringa. Instrumento para inyectar líquidos.
willkanchaku, wak'anchaku	<i>s.</i> Consagración.
willkanchay, wak'anchay	<i>tr.</i> Consagrar. Hacer sagrado a un lugar, cosa o ser sobrenatural.
willkaparu	<i>s.</i> Una variedad de maíz de grano muy oscuro.
willk'u yuyu	<i>s.</i> Berro.
willpu	<i>s.</i> Postración, desaliento.
willpuchiy, willpuy	<i>tr.</i> Abatir, humillar, anonadar, hacer perder el ánimo. || Rendir. Vencer, obligar al enemigo a que se entregue. Wasqichiy, atipay. || <i>prnl.</i> Rendirse, abdicar. Wasqiy.
willpukuy, ullpukuy	<i>prnl.</i> Humillarse, abatirse. || <i>tr.</i> Humillar. Bajar, inclinar una parte del cuerpo en señal de acatamiento. K'umuchiy. || Abatir el orgullo, la altivez de uno. Ullpuchiy, willpuchiy.
willpukuy	<i>prnl.</i> Postrarse. Abatirse, anonadarse. || Hincarse de rodillas. Qunqurikuy.
willpuy, willpuchiy	<i>tr.</i> Abatir, humillar, anonadar, hacer perder el ánimo. || Rendir. Vencer, obligar al enemigo a que se entregue. Wasqichiy, atipay. || <i>prnl.</i> Rendirse, abdicar. Wasqiy.
willu	<i>adj.</i> Ruin, vil (JL).
willullu	<i>adj. y s.</i> Dícese del que es huérfano y pobre; misérrimo y abandonado. // Paupérrimo, desposeído de todo bien. Wakcha willullu. || Huérfano, -na. Niño sin padres. Wakcha, waqcha.
willuwa	<i>s.</i> Maizal que empieza a nacer y no cubre aún el suelo.
willuy	<i>tr.</i> Desmembrar, seccionar un miembro por los nudos. || Amputar. Wit'uy. || Cortar. Separar una cosa con un instrumento afilado. Kuchuy, khuchuy. || Cortar cabellos. <span variant="smallcaps"><b>rutuy,</b></span> ruthuy. || Cortar las mieses o la hierba. Ruthuy.
willuy	<i>tr.</i> Preparar la tierra para sembrar.
winay	<i>tr.</i> Ensacar. Meter algo en un saco.
wincha	<i>s.</i> Cinta usada para rodearse la cabeza, que ajustándose en ella suele pasar por la frente.
winchallikuy	<i>r. y prnl.</i> Adornarse con una cinta la cabeza.
winchuka	<i>s.</i> Vinchuca. Insecto, especie de chinche con alas.
wini rumi	<i>s.</i> Piedra silícea que se solía utilizar para labrar la piedra.
winkuna, WINKHUNA	<i>s.</i> Lugar o cosa donde se echa una persona. || Yacija. Lecho, cama. Puñuna.
winkunpaq	<i>adj. y s.</i> Horizontal. Dícese de la línea, disposición o dirección que va de derecha a izquierda o viceversa.
winkuq, WINKHUQ, siriq	<i>adj.</i> Yacente. Que yace.
winkuy, WINKHUY, siriy	<i>intr.</i> Yacer. Estar echada o tendida una persona. || Echarse como lagarto, boca abajo. Thallay.
winkhuna, winkuna	<i>s.</i> Lugar o cosa donde se echa una persona. || Yacija. Lecho, cama. Puñuna.
winkhuq, winkuq, siriq	<i>adj.</i> Yacente. Que yace.
winkhuy, winkuy, siriy	<i>intr.</i> Yacer. Estar echada o tendida una persona.
wiñachiy	<i>tr.</i> Acrecentar, hacer crecer.
wiñapu	<i>s.</i> Jora. Maíz preparado para hacer chicha. Cereal germinado.
wiñara, ch'awchu	<i>s.</i> Brote que aparece en los tubérculos largo tiempo guardados o en los cereales humedecidos.
wiñaray	<i>intr.</i> Aparecer brotes en los tubérculos o en los cereales.
wiñay, wiñay kay	<i>s.</i> Eternidad. Cualidad de eterno. || El tiempo considerado como extensión sin principio ni fin. Wiñay pacha.
wiñay	<i>adj.</i> Eterno, -na. Sin principio ni fin.
wiñay	<i>intr.</i> Crecer. Tomar aumento sensible los cuerpos naturales. || Hacerse mayor o más alto. Jatunyay. || Volverse paulatinamente adulto. Runayay.
wiñaychay	<i>tr.</i> Perpetuar. Hacer perdurable.
wiñaypa wiñaynin	<i>adv.</i> Los siglos de los siglos.
wipachi, juypa	<i>s.</i> Plomada. Pesa de plomo atada a una cuerda para determinar la vertical.
wipachiy, juypay	<i>tr.</i> Emplear la plomada.
wiphala chimpu	<i>s.</i> Escudo.
wiphala	<i>s.</i> Bandera. Emblema o insignia nacional.
wiphalachiq	<i>adj. y s.</i> Abanderado. El que lleva la bandera en procesiones o festejos públicos.
wiphi	<i>s.</i> Azote, látigo, chicote.
wiphiyay	Jasut'iy (<i>&lt;C</i>). <i>tr.</i> Flagelar. Azotar.
wiqi	<i>s.</i> Lágrima. Gota del humor que vierten los ojos.
wiqichi	<i>s.</i> <i>Anat.</i> Lagrimal, extremidad del ojo próxima a la nariz por donde salen las secreciones.
wiqiy	<i>intr.</i> Lagrimear, derramar lágrimas.
wiqru, t'inkilu	<i>adj. y s.</i> Zambo,-ba. Dícese de la persona que tiene juntas las rodillas y separadas las piernas hacia afuera. || Dícese del hijo de negro e indígena, o viceversa. Sampu.
wiqru, wist'u	<i>adj.</i> Torcido, combado.
wiqruchay	<i>tr.</i> Torcer, combar, encorvar.
wiqruyay	<i>intr.</i> Torcerse, combarse, encorvarse.
wiqruykachay, wiquykachay, khapaykachay	<i>intr.</i> Zanquear. Torcer las piernas al andar.
wiquykachay, wiqruykachay, khapaykachay	<i>intr.</i> Zanquear. Torcer las piernas al andar.
wiq'a	<i>s.</i> Quimo, contenido de la panza y de los intestinos de los animales.
wiq'aw	<i>s.</i> Bazo. Órgano impar parecido a una glándula, situado en la parte posterior izquierda del abdomen, entre el riñon izquierdo, el diafragma y las falsas costillas.
wiq'ay	<i>tr.</i> Sacar el quimo, limpiar el contenido de la panza y los intestinos de los animales.
wiq'uy	<i>tr.</i> y <i>intr.</i> Beber a grandes sorbos.
wira kay	<i>s.</i> Gordura. Abundancia de carnes y grasas en personas y animales.
wira q'uya, wira q'uwa	<i>s.</i> Cierto zahumerio que se hace para conjurar algunos males.
wira	<i>adj.</i> Gordo, -da. Que tiene muchas carnes, corpulento. || <i>s.</i> Sebo del animal.
wira	<i>s.</i> Sebo. Grasa de los hervíboros. || Cualquier gordura.
wirannaq	<i>adj.</i> Flaco, sin gordura.
wiraqucha	<i>adj. y s.</i> <i>fam.</i> Señor, caballero.
wiraqucha	<i>s.</i> Dios divino, hacedor supremo de los incas. || Tata inti. Dios Sol. || Dios menor en la teogonia incaica. Willka. || Guaca. Dios tutelar masculino del lugar que moran en piedras antropomorfas o de formas impresionantes. Wak'a.
wirasapa	<i>adj.</i> Grasoso, -sa. Que tiene mucho sebo. || <i>adj. y s.</i> Suciedad grasienta, mugre. Wiswi.
wirayachiy	<i>tr.</i> Engordar. Cebar. || <i>intr.</i> Ponerse o volverse gordo. Wirayay.
wirayay, rakhuyay	<i>intr.</i> Tomar carnes y hacerse más grueso y corpulento. || <i>tr.</i> Engrosar. Hacer gruesa y más corpulenta una cosa. Rakhuchay.
wirkhi	<i>s.</i> Cántaro grande y de boca muy ancha.
wirp'a	<i>s.</i> Labio superior.
wiru	<i>s.</i> Caña verde del maíz, de jugo dulce.
wiruy	<i>tr. e intr.</i> Chupar la caña del maíz o de otro cereal verde.
wisa, WIKSA	<i>s.</i> Panza. Barriga, vientre.
wisina	<i>s.</i> Recipiente con que se extrae agua u otro líquido.
wisiqay	<i>tr.</i> Extraer parte de un líquido.
wisiy	<i>tr.</i> Extraer o sacar con un recipiente agua u otro líquido de su depósito.
wiski	<i>s.</i> (<i>&lt;inglés</i>). Whisky. Bebida alcohólica que se obtiene por destilación de diversos cereales malteados, especialmente la cebada.
wisk'acha	<i>s.</i> Vizcacha, mamífero de la familia chinchíllidos, parecido a la chinchilla pero más rechoncho y de mayor tamaño.
wislulu	Wisñina, siwina, khuyuna. <i>s.</i> Silbato.
wislla	<i>s.</i> Cucharón. Cuchara grande para repartir manjares.
wisllay	<i>tr.</i> Usar el cucharón de madera o aluminio. || por ext. Comer o servir con la cuchara.
wisñina, siwina, khuyuna	Wislulu. <i>s.</i> Silbato.
wisñiy, khuyuy, siwiy, quywiy	<i>intr.</i> Silbar. Dar silbidos.
wisñiy, t'akay	<i>tr.</i> Desparramar. Esparcir. || Derramar líquidos o cosas menudas. Jich'ay. || Esparcir, hacer tomar diferentes direcciones. Ch'iqichiy.
wispa kay	<i>s.</i> Condición de mellizo o gemelo.
wispa	<i>adj. y s.</i> Gemelo, -la. Mellizo. Dícese de las hermanos nacidos de un mismo parto.
wispalla	<i>adj. y s.</i> Gemelo, mellizo, dícese de los hermanos nacidos de un mismo parto.
wispi	<i>adj. y s.</i> Divorciado, separado del cónyuge.
wisq'ana, WICHQ'ANA	<i>s.</i> Cerradura. || Instrumento para asegurar la cerradura de la puerta.
wisq'ana, WICHQ'ANA	<i>s.</i> Llave.
wisq'apay, WICHQ'APAY	<i>tr.</i> Volver a cerrar, cerrar más o de nuevo.
wisq'ay, WICHQ'AY	<i>tr.</i> Cerrar. Interceptar el paso.
wisq'uyllu, p'isquyllu	<i>s.</i> Trompo. Peonza.
wist'u, janqa	<i>adj. y s.</i> Cojo,-ja. El que cojea.
wist'u, q'iwi, wiksu	<i>adj.</i> Torcido,-da. Que no es recto o que está doblado, encorvado o desviado.
wiswi	<i>adj. y s.</i> Suciedad grasienta, mugre. || <i>adj.</i> Grasoso,-sa. Que tiene mucho sebo. Wirasapa.
wiswiray	<i>tr.</i> Quitar o eliminar la grasa.
wiswisapa	<i>adj.</i> Grasiento, mugriento.
wiswiy	<i>intr.</i> Caminar mugriento, andar sucio y grasiento.
wita	<i>s.</i> Mújol, pez teleósteo mugiliforme de carne muy apreciada.
witayasqa, t'uki, thampisqa	<i>adj.</i> Alocado.
witkhu	<i>s.</i> <i>amb.</i> Acueducto. || Canal. Conducto, vía. Kanal (<i>&lt;C</i>). || Acequia. Cauce artificial de agua. Rarq'a, larq'a.
witunkuy	<i>s.</i> <i>Bot.</i> Palmito; planta de la familia de las palmáceas.
withay	<i>tr.</i> Despedazar dando tirones. || Despedazar. Hacer pedazos. T'unay.
wit'u	<i>s.</i> Amputación.
wit'uq	<i>adj. y s.</i> Dícese de la persona que suele amputar.
wit'uy	<i>tr.</i> Amputar, cortar un miembro. || Mutilar. Cortar, cercenar una parte del cuerpo o de cualquier otra cosa. Qhuruy, mut'uy, muruy. || Desmembrar, seccionar un miembro por los nudos. Willuy. || Cortar. Separar una cosa con un instrumento afilado. Kuchuy, khuchuy. || Cortar cabellos. Rutuy, ruthuy. || Cortar las mieses o la hierba. Ruthuy.
wit'uykuy	<i>tr.</i> Cortar y tronchar con cuidado.
wiway	<i>s.</i> Guía de los tubérculos sin sembrar.
y	Glide o semiconsonante palatal.
yacha	<i>s.</i> Noción. Idea de una cosa. Conocimiento elemental.
yacha	<i>s.</i> Noticia. Conocimiento de una cosa. || Suceso que se comunica. Willakuy.
yachachina	<i>adj.</i> Enseñable, que se puede enseñar o hay que enseñar.
yachachiq	<i>s.</i> Maestro, -tra. Quien ensena. || Experto, sabio. Amawt'a, jamawt'a.
yachachiq	<i>s.</i> Profesor, -ra. Persona que ejerce o enseña una ciencia o arte.
yachachiy	<i>s.</i> Enseñanza. Acto y efecto de enseñar.
yachachiy	<i>s.</i> Instrucción. Acto de instruir.
yachachiy	<i>tr.</i> Enseñar. Instruir.
yachakuna	<i>s.</i> Ambientación, habituación.
yachakuq	<i>adj.</i> Dícese del estudiante aprendiz.
yachakuy	<i>prnl.</i> Habituarse. Acostumbrarse.
yachakuy	<i>prnl.</i> Saberse, llegara conocimiento una noticia.
yachama, yachayma	Yachana, jamut'ay. <i>s.</i> Ciencia.
yachana	<i>s.</i> Noción que de algo se debe tener. || Parte de un conocimiento que hay que saber o aprender. || Ciencia.
yachanna	<i>adj. y s.</i> Iletrado, analfabeta, que ignora de saber algo.
yachapa	<i>s.</i> Remedo, imitación o copia imperfecta de alguna cosa. || <i>adj.</i> Ingenioso, dícese de la persona que fácilmente capta o retiene lo que ve y lo repite.
yachapay runa	<i>adj. y s.</i> Habilidoso, -sa.
yachapaya	<i>s.</i> Parodia. Imitación burlesca.
yachapayay	<i>tr.</i> Imitar. Remedar, parodiar. Hacer algo semejante a otra cosa.
yachapu	<i>adj.</i> Habilidoso, el que entiende de muchas cosas y las sabe hacer.
yachaphuku	<i>adj. y s.</i> Remedador, imitador, parodista.
yachaq	<i>adj. y s.</i> Dícese de la persona que sabe alguna cosa.
yachaqana	<i>s.</i> Aprendizaje.
yachaqaq	<i>s.</i> Educando. Alumno. Discípulo.
yachaqay	<i>tr.</i> Aprender, adquirir el conocimiento de una cosa.
yacharquy	<i>tr.</i> Aprender con cierta facilidad alguna disciplina. || Informarse por algún medio extraordinario una noticia.
yachasqa, yachallisqa	<i>p.p.</i> Acostumbrado.
yachasqa	<i>fig.</i> Sabido. || <i>adj.</i> Conocido, -da. Riqsisqa.
yachay wasi	<i>s.</i> Escuela. Casa del saber.
yachay	<i>s.</i> Habilidad. Capacidad y disposición para una cosa.
yachay	<i>s.</i> Saber. // Casa del saber: Yachay wasi.
yachay	<i>s.</i> Sabiduría. Conocimiento profundo en ciencias, letras o artes. || <i>intr.</i> Saber. Yachay.
yachaykuchiy, yachachiy, yachallichiy	<i>tr.</i> Acostumbrar. Hacer adquirir costumbre.
yachayniyuq	<i>adj. y s.</i> Experto, -ta. Conocedor, entendido.
yakay	<i>tr.</i> Fertilizar echando abono con la mano. || Fertilizar. Fecundar la tierra con abono. Wanuy, wanuchay.
yakayaka	<i>s.</i> Pájaro carpintero del altiplano que cuando se eleva al aire aletea sus miembros para impulsar su vuelo.
yakill	<i>s.</i> Mensajero o mensajera, persona que lleva mensajes, enviado.
yaku, laq'a	<i>adj.</i> Insípido, chirle, sin sabor.
yaku, unu	<i>s.</i> Agua.
yakuchiy, ukyachiy	<i>tr.</i> Abrevar. Dar de beber al ganado.
yakun	Llaqhun. <i>s.</i> Yacón (<i>&lt;Q</i>). Cierta raíz comestible.
yakupaka	<i>s.</i> <i>neol.</i> Letrina.
yakuyachiy, unuchiy, unuyachiy	<i>tr.</i> Licuar. Derretir, convertir en líquido. || <i>prnl.</i> Licuarse. Yakuyay, unuyay.
yakuyachiy	<i>tr.</i> Pasar por agua huevos u otros alimentos. || Desabrir, quitar el sabor, hacer que una sustancia se ponga insípida.
yakuyay, chulluy, unuyay	<i>prnl.</i> Derretirse. Licuarse por el calor.
yakuyay	<i>intr.</i> Volverse chirle o insípido.
yalli t'inka, chanincha	<i>s.</i> Premio. Remuneración.
yalli t'inkay, chaninchay	<i>tr.</i> Premiar. Remunerar, dar premio.
yalli, jaylli, llalli	<i>s.</i> Victoria. Triunfo sobre el adversario.
yallichay, jatuchay	<i>tr.</i> Exagerar. Aumentar con exceso.
yallin, kuraq kaynin, ancha kaynin	<i>s.</i> Demasía. Exceso.
yallin	<i>s.</i> Sobrante, residuo. || Excedente.
yallinachiy	<i>tr.</i> Poner a la contienda a dos personas o animales para que uno de ellos salga victorioso.
yallinakuy	<i>rec.</i> Disputarse el triunfo en una competencia o contienda.
yallinraq	<i>conj.</i> Pero, empero, sin embargo. || Empero. Pero. Ichaqa.
yallitamuy	<i>tr.</i> Sobrepujar, aventajar, sobrepasar a los que están ganando, arrebatar la victoria como quien está convencido de su logro.
yalliy, llalliy	<i>intr.</i> Triunfar. Vencer.
yalliy	<i>tr. e intr.</i> Pasar. Aventajar, vencer. || Atravesar al frente. Chimpay. || Pasar algo. Imanay.
yalliyuq, yalliyniyuq	<i>adj.</i> Ventajoso, que tiene provecho o ventaja. || Demasiado.
yallkuy	<i>intr.</i> Entrar.
yallpay	<i>intr. y tr.</i> Acordarse. Recordar. || Yuyariy, yuyarikuy.
Yamki Sallkamaywa, Juan de Santa Cruz Pachakuti	<i>s.</i> Cronista indígena del siglo XVII, autor de &quot;Relación de antigüedades de este Reyno del Perú&quot; (JL).
yan, ñAN	<i>s.</i> Camino. Vía por donde se transita.
yana kay	<i>s.</i> Noviazgo, condición de novia o de novio. Consorcio entre mujer y varón.
yana khallwa, khallwa, wayanay	<i>s.</i> Golondrina.
yana manka	<i>s.</i> <i>fam.</i> Hollín, tizne de la olla.
yana	<i>adj.</i> Negro, -gra. De color muy oscuro. || Oscuro, -ra. Que carece de luz o claridad. <i>fig.</i> Tuta. || Lóbrego, tenebroso. Laqha, raqha.
yana	<i>fig.</i> <i>adj. y s.</i> Esclavo, -va. Persona que está bajo la absoluta dependencia de otra o que está bajo la dominación de alguien.
