Árbol de guapomó	Que crece en los llanos orientales de Bolivia. <font color=ForestGreen><b>bot.s.:</b></font> A'gi
¿Hablaste?	<font color=ForestGreen><b>vtr.interrog.:</b></font> ¿Pechjiko?
Sos hablador	Afirmación de una persona a otra que es lenguaraz. <font color=ForestGreen><b>adj.:</b></font> Pechjikra'i
¡Atendé!	<font color=ForestGreen><b>vtr.imper.:</b></font> Puechora'i
Pan	Alimento hecho de harina. <font color=ForestGreen><b>n.m.:</b></font> Panu
Perro	Animal Doméstico. <font color=ForestGreen><b>zool.:</b></font> Paku
Taitetú	 Animal silvestre. Su carne es comestible. <font color=ForestGreen><b>zool.:</b></font> Pakrara
¡Hacéte inyectar!	Orden de una persona a otra de que se haga inyectar con una jeriga <font color=ForestGreen><b>vintr.imper.:</b></font> Pakyumtu
¡Lávate tu testículo!	<font color=ForestGreen><b>vtr.prnl.imper.:</b></font> Paksip'agi
¡Ponte Cabecera!	<font color=ForestGreen><b>vtr.imper.:</b></font> Pakchunsiji
¡Sembrá!	Persona que ordena que siembre. <font color=ForestGreen><b>vtr.imper.:</b></font> Paksukre
¡Lávate la cara!	<font color=ForestGreen><b>vtr.imper.:</b></font> Paksipugi
Tienes que hacer para tu chaco	<font color=ForestGreen><b>cond.:</b></font> Pakesane
¿Será que lo vas a necesitar?	<font color=ForestGreen><b>cond.interrog.:</b></font> ¿Pakmumpuka?
¡Pobre perro!	Expresión de pena por un perro. <font color=ForestGreen><b>adj.interj.:</b></font> Pakchicha
¡Tienes que tener hijo!	<font color=ForestGreen><b>cond.imper.:</b></font> Pakchicha
Perrito	<font color=ForestGreen><b>n.m.dim.:</b></font> Pakgira
¡Tenés que chapapear!	Carne, pescado asado a fuego. <font color=ForestGreen><b>vtr.imper.:</b></font> Pakjítoru
¡Cocé!	Cocer De manera lenta y con cuidado la carne o pescado. <font color=ForestGreen><b>vtr.imper.:</b></font> Pjito'a
¡Tienes que asar!	Cocer porciones de carne o pescado. <font color=ForestGreen><b>vtr.imper.:</b></font> Pakojtoru
¡Tienes que estar atento!	Dar advertencia. <font color=ForestGreen><b>vtr.imper.:</b></font> Pasamóra'i
Campana	Instrumento de metal en forma de copa invertida que suena al golpearlo. <font color=ForestGreen><b>n.f.:</b></font> Punu
Charuto	Resto del cigarro de tabaco. <font color=ForestGreen><b>n.m.:</b></font> Puchu
Ciego	Persona no vidente. <font color=ForestGreen><b>adj.:</b></font> Puchugi
Avispa	Insecto que elabora celdas de prisión de barro, para encerrar a su presa. (Nombre común camoatí). <font color=ForestGreen><b>zool.:</b></font> Puti
Fortuna	Planta de mediana altura que sirve para medicina natural. <font color=ForestGreen><b>bot.:</b></font> Puutuna
Maíz	Grano blando de color amarillo. <font color=ForestGreen><b>bot.:</b></font> Puugieru
Yayú	Pez que vive en lugares pantanosos de la Amazonia. <font color=ForestGreen><b>zool.:</b></font> Pújogi
Eres dormilón	<font color=ForestGreen><b>adj.:</b></font> Pimkugi
¡Tejé!	Orden de elaborar un tejido. <font color=ForestGreen><b>vtr.imper.:</b></font> Pitsmerigia
Colibrí, picaflor	Ave silvestre, pequeña que habita en las selvas y pampas. <font color=ForestGreen><b>zool.:</b></font> Pitse
Turiro	Termita, insecto que perfora y se alimenta de madera. <font color=ForestGreen><b>zool.:</b></font> Pusi
Perezoso	Nombre común de una especie de mamífero lento. <font color=ForestGreen><b>zool.:</b></font> Po'e
Otro	Uno más. Necesito otro, que pase otro. <font color=ForestGreen><b>deter.:</b></font> 'Pona
Tu pueblo	Demuestra el lugar de procedencia natal. <font color=ForestGreen><b>adj.dem.:</b></font> Pkowsa
¡Ponelo!	Orden de colocar un objeto en un sitio o lugar. <font color=ForestGreen><b>vtr.imper.:</b></font> Pnoka
¡Añadilo!	persona que ordena agregar o incorporar una cosa con la otra. <font color=ForestGreen><b>vtr.imper.:</b></font> Pyukorocha
Abarca	Calzado de cuero que cubre solo la planta de los pies. <font color=ForestGreen><b>n.f.:</b></font> Pokopewo
¡Guíate!	Guiarse en el monte por el ruido o un sonido <font color=ForestGreen><b>vtr.imper.:</b></font> 'Po'cha
Pobre	Persona de escaso recurso económico. <font color=ForestGreen><b>adj.:</b></font> Powre
Paleta	Omóplatos. <font color=ForestGreen><b>anat.:</b></font> Powrocho
Tu cuerpo	<font color=ForestGreen><b>adj.dem.:</b></font> Pyog'e
Ajeno	Animal, objeto que pertenece a otra persona. <font color=ForestGreen><b>adj.:</b></font> 'Poy'e
Chulupi	Cucaracha, insecto de cuerpo aplanado negruzco. <font color=ForestGreen><b>zool.:</b></font> Poymo
Perro silvestre	Anmal salvaje de las selvas y pampas de la Amazonía. <font color=ForestGreen><b>zool.:</b></font> 'Popaku
Que tiene lunar	Persona, animal que tiene lunar. <font color=ForestGreen><b>adj.:</b></font> Pocho'o
Otro lado	Que está del otro lado. <font color=ForestGreen><b>deter.:</b></font> 'Pochkoyo
Acabado, perfecto, consumado, terminado	<font color=ForestGreen><b>adj.:</b></font> Pochpo
Terminado	Poner término a una cosa. <font color=ForestGreen><b>adj.:</b></font> Pochripo.  <font color=purple>Ej:</font> ¡Por fin termine mi trabajo!
Orrillear	Esquivar un obstáculo o dificultad. <font color=ForestGreen><b>vtr.:</b></font> Pócheko
Lo acabaste	Se lo acabó. <font color=ForestGreen><b>vtr.:</b></font> Pitoku'o
¡Tienes que terminalo!	Orden de terminar o acabar algo. <font color=ForestGreen><b>vtr.imper.:</b></font> Pitoku'a
¡Hacelo escuchar!	Persona que ordena a darle la información. O hacer probar algún alimento o bebida. <font color=ForestGreen><b>vtr.imper.:</b></font> Pimsama
Tienes que ofrecer	Orden de ofrecer algún objeto a. <font color=ForestGreen><b>v.mod.cond.:</b></font> Pimsamuigia
Tienes que vender	Persona que ordena vender. <font color=ForestGreen><b>v. mod.cond.:</b></font> Pijrorigia
¡Hacelo enojar!	Orden de hacer molestar a otra persona. <font color=ForestGreen><b>vtr.imper.:</b></font> Pimyunoka <font color=purple>/</font> pimyuujecha
Tienes que darle	De dar, otorgar. <font color=ForestGreen><b>mod.cond.:</b></font> Pijroka
Tu labio	Señala su labio. <font color=ForestGreen><b>adj.dem.:</b></font> Pcheyo
Tu mosquitero	Que el objeto le pertenece. <font color=ForestGreen><b>pron.dem.:</b></font> Pchaku
Tu corva	Le indica la parte posterior de la rodilla del cuerpo humano. <font color=ForestGreen><b>pron.dem.:</b></font> Pkute
Tienes que volver	Condiciona a regresar al sitio o lugar. <font color=ForestGreen><b>v.mod.cond.:</b></font> Pchapo
Tienes que besarlo	Condiciona a besar o tocar a alguien con los labios en señal de saludo, cariño. <font color=ForestGreen><b>v.mod.cond.:</b></font> Ptsuka
Tienes que apurarte	<font color=ForestGreen><b>v.mod.cond.:</b></font> Pyoyuchapo
¿Estás temblando?	<font color=ForestGreen><b>vtr.interrog.:</b></font> Pyooyoyojiko
Tienes que colgarlo	<font color=ForestGreen><b>v.mod.cond.:</b></font> Pchumka
¿Lo encontraste?	<font color=ForestGreen><b>vtr.interrog.:</b></font> ¿Pchimpo?
Tienes que ahorcarlo	<font color=ForestGreen><b>v.mod.cond.:</b></font> Pchumnuka
Tienes que jalarlo	<font color=ForestGreen><b>v.mod.cond.:</b></font> Pchuuka
Tienes que arrastrarlo	Orden de arrastrar canoa, palo, etc <font color=ForestGreen><b>v.mod.cond.:</b></font> Pchuupuegia
Tienes que arrastrarlo	<font color=ForestGreen><b>v.mod.cond.:</b></font> Pchuurigia
Tienes que sancochar	Orden de sancochar huevo. <font color=ForestGreen><b>v.mod.cond.:</b></font> Pchun'aka
Tienes que sancocharlo	Orden de sancochar alimentos. <font color=ForestGreen><b>v.mod.cond.:</b></font> Pchunoka
¡Llévalo a la fuerza!	<font color=ForestGreen><b>vtr.imper.:</b></font> Pchumtetegia
Tienes que poner el toco debajo de algo	<font color=ForestGreen><b>v.mod.cond.:</b></font> Pchúmocha
Tienes que acuñarlo	<font color=ForestGreen><b>v.mod.cond.:</b></font> Pchuncha
Tienes que preguntarle	<font color=ForestGreen><b>v.mod.cond.:</b></font> Pyoserigia
Tienes que pedir	<font color=ForestGreen><b>v.mod.cond.:</b></font> Pyosserigia
Tienes que orar por mí	<font color=ForestGreen><b>v.mod.cond.:</b></font> Pyosiuchanu
Es tu parte	<font color=ForestGreen><b>adj.dem.:</b></font> Pyekna
Es tuyo	<font color=ForestGreen><b>adj.poses.:</b></font> Pye'e
Tienes que ir	<font color=ForestGreen><b>v.mod.cond.:</b></font> Pyana
Tienes que huir, escapar	<font color=ForestGreen><b>v.mod.cond.:</b></font> Pyutajgia
Tienes que peluquearme o cortarme el cabello	<font color=ForestGreen><b>v.mod.cond.:</b></font> Pchuksigianu
¿Lo estás peluqueando?	<font color=ForestGreen><b>vtr.interrog.ger.:</b></font> Pchuksiko
¿Está peluqueando?	<font color=ForestGreen><b>vtr.interrog.:</b></font> Pchuksiriko
¡Ponte a guardar tus cosas!	<font color=ForestGreen><b>vtr.imper.:</b></font> Pyunaregia
¡Guárdalo!	<font color=ForestGreen><b>vtr.imper.:</b></font> Pyunaka
Tu manija	<font color=ForestGreen><b>adj.poses.:</b></font> Pyuwaragia
Tu primogénito	<font color=ForestGreen><b>adj.dem.:</b></font> Pimaruupe
Ramón	Nombre de persona. <font color=ForestGreen><b>n.:</b></font> Ramón
Rayador	Utensilio que se utiliza para rayar algún alimento. <font color=ForestGreen><b>n.m.:</b></font> 'Rekropa
Nuevo	Objeto o cosa que están nueva <font color=ForestGreen><b>adj.:</b></font> 'Rajru
Ladrillo	Material de construcción hecho de barro cocido.  <font color=ForestGreen><b>n.m.:</b></font> Rawriyu
Farol	Utensilio para alumbrar las calles que consiste en una luz eléctrica. <font color=ForestGreen><b>n.m.:</b></font> Rateena
Lata	envase de plástico, aluminio o metal. <font color=ForestGreen><b>n.f.:</b></font> Rata
Joven	Persona que esta en la etapa de la juventud. <font color=ForestGreen><b>adj.:</b></font> 'Raetona
Tutuma	Fruto de la planta del tutumo, del que se elabora como recipiente. <font color=ForestGreen><b>n.f.:</b></font> 'Repo
Lima	Fruta cítrica comestible. <font color=ForestGreen><b>bot.:</b></font> Rimateesia
Basura	Conjunto de desperdicios, barreduras, materiales etc., que se desechan. <font color=ForestGreen><b>n.f.:</b></font> 'Rimeji
Limón	Fruta cítrica que sirve para sazonar la comida. <font color=ForestGreen><b>bot.:</b></font> Rimo
Romana	Máquina que sirve para pesar cosas. <font color=ForestGreen><b>n.f.:</b></font> Romana
Guaso	Venado que vive en la selva. <font color=ForestGreen><b>zool.:</b></font> Ropo
Médico	Persona que tiene la autorización académica y legal para ejercer la medicina. <font color=ForestGreen><b>adj. n.m.:</b></font> Roktoru
Carcoma	Insecto que se utiliza para adornar el plumaje del machetero. <font color=ForestGreen><b>zool.:</b></font> Rókosi
Gracias	Expresión que se usa para agradecer algo a una persona. <font color=ForestGreen><b>n.f.:</b></font> Rusrupaya
Palometa	Pez de agua dulce. <font color=ForestGreen><b>zool.:</b></font> 'Rumo
Melero	Animal silvestre de la selva. <font color=ForestGreen><b>zool.:</b></font> 'Rukre
Peto abeja	Insecto de la familia de la abeja. <font color=ForestGreen><b>zool.:</b></font> 'Ruusi
Lucresia	Nombre de persona femenina. <font color=ForestGreen><b>n.f.:</b></font> Rukresia
Lunes	Primer día de la semana <font color=ForestGreen><b>n.m.:</b></font> Rúnesi
Día	Parte del día en que dura la claridad del Sol. <font color=ForestGreen><b>n.m.:</b></font> Sache
Fruta de la planta de la sandía	<font color=ForestGreen><b>bot.:</b></font> Saniya
Sábado	Sexto día de la semana. <font color=ForestGreen><b>n.f.:</b></font> Sáwaru
Machete	Herramienta que se utiliza para limpieza. <font color=ForestGreen><b>n.m.:</b></font> 'Saype
Sapo	Anfibio similar a la rana de mayor tamaño. <font color=ForestGreen><b>zool.:</b></font> Sapu
Su Apellido	<font color=ForestGreen><b>n.m.adj.dem.:</b></font> Sapíjane
Chaco	Espacio donde se produce los alimentos agrícolas. <font color=ForestGreen><b>n.m.:</b></font> 'Santi
Varios días	Conjunto de días durante el mes o año. <font color=ForestGreen><b>deter.:</b></font> Sachono
Sol del Gran Mojos	<font color=ForestGreen><b>n.p.:</b></font> Sáchemojo
Ají sol	Ají muy picante. <font color=ForestGreen><b>bot.:</b></font> Sachemo
Jahusi	Reptil pequeño de colores tornasoles que vive en la tierra. <font color=ForestGreen><b>zool.:</b></font> Semu
Mujer	Persona de sexo femenino <font color=ForestGreen><b>n.f.:</b></font> 'Seno
Tortuga	Animal silvestre del monte con caparazón. <font color=ForestGreen><b>zool.:</b></font> Sipu
Onda	Arma hecha con dos correas que sirve para lanzar piedras. <font color=ForestGreen><b>n.m.:</b></font> Sirinka
Oso hormiguero	Animal silvestre que se alimenta de hormiga. <font color=ForestGreen><b>zool.:</b></font> 'Siipo'e
Piyu	Avestruz. Ave que es corredora de pata larga. <font color=ForestGreen><b>zool.:</b></font> Sipa
Silla	Asiento individual con patas y respaldo. <font color=ForestGreen><b>n.f.:</b></font> Siya
Nariz	Parte saliente del rostro humano situada entre los ojos y la boca, con dos orificios en la parte inferior y que sirve para respirar y oler. <font color=ForestGreen><b>anat.:</b></font> Siri
Tiluchi	Ave de color Marrón que elabora su nido de barro. <font color=ForestGreen><b>zool.:</b></font> 'Sigieru
Incapaz	Persona inútil de realizar un mandato o actividad. <font color=ForestGreen><b>adj.:</b></font> Súteji
Chaisita	Paloma pequeña. <font color=ForestGreen><b>zool.:</b></font> Sivigira
Es de ella	Objeto que corresponde a ella. <font color=ForestGreen><b>adj.dem.:</b></font> Sye'e
Cangrejo, seboro	Crustáceo de río. <font color=ForestGreen><b>zool.:</b></font> Sose
Gato montés	Felino silvestre. <font color=ForestGreen><b>zool.:</b></font> Sóñore
Animal	Se utiliza para referirnos a cualquier animal. <font color=ForestGreen><b>zool.n.p.:</b></font> Sórare
Tabaco	Hoja de esta planta que, curada y preparada, se fuma, se masca o se aspira en forma de rapé. <font color=ForestGreen><b>n.m.:</b></font> Saware
Su abuelo	<font color=ForestGreen><b>adj. dem.:</b></font> Sochko
Chancho, cerdo	<font color=ForestGreen><b>zool.:</b></font> Smoru
Pato macho	Pato doméstico y silvestre. <font color=ForestGreen><b>zool.:</b></font> 'So'i
Zapato	<font color=ForestGreen><b>n.m.:</b></font> Spatu
Sucha	Ave carroñera. <font color=ForestGreen><b>zool.:</b></font> Spugi
Sama	Especie de araña de tamaño normal. <font color=ForestGreen><b>zool.:</b></font> Smatu
Pacú	Pez de agua dulce. <font color=ForestGreen><b>zool.:</b></font> Spuire
Chonta	Fruto de la palmera propia de la selva. <font color=ForestGreen><b>bot.:</b></font> Stovere
Kutuqui	Planta de olor rechinante que se utiliza como medicina natural. <font color=ForestGreen><b>bot.:</b></font> Smopre
Aurora	Ave que recibe ese nombre. <font color=ForestGreen><b>zool.:</b></font> Spupkure
Anta, tapir	Animal silvestre que vive en la selva. <font color=ForestGreen><b>zool.:</b></font> Samo
Tiesto	Utensilio de barro o metal que utiliza para tostar. <font color=ForestGreen><b>n.m.:</b></font> Srugrecho
Tostado	Alimento tostado de la carne de pescado o Como también de harina. <font color=ForestGreen><b>adj.:</b></font> Srupa
Sembradío	Que está destinado al sembrado. <font color=ForestGreen><b>n.f.adj.:</b></font> Skureko
Su nieto	<font color=ForestGreen><b>pron.dem.:</b></font> Samri
Especie de Martín pescador	Ave silvestre que habita en las orillas de los ríos. <font color=ForestGreen><b>zool.:</b></font> Sitgiiri
Martín pescador	Ave silvestre que se alimenta de peces. <font color=ForestGreen><b>zool.:</b></font> Schakra
Cuervo víbora	Tipo de ave silvestre que se alimenta de peces <font color=ForestGreen><b>zool.:</b></font> Schokre
Indomable	Que no se le puede dominar o domar. <font color=ForestGreen><b>adj.:</b></font> taato'okore
Su color	Afirmar el color de algo. <font color=ForestGreen><b>adj.dem.:</b></font> Taem'i
Apagado	Electrodoméstico, fuego, foco, mechero, vela que está apagado <font color=ForestGreen><b>adj.:</b></font> Tem'o
Lo mueve	Mover con una máquina algún objeto de gran tamaño o pesado. <font color=ForestGreen><b>vtr.:</b></font> Teyjoko
Su anzuelo	Cuando el anzuelo corresponde a la liñada. <font color=ForestGreen><b>adj.dem.:</b></font> Tenrove
Leque	Ave comúnmente de la pampa. <font color=ForestGreen><b>zool.:</b></font> Tete'u
Aviso	Mensaje o comunicado de lo que se puede recordar, pasado, presente. <font color=ForestGreen><b>n.m.:</b></font> Techokore
Entendido	Persona o animal que entiende o capta. <font color=ForestGreen><b>vtr.:</b></font> Taechemra'i
Se preocupa	Animal que tiene pena por su cría, o por volver a su lugar de origen. <font color=ForestGreen><b>vtr.prnl.:</b></font> Techomji
Manera de un animal en reconocer a su amo	<font color=ForestGreen><b>vtr.afirm.:</b></font> Temoti
Escucha	Techora'i. <font color=ForestGreen><b>vtr.:</b></font> T-samra'i
Escuchador	Persona que tiene buen oído para escuchar algún sonido, voz. <font color=ForestGreen><b>adj.:</b></font> T-samrogño
Algo que destinado para una actividad especial	<font color=ForestGreen><b>pron.indef.:</b></font> Téchosi
Construcción hecha de animales	Nidos. Cuevas. <font color=ForestGreen><b>n.m.:</b></font> Tepyako
El único	Se utiliza para referirnos a que una persona va llevar solo a un animal o cosa en especial. <font color=ForestGreen><b>adj.:</b></font> Takejworichu
Todo	Se refiere para afirmar o preguntar si los animales u objetos están todos en un mismo lugar. <font color=ForestGreen><b>deter.pron.indef.:</b></font> Tamutu
Se despertó	Para afirmar que el animal se ha despertado. <font color=ForestGreen><b>vtr.prnl.:</b></font> Tejamikpo
Su patio	<font color=ForestGreen><b>adj.dem.:</b></font> Tamíro'u
Me lo dio	<font color=ForestGreen><b>vtr.:</b></font> Tíjroknu
Le hace calor	<font color=ForestGreen><b>vtr.prnl.:</b></font> Tijru'o
Limosnero	Persona que pide limosna. <font color=ForestGreen><b>adj.:</b></font> T-yosse'i
Reloj	Objeto que sirve para medir el tiempo, indicador de horas, minutos y segundos. <font color=ForestGreen><b>n.m.:</b></font> Tkimotyorakore
Se derramó	Referido a la semilla que se demarró sobre el campo. <font color=ForestGreen><b>vtr.:</b></font> Teprekwo
Está flaco	Afirmación sobre una persona que perdió peso por alguna enfermedad o que tiene contextura delgada. <font color=ForestGreen><b>adj.:</b></font> Tejwóro'i
Está caliente	Afirmación sobre un objeto redondo, fruta, caldera caliente. <font color=ForestGreen><b>adj.:</b></font> Tijre'i
Calor	Energía que se manifiesta por un aumento de temperatura. <font color=ForestGreen><b>n.m.:</b></font> Tíjru'i
Caliente	Mesa, silla que está caliente. <font color=ForestGreen><b>adj.:</b></font> Tijrumo
Lo erró	Animal que por su bravura le falló con el asta o ataque a una persona. <font color=ForestGreen><b>vtr.:</b></font> Taejeko
Se partió	Afirmación de que la tierra o piso se dividió. <font color=ForestGreen><b>vtr.:</b></font> Tepjapueko
Masa de yuca que le falta fermentar	<font color=ForestGreen><b>n.f.:</b></font> Tu'eji
Persona que por su característica no sabe escuchar	<font color=ForestGreen><b>adj.:</b></font> Tu'esi
Valiente	Persona o animal que actúa con valor. <font color=ForestGreen><b>adj.:</b></font> 'Tummeji
Frío	Temperatura: Clima está frío. <font color=ForestGreen><b>n.m.:</b></font> Tummako
Fuerzudo	Persona que tiene mucha fuerza. <font color=ForestGreen><b>adj.:</b></font> Tume
Canoa, gaveta, tutuma de tamaño grande	<font color=ForestGreen><b>n.f.:</b></font> 'Tumesi
Que  enseña	Persona que transmite enseñanza. <font color=ForestGreen><b>n.f.m.:</b></font> Timitriko
Fuerza	Fuerza o energía de una maquinaria o animal. <font color=ForestGreen><b>n.m.:</b></font> Tatúmewo
Silba	Persona o animal que emite un silbido. <font color=ForestGreen><b>vintr.:</b></font> T-siko
Color negro	<font color=ForestGreen><b>n.m.:</b></font> T-siso
Se defecó	<font color=ForestGreen><b>vtr.prnl.:</b></font> T-soko
Se  enojó	Persona, animal o ave que se enoja. <font color=ForestGreen><b>vtr.prnl.:</b></font> T-semo
Ave silvestre nocturna que vive en la selva	<font color=ForestGreen><b>zool.:</b></font> T-seseko
Se detuvo	Exclusivo: para animal que se para o detiene por algún peligro o ruido, también cuando el avión aterriza. <font color=ForestGreen><b>vintr.:</b></font> Tichiko
Bibosi	Árbol de la selva que crece en la parte baja especialmente en la orilla de los ríos. <font color=ForestGreen><b>bot.:</b></font> Tsatsagi
Comadreja	Animal nocturno marsupial de la familia de los roedores. <font color=ForestGreen><b>zool.:</b></font> Tsaru
Gallareta	Ave de color rojiso de patas largas que habita en los lugares pantanosos. <font color=ForestGreen><b>zool.:</b></font> Tseru
Está vivo/viva	Animal, planta o persona que tiene vida o existe. <font color=ForestGreen><b>adj.:</b></font> Titoriko
Da afirmación de que un animal o ave le da de comer o amamantar	<font color=ForestGreen><b>vtr.afirm.:</b></font> Taejroko
Le gusta dar	Le Agrada compartir. <font color=ForestGreen><b>vtr.:</b></font> Tijrokra'i
Destructor	Persona o animal que le gusta destruir. <font color=ForestGreen><b>adj.:</b></font> Tisera'i
Chichilo	Mono pequeño salvaje de color amarillento. <font color=ForestGreen><b>zool.:</b></font> Tsigi
Lejía	Líquido extraído de la ceniza de la cáscara de plátano o del árbol etc. <font color=ForestGreen><b>n.f.:</b></font> Tsima
Orinón	Persona que por una enfermedad o mala costumbre micciona a cada rato. <font color=ForestGreen><b>adj.:</b></font> Tsimakure
Cagón	Persona que defeca a cada rato. <font color=ForestGreen><b>adj.:</b></font> T-sókra'i
Sin sabor	Comida o bebida que está sin gusto. <font color=ForestGreen><b>adj.:</b></font> T-yakaeru
Su hembra	<font color=ForestGreen><b>adj.dem.:</b></font> Tayeno
Su garganta (tragadero)	<font color=ForestGreen><b>adj.dem.:</b></font> Taereno
Patujú	Flor de planta silvestre que vive en lugares húmedos. <font color=ForestGreen><b>bot.:</b></font> Taruuno
Perdió	Persona que pierde algún juego o competencia. <font color=ForestGreen><b>vtr.:</b></font> Tito'a
Esqueleto	Hueso de personas, animales. Vertebrados. <font color=ForestGreen><b>n.m.anat.:</b></font> Titopéraji
Sin hierva	Espacio descubierto que no tiene hierva. <font color=ForestGreen><b>prep.:</b></font> Titopa'i
Se acabó	Afirmación de que un trabajo, comida o actividad se ha terminado. <font color=ForestGreen><b>vtr.:</b></font> Títowo
Mago	Persona que tiene poderes ocultos. <font color=ForestGreen><b>n.m.:</b></font> Tittuj'o
Pelopincho	Persona que tiene el cabello parado. <font color=ForestGreen><b>adj.:</b></font> Tichekosi
Lleno	Recipiente o vasija que está llena. <font color=ForestGreen><b>adj.:</b></font> Tinko
Ya se llenó	Afirmación de que un recipiente, carretón o vasija esta completamente lleno. <font color=ForestGreen><b>vtr.:</b></font> Tinkopo
Claridad	Ambiente que esta iluminado o que tiene visibilidad. <font color=ForestGreen><b>adj.:</b></font> Tjaraku
Amaneció	Afirmación que comienza un nuevo día. <font color=ForestGreen><b>v.impers.:</b></font> Tjara'i
Color Blanco	<font color=ForestGreen><b>adj.:</b></font> Tjopu
Blanco	Persona que tiene la tez o piel blanca. <font color=ForestGreen><b>adj.:</b></font> Tjopuna
Está amaneciendo	<font color=ForestGreen><b>v.impers.:</b></font> Tjarakupo
Está mirando	Afirmación de que esta mirando algún evento o actividad. <font color=purple>/</font> Persona que es mirón. <font color=ForestGreen><b>vtr.:</b></font> Timora'i
Rayo	Descarga eléctrica entre dos nubes cargada de electricidad estática. <font color=ForestGreen><b>n.m.:</b></font> Taechcharako
Erección	Aumento del volumen y la rigidez de un órgano del cuerpo (como el clítoris, los pezones, especialmente, el pene). <font color=ForestGreen><b>n.f.:</b></font> T-semoyogi
Quebraron los huevos	Afirmación de que las crías de los ovíparos salieron del cascaron. <font color=ForestGreen><b>vintr.afirm.:</b></font> Taepcharakono
Quebró Sing	Taepcharakono. <font color=ForestGreen><b>vintr.:</b></font> Taepchako
Lo abrigó	Afirmación de que un animal o ave cubre o abriga a sus crías. <font color=ForestGreen><b>vtr.:</b></font> Takomjicho
Apareamiento	Acción de aparear o aparearse un macho y una hembra. <font color=ForestGreen><b>n.m.:</b></font> Takoyeno
Insistente	Acción de insistir del animal hasta conseguir lo que quiere. <font color=ForestGreen><b>adj.:</b></font> Takomesegnérawo
Está asando	Acción de una persona cuando esta asando carne, pecado. <font color=ForestGreen><b>vtr.:</b></font> Tkojmoru
Que es necesario	Por necesidad o por obligación. <font color=ForestGreen><b>adv.:</b></font> Tkomnukre
Fermentado	Bebida que esta fermentado.  <font color=purple>Ej.</font> La chicha, guarapo, chapunato que se elabora y consume dentro los Mojeños Trinitarios. <font color=ForestGreen><b>adj.:</b></font> Tkotsiomo
Dolencia	Persona que afirma que esta con alguna dolencia. <font color=purple>/</font> También se utiliza para referirse al ají que esta picante. <font color=ForestGreen><b>n.f.:</b></font> Tkoti
Leñear	Persona que va a recolectar o cortar leña. <font color=ForestGreen><b>vtr.:</b></font> Tneriko
Fruta	Fruta de algún árbol. <font color=ForestGreen><b>n.:</b></font> To'i
Rancio	Que con el tiempo toma un sabor y olor más fuertes mejorándose o echándose a perder. <font color=ForestGreen><b>adj.:</b></font> Tko'u
Florece	Afirmación que un árbol está con flores. <font color=ForestGreen><b>bot.vtr.:</b></font> Tkoj'u
Tiene fruta	Afirmación que un árbol tiene fruta. <font color=ForestGreen><b>n.f.:</b></font> Tko'i
Arrugado	<font color=ForestGreen><b>adj.:</b></font> Tvíchemo
Inflamado	Persona que presenta absceso por algún golpe o enfermedad. <font color=ForestGreen><b>adj.:</b></font> Tyamo
Vuela	Afirmación de que un objeto o ave esta volando. <font color=ForestGreen><b>adj.:</b></font> Tyoro
Ladrón	Persona que hurta lo que no es suyo. <font color=ForestGreen><b>adj.:</b></font> Tyomera'i
Largo	Que tiene más extensión en una de las dimensiones del plano que en otra. <font color=ForestGreen><b>adj.:</b></font> Tyumo
Está contento	Estado de ánimo de una persona, animal. <font color=ForestGreen><b>adj.:</b></font> Tyuusamre
Bien	Afirmativo para decir que un trabajo o hecho está bien. <font color=ForestGreen><b>adv.:</b></font> Tyuri
Bonito(a)	Que tiene belleza o atractivo y resulta agradable de contemplar o de escuchar <font color=ForestGreen><b>adj.:</b></font> Tyuunanaji
Delicioso	Afirmación de que la comida, fruta que esta sabroso. <font color=ForestGreen><b>adj.:</b></font> Tyuunisi
Bonito	Exclusivamente para: una canción, conversación, discurso esta bonito o interesante. <font color=ForestGreen><b>adj.:</b></font> Tyuupi
Come siripi	Persona que le gusta comer el siripi. <font color=ForestGreen><b>adj.:</b></font> Tyuuko
Flecha larga	Herramienta de caza y pesca propia de los pueblos originarios. <font color=ForestGreen><b>n.f.adj.:</b></font> Tyutagrigi
Aguja larga	Herramienta de costura. <font color=ForestGreen><b>n.f.adj.:</b></font> Tyupa
Árbol de tallo largo	<font color=ForestGreen><b>bot.adj.:</b></font> Tyugi
Se va	Afirmación de una persona que alguien se está yendo. <font color=ForestGreen><b>vtr.afirm.:</b></font> T-yono
Se tarda	Persona que tarda mucho. <font color=purple>/</font> También se utiliza para referirse cuando tarda mucho tiempo. <font color=ForestGreen><b>vtr.:</b></font> T-yere
Dañino	Persona o animal perjudicial. <font color=ForestGreen><b>adj.:</b></font> T-yuukóra'i
Me hace enojar	Persona que me hace poner molesto. <font color=ForestGreen><b>vtr.:</b></font> T-yuukonu
Que nada	Persona o animal que esta nadando. <font color=ForestGreen><b>vtr.:</b></font> Tyowreko
Sinvergüenza	Persona o animal. <font color=ForestGreen><b>adj.n.:</b></font> Tapikura'i
Hormiga cazadora	Especie de hormiga que presenta su tenaza que es su medio de defensa. <font color=ForestGreen><b>zool.:</b></font> 'Tsaysi
Concha	Tipo de molusco que se encuentra en la orilla de los ríos. Caracoles. <font color=ForestGreen><b>zool.:</b></font> Tsuype
