acjjz	<font color=#2E8B57>ESP:</font> arrear\n<font color=blue>AYM:</font> anaña, anakiña\n<font color=#FF8C00>ENG:</font> to herd
wilancha	<font color=#2E8B57>ESP:</font> sangre del animal sacrificado\n<font color=blue>AYM:</font> wilancha\n<font color=#FF8C00>ENG:</font> blood of sacrificed animal
wils = wilz	<font color=#2E8B57>ESP:</font> vigilar, velar\n<font color=blue>AYM:</font> injasiña\n<font color=#FF8C00>ENG:</font> to keep watch over
wils = wilz	<font color=#2E8B57>ESP:</font> llamar con la mano\n<font color=blue>AYM:</font> jawsaña\n<font color=#FF8C00>ENG:</font> to call with the hand
wilta	<font color=#2E8B57>ESP:</font> otra vez\n<font color=blue>AYM:</font> mayanti\n<font color=#FF8C00>ENG:</font> again
wiltiz	<font color=#2E8B57>ESP:</font> revolver, dar vueltas, girar\n<font color=blue>AYM:</font> thijraña\n<font color=#FF8C00>ENG:</font> to turn around, to rotate, to twirl
wilz = wils	<font color=#2E8B57>ESP:</font> vigilar, velar\n<font color=blue>AYM:</font> iñjasiña\n<font color=#FF8C00>ENG:</font> to keep watch over
wilz = wils	<font color=#2E8B57>ESP:</font> llamar con la mano\n<font color=blue>AYM:</font> jawsaña\n<font color=#FF8C00>ENG:</font> to call with the hand
willcaparu	<font color=#2E8B57>ESP:</font> variedad de maíz gris\n<font color=blue>AYM:</font> willkaparu\n<font color=#FF8C00>ENG:</font> type of gray corn
willi	<font color=#2E8B57>ESP:</font> cazador, pescador, Uru\n<font color=blue>AYM:</font> willi, katuri, challwa\n<font color=#FF8C00>ENG:</font> hunter, fisherman, Uru
winta	<font color=#2E8B57>ESP:</font> bufanda\n<font color=blue>AYM:</font> wujanta\n<font color=#FF8C00>ENG:</font> scarf
wintana	<font color=#2E8B57>ESP:</font> ventana\n<font color=blue>AYM:</font> wintana, t'uqu\n<font color=#FF8C00>ENG:</font> window
wintana	<font color=#2E8B57>ESP:</font> marca en la oreja de ganado\n<font color=blue>AYM:</font> wintana\n<font color=#FF8C00>ENG:</font> mark on ear of cattle (to denote ownership)
wiña	<font color=#2E8B57>ESP:</font> hueso para ceñir tramas del tejido\n<font color=blue>AYM:</font> wich'uña\n<font color=#FF8C00>ENG:</font> bone to tighten weft of weaving
wiña	<font color=#2E8B57>ESP:</font> persona de la misma edad\n<font color=blue>AYM:</font> mitapura\n<font color=#FF8C00>ENG:</font> person of the same age
wira	<font color=#2E8B57>ESP:</font> clamor de pena\n<font color=blue>AYM:</font> wira, janiwiras\n<font color=#FF8C00>ENG:</font> yelp of pain
wira	<font color=#2E8B57>ESP:</font> nunca\n<font color=blue>AYM:</font> jani wiras, jani piniw wiras, wirasa\n<font color=#FF8C00>ENG:</font> never
wiraz	<font color=#2E8B57>ESP:</font> nunca\n<font color=blue>AYM:</font> janiwiras\n<font color=#FF8C00>ENG:</font> never
wiri	<font color=#2E8B57>ESP:</font> trasero\n<font color=blue>AYM:</font> ch'ina\n<font color=#FF8C00>ENG:</font> buttocks
wiri = wirquiz	<font color=#2E8B57>ESP:</font> atrás de\n<font color=blue>AYM:</font> qhipa\n<font color=#FF8C00>ENG:</font> behind, out back
wiri ejp	<font color=#2E8B57>ESP:</font> padrastro\n<font color=blue>AYM:</font> yaqhatata\n<font color=#FF8C00>ENG:</font> stepfather
wiri maa	<font color=#2E8B57>ESP:</font> madrastra\n<font color=blue>AYM:</font> yaqhamama\n<font color=#FF8C00>ENG:</font> stepmother
wirquiz	<font color=#2E8B57>ESP:</font> atrás de\n<font color=blue>AYM:</font> qhipana\n<font color=#FF8C00>ENG:</font> behind
wirsu	<font color=#2E8B57>ESP:</font> canción, verso\n<font color=blue>AYM:</font> wirsu\n<font color=#FF8C00>ENG:</font> song, verse
wiruñ	<font color=#2E8B57>ESP:</font> más tarde, después\n<font color=blue>AYM:</font> ukata\n<font color=#FF8C00>ENG:</font> later, afterwards
wirwirz	<font color=#2E8B57>ESP:</font> vivir solo y apenado\n<font color=blue>AYM:</font> sapallaki\n<font color=#FF8C00>ENG:</font> to live alone and in grieve
wisi	<font color=#2E8B57>ESP:</font> cuñado\n<font color=blue>AYM:</font> masanu\n<font color=#FF8C00>ENG:</font> brother-in-law
witchz	<font color=#2E8B57>ESP:</font> derramar tirando\n<font color=blue>AYM:</font> willikipaña\n<font color=#FF8C00>ENG:</font> to spread by throwing
wits	<font color=#2E8B57>ESP:</font> poner olla en fogón\n<font color=blue>AYM:</font> phukhu qhirir uchaña\n<font color=#FF8C00>ENG:</font> to put kettle on the stove
witz	<font color=#2E8B57>ESP:</font> caer al suelo (sólido)\n<font color=blue>AYM:</font> willikipaña\n<font color=#FF8C00>ENG:</font> to fall to the floor
wiwu	<font color=#2E8B57>ESP:</font> vivo, sano\n<font color=blue>AYM:</font> wali, sanu\n<font color=#FF8C00>ENG:</font> well, lively, healthy
wiya	<font color=#2E8B57>ESP:</font> sueño\n<font color=blue>AYM:</font> samka, iki\n<font color=#FF8C00>ENG:</font> dream
wiyaja	<font color=#2E8B57>ESP:</font> viaje\n<font color=blue>AYM:</font> saraña\n<font color=#FF8C00>ENG:</font> journey, trip
wiyz	<font color=#2E8B57>ESP:</font> soñar con personas muertas\n<font color=blue>AYM:</font> jaqi chaqhatanti musposiña\n<font color=#FF8C00>ENG:</font> to dream of dead people
wiyz	<font color=#2E8B57>ESP:</font> decir (un moribundo) que no va a aparacer en sueños\n<font color=blue>AYM:</font> jiwxasan janipiniw, samkana iñstjamati\n<font color=#FF8C00>ENG:</font> to promise (dying person) not to appear in dreams
wiz̈talla	<font color=#2E8B57>ESP:</font> chuspa\n<font color=blue>AYM:</font> wallqipu, wistalla\n<font color=#FF8C00>ENG:</font> bag, purse
wjajrz	<font color=#2E8B57>ESP:</font> romper\n<font color=blue>AYM:</font> p'akjaña\n<font color=#FF8C00>ENG:</font> to tear, to break
wjajtz	<font color=#2E8B57>ESP:</font> pegar, chicotear, golpear\n<font color=blue>AYM:</font> jawq'aña\n<font color=#FF8C00>ENG:</font> to hit, to whip, to beat
wjajtz	<font color=#2E8B57>ESP:</font> tocar campana\n<font color=blue>AYM:</font> kalink jawq'aña\n<font color=#FF8C00>ENG:</font> to ring a bell
wjajtz	<font color=#2E8B57>ESP:</font> coser el borde del tejido\n<font color=blue>AYM:</font> suwukipaña\n<font color=#FF8C00>ENG:</font> to sew the border of fabric
wjijllz = pjijllz	<font color=#2E8B57>ESP:</font> suavizar lana para hilar\n<font color=blue>AYM:</font> quñart'aña\n<font color=#FF8C00>ENG:</font> to pull apart matted, crude wool to spin
wjijzlla	<font color=#2E8B57>ESP:</font> cuchara\n<font color=blue>AYM:</font> wislla\n<font color=#FF8C00>ENG:</font> spoon
ya	<font color=#2E8B57>ESP:</font> sí\n<font color=blue>AYM:</font> iyaw\n<font color=#FF8C00>ENG:</font> yes
yaaz	<font color=#2E8B57>ESP:</font> llenar bolsas\n<font color=blue>AYM:</font> winantaña\n<font color=#FF8C00>ENG:</font> to fill up sacks
yaca yaca	<font color=#2E8B57>ESP:</font> Yaca yaca (ave)\n<font color=blue>AYM:</font> yaka yaka, uuthu\n<font color=#FF8C00>ENG:</font> Andean Flicker (bird)
yacu	<font color=#2E8B57>ESP:</font> sal\n<font color=blue>AYM:</font> jayu\n<font color=#FF8C00>ENG:</font> salt
yachalla	<font color=#2E8B57>ESP:</font> poco\n<font color=blue>AYM:</font> juk'alla\n<font color=#FF8C00>ENG:</font> a bit, a little
yajcz	<font color=#2E8B57>ESP:</font> abrir la boca\n<font color=blue>AYM:</font> aysaña\n<font color=#FF8C00>ENG:</font> to open the mouth
yajcz	<font color=#2E8B57>ESP:</font> extender a un muerto\n<font color=blue>AYM:</font> winkt'ayaña\n<font color=#FF8C00>ENG:</font> to stretch out a dead person
yajcz	<font color=#2E8B57>ESP:</font> pesar\n<font color=blue>AYM:</font> pisaña\n<font color=#FF8C00>ENG:</font> to weigh
yajcz	<font color=#2E8B57>ESP:</font> jalar\n<font color=blue>AYM:</font> tiraña\n<font color=#FF8C00>ENG:</font> to pull
yajcz	<font color=#2E8B57>ESP:</font> hacer señas para cortejar\n<font color=blue>AYM:</font> tawaqunt parlaña\n<font color=#FF8C00>ENG:</font> to court
yajczinz	<font color=#2E8B57>ESP:</font> postergar\n<font color=blue>AYM:</font> tiraña\n<font color=#FF8C00>ENG:</font> to postpone
yajczinz	<font color=#2E8B57>ESP:</font> ayudar a pesar/jalar/estirar\n<font color=blue>AYM:</font> jiyt'as makhat yanapt'aña\n<font color=#FF8C00>ENG:</font> to help weigh/pull/stretch
yajkz = yakz = yekz = yejkz	<font color=#2E8B57>ESP:</font> servir comida\n<font color=blue>AYM:</font> liwaña\n<font color=#FF8C00>ENG:</font> to serve food
yak'achjuncja = yek'achjuncja	<font color=#2E8B57>ESP:</font> alacrán\n<font color=blue>AYM:</font> yaq'a yaq'a\n<font color=#FF8C00>ENG:</font> scorpion
yak'atama = yek'atama	<font color=#2E8B57>ESP:</font> orín fermentado\n<font color=blue>AYM:</font> yaq'a t'ama\n<font color=#FF8C00>ENG:</font> fermented urine
yak'at'atchi = yek'at'atchi	<font color=#2E8B57>ESP:</font> obstrucción en los conductos orinales (enfermedad)\n<font color=blue>AYM:</font> usu\n<font color=#FF8C00>ENG:</font> obstruction in urinal ducts (illness)
yakja = yekja	<font color=#2E8B57>ESP:</font> otro\n<font color=blue>AYM:</font> yaqha\n<font color=#FF8C00>ENG:</font> another
yakjapa = yekjapa	<font color=#2E8B57>ESP:</font> algunos\n<font color=blue>AYM:</font> yaqhapa, yaqhipa\n<font color=#FF8C00>ENG:</font> some
yakz = yajkz = yekz = yejkz	<font color=#2E8B57>ESP:</font> servir comida\n<font color=blue>AYM:</font> liwaña\n<font color=#FF8C00>ENG:</font> to serve food
yanapt'iz = yanapz = nanapz	<font color=#2E8B57>ESP:</font> ayudar\n<font color=blue>AYM:</font> yanapaña, yanapt'aña\n<font color=#FF8C00>ENG:</font> to help
yanapz = nanapz = yanapt'iz	<font color=#2E8B57>ESP:</font> ayudar\n<font color=blue>AYM:</font> yanapaña, yanapt'aña\n<font color=#FF8C00>ENG:</font> to help
yankja = yenkja = sajjra	<font color=#2E8B57>ESP:</font> diablo, demonio, malo\n<font color=blue>AYM:</font> saxra, supaya, ñanqha\n<font color=#FF8C00>ENG:</font> devil, demon, evil
yankjakulla = yenkjakulla	<font color=#2E8B57>ESP:</font> medicina contra malos espíritus\n<font color=blue>AYM:</font> ñanqha qulla\n<font color=#FF8C00>ENG:</font> medicine against evil spirits
yans	<font color=#2E8B57>ESP:</font> probar si funciona\n<font color=blue>AYM:</font> yant'aña\n<font color=#FF8C00>ENG:</font> to test if it works
yanzinz	<font color=#2E8B57>ESP:</font> tirar boleadoras\n<font color=blue>AYM:</font> ch'aqtaña, liwintaña, yanant'aña\n<font color=#FF8C00>ENG:</font> to throw bolas
yapanz = yapz	<font color=#2E8B57>ESP:</font> aumentar, dar como extra\n<font color=blue>AYM:</font> yapaña\n<font color=#FF8C00>ENG:</font> to give a little extra
yapinta morok'o	<font color=#2E8B57>ESP:</font> algo que se dice de broma\n<font color=blue>AYM:</font> yapintam muruq'u\n<font color=#FF8C00>ENG:</font> something they say in joking
yapinta morok'o	<font color=#2E8B57>ESP:</font> algo que se dice para agarrar aves con bolas\n<font color=blue>AYM:</font> yapintaña\n<font color=#FF8C00>ENG:</font> something one says to catch birds with bolas
yapz = yapanz	<font color=#2E8B57>ESP:</font> aumentar, dar como extra\n<font color=blue>AYM:</font> yapaña\n<font color=#FF8C00>ENG:</font> to give a little extra
yarita	<font color=#2E8B57>ESP:</font> yareta (planta medicinal)\n<font color=blue>AYM:</font> yarita\n<font color=#FF8C00>ENG:</font> medicinal plant
yatekz	<font color=#2E8B57>ESP:</font> aprender\n<font color=blue>AYM:</font> yatiqaña\n<font color=#FF8C00>ENG:</font> to learn
yaticha	<font color=#2E8B57>ESP:</font> animal nuevo no acostumbrado al rebaño\n<font color=blue>AYM:</font> wasa\n<font color=#FF8C00>ENG:</font> new addition to the flock that is not yet accustomed
yatiiñi = quint'iñi	<font color=#2E8B57>ESP:</font> chismear\n<font color=blue>AYM:</font> arjasiña, kuñtu q'ipiña\n<font color=#FF8C00>ENG:</font> to gossip
yatiiz	<font color=#2E8B57>ESP:</font> avisar\n<font color=blue>AYM:</font> yatiyaña\n<font color=#FF8C00>ENG:</font> to inform, to warn
yatiri	<font color=#2E8B57>ESP:</font> chamán, hechicero\n<font color=blue>AYM:</font> yatiri\n<font color=#FF8C00>ENG:</font> sorcerer, diviner
yatisins	<font color=#2E8B57>ESP:</font> ¡ahí se sabrá!\n<font color=blue>AYM:</font> yatisini (ukana)\n<font color=#FF8C00>ENG:</font> now we know!
yat'iz	<font color=#2E8B57>ESP:</font> acostumbrarse (animales)\n<font color=blue>AYM:</font> yatintasiña\n<font color=#FF8C00>ENG:</font> to get accustomed (animals)
yatjatz	<font color=#2E8B57>ESP:</font> acostumbrarse al nuevo rebaño\n<font color=blue>AYM:</font> yatintaña\n<font color=#FF8C00>ENG:</font> to get accustomed to new flock
yatjjatz	<font color=#2E8B57>ESP:</font> consultar al yatiri\n<font color=blue>AYM:</font> yatjataña, yatxataña\n<font color=#FF8C00>ENG:</font> to consult a sorcerer/diviner
yaw	<font color=#2E8B57>ESP:</font> ¡oye!\n<font color=blue>AYM:</font> yaw\n<font color=#FF8C00>ENG:</font> listen!, look here!
yawz	<font color=#2E8B57>ESP:</font> montar, subir\n<font color=blue>AYM:</font> latxataña\n<font color=#FF8C00>ENG:</font> to get on, to climb
yejkz = yekz = yakz = yajkz	<font color=#2E8B57>ESP:</font> servir comida\n<font color=blue>AYM:</font> liwaña\n<font color=#FF8C00>ENG:</font> to serve food
yek'achjuncja = yak'achjuncja	<font color=#2E8B57>ESP:</font> alacrán\n<font color=blue>AYM:</font> yaq'a yaq'a\n<font color=#FF8C00>ENG:</font> scorpion
yek'at'acz	<font color=#2E8B57>ESP:</font> tener obstrucción en los conductos orinales (enfermedad)\n<font color=blue>AYM:</font> usuntaña\n<font color=#FF8C00>ENG:</font> to have an obstruction in urinal ducts (illness)
yek'atama = yak'atama	<font color=#2E8B57>ESP:</font> orín fermentado\n<font color=blue>AYM:</font> yaq'a t'ama\n<font color=#FF8C00>ENG:</font> fermented urine
yek'at'atchi = yak'at'atchi	<font color=#2E8B57>ESP:</font> obstrucción en los conductos orinales (enfermedad)\n<font color=blue>AYM:</font> usu\n<font color=#FF8C00>ENG:</font> obstruction in urinal ducts (illness)
yekja = yakja	<font color=#2E8B57>ESP:</font> otro\n<font color=blue>AYM:</font> yaqha\n<font color=#FF8C00>ENG:</font> another
yekjapa = yakjapa	<font color=#2E8B57>ESP:</font> algunos\n<font color=blue>AYM:</font> yaqhapa, yaqhipa\n<font color=#FF8C00>ENG:</font> some
yekz = yejkz = yakz = yajkz	<font color=#2E8B57>ESP:</font> servir comida\n<font color=blue>AYM:</font> liwaña\n<font color=#FF8C00>ENG:</font> to serve food
yenjt'iz = yenjst'iz	<font color=#2E8B57>ESP:</font> enfermarse gravemente\n<font color=blue>AYM:</font> usu katuña\n<font color=#FF8C00>ENG:</font> to be seriously ill
yenkja = yankja = sajjra	<font color=#2E8B57>ESP:</font> diablo, demonio, malo\n<font color=blue>AYM:</font> saxra, supaya, ñanqha\n<font color=#FF8C00>ENG:</font> devil, demon, evil
yenkjakulla = yankjakulla	<font color=#2E8B57>ESP:</font> medicina contra malos espíritus\n<font color=blue>AYM:</font> ñanqha qulla\n<font color=#FF8C00>ENG:</font> medicine against evil spirits
yoka	<font color=#2E8B57>ESP:</font> suelo, tierra\n<font color=blue>AYM:</font> uraqi\n<font color=#FF8C00>ENG:</font> floor, soil, ground, land
yoka chjuuskatz = yoka tjeps	<font color=#2E8B57>ESP:</font> confundirse de dirección\n<font color=blue>AYM:</font> pantjasina (almanti)\n<font color=#FF8C00>ENG:</font> to go in the wrong direction
yokalla	<font color=#2E8B57>ESP:</font> hombre, varón\n<font color=blue>AYM:</font> chacha\n<font color=#FF8C00>ENG:</font> male
yoksami	<font color=#2E8B57>ESP:</font> tipo de insecto de la tierra muy pequeño\n<font color=blue>AYM:</font> k'uytu, laq'at laq'u\n<font color=#FF8C00>ENG:</font> kind of tiny insect
yooz	<font color=#2E8B57>ESP:</font> Dios\n<font color=blue>AYM:</font> yusa\n<font color=#FF8C00>ENG:</font> God
yucju = yujcpacha	<font color=#2E8B57>ESP:</font> mucho (productos)\n<font color=blue>AYM:</font> walja, ancha\n<font color=#FF8C00>ENG:</font> a lot of (products)
yucunz	<font color=#2E8B57>ESP:</font> regresar por el mismo camino\n<font color=blue>AYM:</font> k'uttaniña\n<font color=#FF8C00>ENG:</font> to return by the same road
yuczinz	<font color=#2E8B57>ESP:</font> apuntar\n<font color=blue>AYM:</font> chhuqtaña\n<font color=#FF8C00>ENG:</font> to aim, to point
yujc	<font color=#2E8B57>ESP:</font> cara\n<font color=blue>AYM:</font> innaqa\n<font color=#FF8C00>ENG:</font> face
yujc p'uzko	<font color=#2E8B57>ESP:</font> mejilla\n<font color=blue>AYM:</font> anuna\n<font color=#FF8C00>ENG:</font> cheek
yujcpacha = yucju	<font color=#2E8B57>ESP:</font> mucho (productos)\n<font color=blue>AYM:</font> walja, ancha\n<font color=#FF8C00>ENG:</font> a lot of (products)
yujcquiz	<font color=#2E8B57>ESP:</font> en frente de, delante de (personas)\n<font color=blue>AYM:</font> layxa\n<font color=#FF8C00>ENG:</font> in front of (persons)
yuurñi	<font color=#2E8B57>ESP:</font> comportamiento permanente, costumbre\n<font color=blue>AYM:</font> ukhampiniwa\n<font color=#FF8C00>ENG:</font> permanent behavior, custom
yuurz	<font color=#2E8B57>ESP:</font> comportarse bien, acostumbrarse\n<font color=blue>AYM:</font> yatintaña\n<font color=#FF8C00>ENG:</font> to behave well, to get used to
yuuz	<font color=#2E8B57>ESP:</font> volar en círculos\n<font color=blue>AYM:</font> muyruntaña\n<font color=#FF8C00>ENG:</font> to fly in circles
yuwanz	<font color=#2E8B57>ESP:</font> no poder pasar un obstáculo\n<font color=blue>AYM:</font> jani ma makhikipaña\n<font color=#FF8C00>ENG:</font> to be unable to pass an obstacle
zaazqui	<font color=#2E8B57>ESP:</font> \n<font color=blue>AYM:</font> \n<font color=#FF8C00>ENG:</font> 
zaca = saca	<font color=#2E8B57>ESP:</font> igual\n<font color=blue>AYM:</font> kikjpa\n<font color=#FF8C00>ENG:</font> equal, alike
zacra	<font color=#2E8B57>ESP:</font> pelo fino del cuello\n<font color=blue>AYM:</font> kunka, lank'uta\n<font color=#FF8C00>ENG:</font> soft hair on back of neck
zaczti	<font color=#2E8B57>ESP:</font> sacristán, jefe de la iglesia\n<font color=blue>AYM:</font> tatakuran yanapiripa\n<font color=#FF8C00>ENG:</font> sacristan
zajjwi	<font color=#2E8B57>ESP:</font> orín\n<font color=blue>AYM:</font> yaq'a\n<font color=#FF8C00>ENG:</font> urine
zajtz	<font color=#2E8B57>ESP:</font> correr\n<font color=blue>AYM:</font> t'ijuña\n<font color=#FF8C00>ENG:</font> to run
zakaz = zakal	<font color=#2E8B57>ESP:</font> también\n<font color=blue>AYM:</font> ukhamaraki, -raki\n<font color=#FF8C00>ENG:</font> also
zalawz	<font color=#2E8B57>ESP:</font> tener frío de noche\n<font color=blue>AYM:</font> q'ara pampaña\n<font color=#FF8C00>ENG:</font> to be cold at night
zalniru	<font color=#2E8B57>ESP:</font> salinero con llamas\n<font color=blue>AYM:</font> saliniru\n<font color=#FF8C00>ENG:</font> person transporting salt with llamas
zalz	<font color=#2E8B57>ESP:</font> encontrarse con\n<font color=blue>AYM:</font> jikhisiña\n<font color=#FF8C00>ENG:</font> to meet, to run into
zalz	<font color=#2E8B57>ESP:</font> concubinarse\n<font color=blue>AYM:</font> jikhtaptaña, jikhisiña\n<font color=#FF8C00>ENG:</font> to live together without being married
zalz	<font color=#2E8B57>ESP:</font> alcanzar (transporte)\n<font color=blue>AYM:</font> alkansaña\n<font color=#FF8C00>ENG:</font> to catch (transport)
zallk'a	<font color=#2E8B57>ESP:</font> carne de aves silvestres\n<font color=blue>AYM:</font> jamach'inak aycha\n<font color=#FF8C00>ENG:</font> meat from wild birds
zamiri	<font color=#2E8B57>ESP:</font> espíritu guardián\n<font color=blue>AYM:</font> samiri\n<font color=#FF8C00>ENG:</font> guardian spirit
zamz	<font color=#2E8B57>ESP:</font> dar gracia (rito de fertilidad)\n<font color=blue>AYM:</font> phuqhaña\n<font color=#FF8C00>ENG:</font> to give thanks (fertility ritual)
zana	<font color=#2E8B57>ESP:</font> abertura de la entrada\n<font color=blue>AYM:</font> punku\n<font color=#FF8C00>ENG:</font> doorway, entrance opening
zancu	<font color=#2E8B57>ESP:</font> afuera\n<font color=blue>AYM:</font> anqa, sankhu\n<font color=#FF8C00>ENG:</font> outside
zapa	<font color=#2E8B57>ESP:</font> cada\n<font color=blue>AYM:</font> sapamayni\n<font color=#FF8C00>ENG:</font> each
zapamayni	<font color=#2E8B57>ESP:</font> cada uno\n<font color=blue>AYM:</font> sapamayni\n<font color=#FF8C00>ENG:</font> each one
zapana	<font color=#2E8B57>ESP:</font> arete de hembras\n<font color=blue>AYM:</font> sarsillu\n<font color=#FF8C00>ENG:</font> earring for female animals
zapana	<font color=#2E8B57>ESP:</font> conjunto de trenzas\n<font color=blue>AYM:</font> sap'aña, waljak'aña, saxsak'ana\n<font color=#FF8C00>ENG:</font> several braids together
zapazezi	<font color=#2E8B57>ESP:</font> cada noche, cada tarde\n<font color=blue>AYM:</font> sapa arama\n<font color=#FF8C00>ENG:</font> every night
zapuru	<font color=#2E8B57>ESP:</font> cada día\n<font color=blue>AYM:</font> sapuru\n<font color=#FF8C00>ENG:</font> every day
zaquilawz	<font color=#2E8B57>ESP:</font> tener/sentir frío\n<font color=blue>AYM:</font> thaya, llapi, ch'uñtapiña\n<font color=#FF8C00>ENG:</font> to be cold, to feel the cold
zara	<font color=#2E8B57>ESP:</font> vello de las partes genitales, vello pubiano\n<font color=blue>AYM:</font> t'arwa\n<font color=#FF8C00>ENG:</font> pubic hair
zarakz	<font color=#2E8B57>ESP:</font> irse\n<font color=blue>AYM:</font> sarxaña\n<font color=#FF8C00>ENG:</font> to go away, to leave
zarampiya	<font color=#2E8B57>ESP:</font> sarampión\n<font color=blue>AYM:</font> iskarlatina\n<font color=#FF8C00>ENG:</font> measles
zat'ina	<font color=#2E8B57>ESP:</font> timpu (plato típico)\n<font color=blue>AYM:</font> sat'ina, t'impu\n<font color=#FF8C00>ENG:</font> a typical Andean dish
zawjz	<font color=#2E8B57>ESP:</font> orinar\n<font color=blue>AYM:</font> yaq'aña, chhuxaña\n<font color=#FF8C00>ENG:</font> to urinate
zcaaz	<font color=#2E8B57>ESP:</font> caminar lentamente\n<font color=blue>AYM:</font> sumat saraña\n<font color=#FF8C00>ENG:</font> to walk slowly
zcara	<font color=#2E8B57>ESP:</font> sapo\n<font color=blue>AYM:</font> jamp'atu\n<font color=#FF8C00>ENG:</font> toad
zcatz	<font color=#2E8B57>ESP:</font> pegar, colar\n<font color=blue>AYM:</font> lip'iyayaña\n<font color=#FF8C00>ENG:</font> to glue
zcjejtinz	<font color=#2E8B57>ESP:</font> sentir dolor en todo el cuerpo\n<font color=blue>AYM:</font> ustapiña\n<font color=#FF8C00>ENG:</font> to feel pain all over ones body
zcotz	<font color=#2E8B57>ESP:</font> entumecerse por el frío\n<font color=blue>AYM:</font> thayanti p'artata, chhujchhujkaña\n<font color=#FF8C00>ENG:</font> to become numb from the cold
zcozi	<font color=#2E8B57>ESP:</font> riñón\n<font color=blue>AYM:</font> mayruru\n<font color=#FF8C00>ENG:</font> kidney
zcozi	<font color=#2E8B57>ESP:</font> ovalado\n<font color=blue>AYM:</font> mayruru\n<font color=#FF8C00>ENG:</font> oval shape
zcurpancho	<font color=#2E8B57>ESP:</font> tipo de escarabajo (blanco y negro)\n<font color=blue>AYM:</font> k'anasilla\n<font color=#FF8C00>ENG:</font> type of beetle (black and white)
zcuru	<font color=#2E8B57>ESP:</font> trenza\n<font color=blue>AYM:</font> k'ana\n<font color=#FF8C00>ENG:</font> braid
zcurz	<font color=#2E8B57>ESP:</font> trenzar\n<font color=blue>AYM:</font> k'anaña\n<font color=#FF8C00>ENG:</font> to braid
zcutu	<font color=#2E8B57>ESP:</font> cóccix\n<font color=blue>AYM:</font> k'uk'u, mich'a\n<font color=#FF8C00>ENG:</font> coccyx
zcutz	<font color=#2E8B57>ESP:</font> volver, retornar\n<font color=blue>AYM:</font> kutiña\n<font color=#FF8C00>ENG:</font> to return
zcutz	<font color=#2E8B57>ESP:</font> amarrar patas de camélidos\n<font color=blue>AYM:</font> winkullt'aña\n<font color=#FF8C00>ENG:</font> to tie legs of cameloids
zcwajlz	<font color=#2E8B57>ESP:</font> esparcir paja\n<font color=blue>AYM:</font> willikipaña\n<font color=#FF8C00>ENG:</font> to scatter straw
zcwejrz = zquejrz	<font color=#2E8B57>ESP:</font> cambiar de dirección, soplar de todas las direcciones (viento)\n<font color=blue>AYM:</font> mayjst'aña, taqi tuqut wayri\n<font color=#FF8C00>ENG:</font> to change directions, to blow from all directions (wind)
zeekz	<font color=#2E8B57>ESP:</font> persignar\n<font color=blue>AYM:</font> siqtasiña\n<font color=#FF8C00>ENG:</font> to make the sign of the cross
zejjz	<font color=#2E8B57>ESP:</font> cobrar en especie\n<font color=blue>AYM:</font> mayiña\n<font color=#FF8C00>ENG:</font> to charge/collect in kind
zejkz	<font color=#2E8B57>ESP:</font> calmar (el tiempo)\n<font color=blue>AYM:</font> sayaña\n<font color=#FF8C00>ENG:</font> to calm down (weather)
zek'allapi	<font color=#2E8B57>ESP:</font> membrana\n<font color=blue>AYM:</font> phirami\n<font color=#FF8C00>ENG:</font> membrane
zep'a	<font color=#2E8B57>ESP:</font> raíz\n<font color=blue>AYM:</font> jach'a sapi\n<font color=#FF8C00>ENG:</font> root
zerwi	<font color=#2E8B57>ESP:</font> cadáver\n<font color=blue>AYM:</font> jiwata\n<font color=#FF8C00>ENG:</font> corpse, cadaver
zerwiz	<font color=#2E8B57>ESP:</font> morir y consumirse, cadaverizar\n<font color=blue>AYM:</font> t'uka jiwa muchata\n<font color=#FF8C00>ENG:</font> to die and waste away
zerwiz	<font color=#2E8B57>ESP:</font> mudar las plumas/la piel\n<font color=blue>AYM:</font> qhawstaña\n<font color=#FF8C00>ENG:</font> to molt
zezcu	<font color=#2E8B57>ESP:</font> ayer\n<font color=blue>AYM:</font> masuru\n<font color=#FF8C00>ENG:</font> yesterday
zezi	<font color=#2E8B57>ESP:</font> en la tarde\n<font color=blue>AYM:</font> arama\n<font color=#FF8C00>ENG:</font> in the afternoon
zezilla	<font color=#2E8B57>ESP:</font> en la tardecita\n<font color=blue>AYM:</font> jayp'uxa\n<font color=#FF8C00>ENG:</font> in the late afternoon
zeztan	<font color=#2E8B57>ESP:</font> atardecer\n<font color=blue>AYM:</font> jayp'u\n<font color=#FF8C00>ENG:</font> late afternoon, dusk
zic chjañi	<font color=#2E8B57>ESP:</font> hoja verde secada\n<font color=blue>AYM:</font> laphiwañata\n<font color=#FF8C00>ENG:</font> a dry green leaf (like coca)
zicatatz = zicatz	<font color=#2E8B57>ESP:</font> buscar pareja (personas), entrar en celo (animales)\n<font color=blue>AYM:</font> q'añusi, tuqisiña\n<font color=#FF8C00>ENG:</font> to look for a partner (people), to be in heat (animals)
zicz	<font color=#2E8B57>ESP:</font> secar hojas verdes\n<font color=blue>AYM:</font> wañachiña\n<font color=#FF8C00>ENG:</font> to dry green leaves
