a	Aka arsuxa laka manqhata arsuña sallawa.
thuqhuntaña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Akatjamata jalantaña. Taqi chuyma thuqhuntaña. Maya nuwasiña utjaspa ukata mayni jilata kullakasa uñjasa mayaki uka taypiru thuquntasina llamp'urayaspa. Qutaru kunasa jalantaspa ukata mäki apsuñataki thuqhuntaspa. Ukhamaraki mayni jila kullakasa jani thuqhurïkasa taqi chuyma maya tamana thuquntaspa. <font color=blue>// Antukuxa chaka phunchhawinxa walpini thuquntaskäna. </font>
thuqhuri/thuqhu	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Thuqhuri jaqixa taqi kasta k'uchirt'awinaka thuqt'aña yati. thuqhurixa janchinakapa wali jasaki unuqt'ayi. Sapa thuqhuñanakana thuqhuri. Kunaymani amuyuni chuymani jila kulla utjapxtana. Thuqhu chuyma jila kullakanaka kuna thuqht'añanakansa thuqhurixa sarapuniwa. <font color=blue>// Istikuxa thuqhuri jaqiwa. Nayaxa thuqhuriwa sarä. Jupaxa nayra taqi chiqa thuqhuri sarirïna. Kullakajaxa thuqhuriwa. Awichajaxa markaruwa waka waka thuqhuri sari.</font>
thuqhuyaña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Phuchaparu, yuqaparu jani ukaxa jaqha thuqhurirusa thuquyaña. Ayllunakana khitinakasa thuquñataki wakichapki jupanakaxa awki taykaruwa achikt'iri sarapxi, mayni thuqhuñapataki, ukhamata phuchaparu jani ukaxa yuqaparu thuqhuyi. <font color=blue>// Nayra pachanxa janiwa wayna tawaqunakaxa munañapampiki thuqhupkänti, jani ukaxa awki taykana iyawsatawa thuqhupxäna. Ukhamaraki jisk'a asu wawanakaru ichxat'asa munart'asa thuqht'ayaña. Aymaranaka uywarusa pachparaki k'uchhirt'ayaña yatipxäna.</font>
thuqthapiña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Jilata kullaka maya akatjamata thuqthapisiña utjaspa. Ayllunakana jani ukaxa jakawinsa utjapuniwa jachjayasiña ukatawa thuqthapisiña ch'axwaña utji. <font color=blue>// Jicha pachanakanxa tutinakata jila sullka thuqthapisiña yatipxi. Qurpanakata masinakapampi thuqthapisipxi. Umatawa jachjayasisina thuqthapisitayna.</font>
thuqxataña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Mä awki tayka thithita wawanakaparu thuqxataspa. Aka pachanxa kunaymani jani walinakawa utji, ukata maynixa thithispa ukata jani ukhama utjañapataki arupampi jani ukaxa jawq'xañataki thuqxati jani ukhamanaka utjañapataki. <font color=blue>// Mä ichutataxa sutiyataparu askina sarnaqañapataki thuqxataspawa.</font>
thuriña/thuri	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Thuriñaxa jaqi suma tanuqi uraqiru mä kuna katxarasa jani jaqutatañataki. <font color=blue>// Jaqixa wali ch'amani kuna yänaksa jani jiwtaki apnaqi. Jiwasaxa thuriña yatiñasawa.  Uka Tituxa thuriri jaqi uñt'atawa.</font>
thurisiña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Uywasa jaqisa janiwa saraña muniti ukata thurisi. Maya jaqiru Sumata ñanqhata arxayataxa janiwa amuyupa arupa q'iwt'ayasiña munkiti thurisipxiwa. <font color=blue>// Aljirinakaxa jilpacharu aljaña munasaxa janiwa iraqt'asiña munkiti thurisipxiwa. Jisk'a wawanakaxa jani saraña munipanxa ch'amampi wayxarutaxa thurisipxiwa. Uywanakaxa ukhamarakiwa jani saraña munasa thurisipxi. </font>
thurkatayaña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Kuna pachati alt'atäki ukhawa thurkatayaña. Amuyañataki jaya marani pirqawa alt'atäspa ukaruwa lawanakampi jani jaqutatañapataki thurkatayaña. <font color=blue>// Muxsa achuri alinakawa jani p'akisiñapataki lawanakampi thurkatayaña. </font>
thurt'ata	<font color=ForestGreen>sm.</font> <font color=ForestGreen>/</font> Inaki jani suma sayt'ata juk'a pachata ch'akt'ata, thurt'ata sayt'atawa. Jichha pachanxa <i>machon</i> sayt'añapataki lawanakampiwa thurt'ayata, kuna pachasa suma thayt'atäxi uka pachawa lawanaka apaqxaña. Jisk'a asu wawanaka jani thurt'atatapatxa amuyumpi ichunaqañawa, kuna pachati ch'akt'atäxi uka pachawa q'axunaka ichunaqaña. <font color=blue>// Jichhüruwa yuqalla uka lawanaka apaqxäta, pirqaxa suma thurt'ataxiwa.</font>
thurt'asiña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Jani khitina apnaqatäñataki thurt'asiñawa. Tantachanxa mayni jilata wali jach'ata arsusawa thurt'asi, janipuniwa q'iwt'ayaskiti. Urqu ch'amani wakaxa wali thurt'asi janipuniwa irptayasiña munkiti. <font color=blue>// Imilla sumpini thurt'asïta, uka waka jaqurpayarakiristama. </font>
thuru/lankhu	<font color=ForestGreen>sm.</font> <font color=ForestGreen>/</font> Quqana tunu alipa, k'ullu ukata juk'ampiwa thuru jani ukaxa lankhu utji. Kawkhanti quqanaka utjki ukawjanakana tunu thuru lankhu alinakaxa t'alpha lawanaka khuchhuñataki askiwa. Thuru lasunaka jiyantañataki wakiskiriwa ukhamarusa janiwa jasaki t'aqaskaspati. Thuru t'alpha lawanaka jani p'akisiñapataki utjarakiwa. <font color=blue>// Kuna yänakasa thurpachata lurt'ataxa jaya pachawa apnaqataraki, thuru isinaka thayata jarkt'asirakiwa.</font>
thusantaña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Mä jaqiwa uchasiña p'iyaru thusantaspa. Usutanakaxa thusañaruwa thusantapxi, janiwa askïkiti suma umanakaru thusantaña. <font color=blue>// Uka phisi sintiwa jachi lakapata thusantama.</font>
thuskataña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Pirqarusa jaqirusa, kunarusa thuskatañawa. Mä jaqixa kuliratawa kulirayiri masiparu thuskataña yati. Sarkasa thusunqallu chika ch'uxña llawsa jalstani ukata kunarusa thuskatataraki. <font color=blue>// Juwanchu wali uñch'ukinitu anchhawa ajanupata thuskatä.</font>
thusnu	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Qarwanakawa thusnuta jani suma khistjatampi thuskatasi. Qarwanakaruxa janiwa ancha uñch'ukiñäkiti ukhamaraki janirakiwa thithiyañäkiti ukata thuskatasi. <font color=blue>// Uka qarwa thusnuki thuskatitu.</font>
thusaña/thusuña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Thusañaxa thusunqalla ch'amampi lakata jaqsuñawa. Jaqixa llawsampi jaqimasiparu ukhamaraki uywasa thuskati. Yaqhipa pacha jani askiwa thusaña. Kuna pachati jani askinaka utji ukapachawa thusaña, anu jiwatanaka, khuchhichatanaka uñjasa, sustjasisawa thusaña. Jani wali samkasisa jani khitiru yatiyasawa anqaru thussuniña ukhamata jani kunasa utjañapataki. <font color=blue>// Achilaja janiwa thusaña walïkiti siriwa. Qarwaxa thuskatiriwa.</font>
thusunqaya/thusunqalla/llawsa	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Thusunqayaxa jaqina uywana lakapana llawsaxa utjki ukawa. Thusunqallaxa laka manqhata mistusa aski manq'anakaru jurichañatakiwa. <font color=blue>// Nayaxa ampara thusunqayampiwa jusq'usta. Manq'aña laka manqhana turpa llawsa jalthapi ukhamata khistjañana ukhamaraki q'ulthintañana yanapt'i. Thusunqalla chiqa usunakana apnaqataspawa ukata mayniru piykataspa. Thusunqallaxa askirakiwa qaqusiñataki, qulliri awichanakaxa kuka janch'uta thusunqallampiwa chuymjatanakaru qaqupxirïtayna. Thusunqallampi ampara muqu ch'arañt'asisawa ch'akutu.</font>
thusxataña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Kunasa utji ukaru thusxataña. Jani aski yänakaru, qalaru, ukata juk'ampinakaru thusxataña. <font color=blue>// Ampararu thusxatasa ch'amampi katuntañataki, jani ukaxa ch'amxatt'asiñataki. Uka anuwa sustjitu qalaruwa thusxatxä, jani ukaxa usuntawa.</font>
thutha/isqi isqi/laq'u	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Thuthaxa isi tukjiri mä jisk'a laq'uwa. Thutha isi imatanakaru thanthapini tukji. Kharu isinaka yaqhipa achunaka tukjaña yati. Aruma sarnaqiri laphayri laq'uwa isinakaru k'awnantasa isisnaka thutjasa llawuntasi, uka isisnakaruwa thutjata sata. Ukhamaraki, jupha p'iqinakaru thuthantaña yatiraki. <font color=blue>// Thutha isinakaru mantatayna. Imata isinakaru thuthawa mantasina q'ala p'iyanuqatayna.</font>
thuthantata/laq'una mantata	<font color=ForestGreen>sm.</font> <font color=ForestGreen>/</font> Kuna pachasa isinakaxa thutha laq'unakana manq'aratäki, uka isiwa thuthantata sata. Imata isisnakaxa uñjasiñawa ukhamaraki thalarañawa jani thuthantañapataki. <font color=blue>// Uka ikiña q'ala thutantatarakisa jaquñaxiwa.</font>
thuxtu	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Mä wallpa k'awnaru (k'anwaru) chhiwwchhinaka ansuñataki jipki ukawa. Tuqu wallpanakaruwa thuxtu sataraki. <font color=blue>// Wallpaxa thuxtuskiwa, janiwa unuqiyapxätati.</font>
thuqusu/thuquntaña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Thuqusu jaqixa mistu manti jani inaqkiti. Jaqixa kuna tantachawiru sarasa jani inaqkiti aksaru uksaru sarnaqi. <font color=blue>// Ipalaja thuqusu jaqiwa. Kullaka Ana jaqïka sarasa thuqusutwa siriwa, janiwa ukhama sarnaqañamäkiti.</font>
thuquthaltaña/thuqu	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Thuquthaltaña jaqixa k'uchiki jaqimasipampi kuna phuñchhawinakansa  thuqunti. Jaqixa mä phuñchhawiru sarasaxa kuna thuqunaksa wali sink'unti. <font color=blue>// Juwanchuxa thuquthaltaña kuna thuqunaksa suma yati. Ursulaxa phunchawina chachapampi k'uchikipuniwa thuquthalt'askäna.</font>
t'aja/quli	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Ñik'uta qulintatawa.  Jani chhaxrata ñik'utanakawa t'ajantata. Jisk'a wawanakana ñik'utapa jani chhaxrata t'ajantatawa. Mamanakaxa t'aja t'arwanakata t'isjasa qapupxi, ñakata ch'ankaru tukuyapxi. <font color=blue>// Tata Satukuxa qulti anupa thaqasiskäna. Jallupachaxa iwijaxa t'aja t'arwankamakiwa. </font>
t'aji/t'iji	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Janchi usuchjata, ch'akha usunakawa t'aji. Janchi usuchjatanakawa jani qullata t'aji. Usuchjata janchixa t'ajirakiwa, ukhamaraki kuna pachati thayana thaysutätana ukapacha ch'akaxa t'ajirakiwa. Ch'uñu, jayu, <i>alcohol</i> junt'u umanakampiwa t'ajaxa qullasiña. Amuyumpi thayatsa jallutsa jark'aqasisa sarnaqañawa. <font color=blue>// Tata Simukuxa kayu usuchjasitayna, jichhaxa kayu t'ijampiwa ayquski. Wakaxa masüruta saynaqaskakiwa kayuwa t'ijpacha.</font>
t'ajsa	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Juri uraqinakawa lupimpi maya qawqha urunakata t'ajsi. T'ajsarata uraqinaka jasakiwa unxtayaña. Juri qhullita t'ajsarataxa jasakiwa k'upharaña. Lupiwa murinaka t'ajsarayi. <font color=blue>// akürunaka wali jallunti, jichhaxa t'ajsarkarakiwa. T'axsata isixa janiwa wañirjamäkiti, t'ajsarayaksnasaya.</font>
t'akuyaña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Kuna jani walinakatsa askhichaña, majt'ayaña. Yatirinaka, qullirinakawa usu t'akuyaspa. Yatirinakaxa kukata uñxat'asawa ñanqha usunaka (ajayu apaqata, qalana, rayuna, quntuna katjata, ñanqhana uñkatata) qullañataki wakichapxi, ukhamata uka usu apaqasa t'akuyi. Qullirinaka, uñakipasa, uñjasa uñjasawa qulla umt'ayasa usu t'akurayapxi. Kamanimpi yatirimpixa ch'allt'asa q'uwacht'asa, achikt'asawa chhijchhi jutïpana apanukusa t'akurayapxi. <font color=blue>// Wawaxa usu t'akuyasiwa. Laka usu ajusawa t'akuyi.  Mamajana qulla wakichatanaka janiwa usutaru t'akuraykiti siwa.</font>
t'alaña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Ñiq'i jurichata wakichatampiwa pirqaru t'alaña (t'alkataña). Utachirinakawa ñiq'i <i>cemento</i> jurichata wakichatampi pirqaru t'alkatasa llusq'achañataki lurapxi. <font color=blue>// Markachirinakaxa wali pirqaru t'alsusa llusq'achapxatayna. </font>
t'alaña/t'ala	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> T'alañaxa amparampi ñiq'i pirqaru chamampi liwkatañawa, jani ukaxa kuna ñiq'iru uñtatanakampisa jaqkatañawa. <font color=blue>// Pirqaru ñiq'i t'alsupxatayna. Markachirinakana utanakapaxa t'alsutkamakiwa.</font>
t'alphaña/chapuña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> T'alphañaxa amparampi limxatasa, taqxatasa sillp'jañawa. <font color=blue>// T'ant'a jurnuru uskuñatakixa t'alphapxiriwa. Mamaja k'ispiñataki t'alphaña yati.</font>
t'alaqiña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Sarnaqasa t'alxa t'alxa sayañawa. Jach'a wiskhumpi sarnaqañaxa t'alaqiyañawa. Pata qhirwa junt'u uraqinakana jach'a wiskhumpi sarnaqasaxa aliqawa t'alaqi, qhanawa t'alaqirixa sarnaqi, juri uraqina jach'a wiskhuni thuqusaxa wali t'alaqranti. <font color=blue>// Jisk'a wawanakawa jach'a wiskhu uchasisa t'alaqisa sarnaqapxi. Jalluna laq'a uraqina wali t'alaqiñawa.</font>
t'alla	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Mama t'alla jilïri mallku ayllu irpirina warmipawa. Janiwa taqpacha ayllunakana ukhama sutimpi uñt'apkiti, jani ukaxa yaqhipawjanakana mama t'alla irptirinakaru sutichapxi. Yaqhipawjana aski uñt'kaya saranakaparjama isthapt'atawa sarnaqapxi. <font color=blue>// Mama t'allaxa wali suma isthapt'atawa. Mama t'allaxa warminakaru amuyt'ayiwa.</font>
t'amacha	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> T'amachaxa chhuxu wakullaru imatawa. T'amachaxa qullarakiwa. Nayra achila awichanakaxa askina chhuxunakapa maya wakullaru imasipxirïtayna, ukhamarusa t'amataxa askïnwa p'iqi t'axsusiñataki, ñik'uta suma jilañapataki, jani kaspanïñatakisa qullätaynawa. Kuna pachati maya wawa katjampi usunti ukapachaxa qulliri awki tayka t'amata wallxtayi ukata millumpi usutaru qaqsusawa t'amataru uchanti ukhamata yati kawkha uraqisa katji, ukarjamawa jani usuñapataki qullataraki. Nayriri misturi sirk'ina wilapa, khuchhuqasa maya wila jawasa suluru t'amata wakulla ch'inaru uchasawa sirk'inaka chhaqayaña. T'amata tantasa wakulla ch'inaruwa niya janq'u allpjama qunchu utji, ukawa ampara wist'uptki ukataki aski. <font color=blue>// Achachilanaka t'amatampiwa p'iqi jarisipxirïtayna. Mama mariyaxa t'amacha qullawa siwa.</font>
t'amantata/q'aymantata/p'usquta	<font color=ForestGreen>sm.</font> <font color=ForestGreen>/</font> Manq'a phayatawa junt'uta ukhamaraki thayata t'amanti. Manq'ana t'amantatapaxa yatiyasiwa mä masisana jiwañapa, jani ukaxa amuyatarakiwa alma manq'aru mantatapa. Janiwa manq'axa amparampi llawq'añäkiti t'amantiriwa. Nayra pachanakata juphata tunquta k'usa t'amantayasa lurapxäna, kaña lawatxa warapu lurapxaraki, uwa muxsa achutxa <i>vino</i> jaya maranaka t'amantayasawa lurapxaraki, ukhamaraki jichha pachanakanxa <i>cerveza</i> lurataraki. Jani uñjkaya jisk'a laq'unakawa uñstasina t'amantayaraki. <font color=blue>// T'amata manq'a manq'antasawa usuntatayna. K'usaxa janiwa t'amatäkiti sapxiwa.    </font>
t'ampulli	<font color=ForestGreen>sm.</font> <font color=ForestGreen>/</font> Jach'a t'arwani uywanakawa. Allpachu uywanakawa jach'a t'arwani tultxatata ajanuparu nayraparusa imantata ukatwa t'amphullita uñt'ata. Jisk'a t'amphulli anunaka utjarakiwa. <font color=blue>// Tata Satukuna allpachunakapaxa t'ampullkamakiwa. Waynaxa jani ñik'uta khuchhurasisa t'ampullikiwa sarnaqi.</font>
t'ant'a	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Jak'u ukata taqi kuna yänakampi qaqthapisa suma jikisiyata lurart'asawa parita jurnuru qhathiyata. T'ant'axa manq'aña jak'uta amparampi qaqusa, chapusa masa phalata, jach'a, tantiyu, jisk'a jurnuru manq'añataki qhatiyata. Nayra pachanaka janiwa t'ant'a kankaña utjkatapanti, kuna pachati anqa markata janq'u jaqinaka jutapxatayna uka pachanakatwa t'ant'a uñstawayatayna, ukata jupanakakiwa maq'apxirïtayna. T'ant'a lurañaxa khaysa <i>Egipto</i> markana uñstawayatäna niya suxta waranqa <font color=ForestGreen>a.</font> c. kuna pachati siwara yapuchatätayna AbyaYala markana uka pachata jamp'i ñut'uchasa akuta. <font color=blue>// Jichhaxa t'ant'aki taqi markanakansa wali manq'xapxi. Achachilaxa t'ant'a aliriwa sari. T'ant'axa qhatuna waljawa aljasi. </font>
t'apaña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> K'achitata janisa uñjkaspa ukhama sarnaqañawa. Kuna pachati maya jaqixa k'achaki jani uraqiru takt'irjama sarnaqi ukawa t'apañaxa. Markanakasana ukhama sarnaqiri jila kullakawa t'apata uñt'ataraki. T'apirinaka uñkatasawa wawanakaru jani qhipüruna ukhama sarnaqañapataki iwxata. <font color=blue>// Usuta iwijaxa t'apnaqaskakiwa. Ch'amakana thakixa janiwa uñjañjamäkiti t'apnaqañakiwa. </font>
t'apkataña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Juykhjama kunarusa jani uñtasisa makhatañawa. Llakita jaqixa lup'isa sarasawa k'añaskuru jani ukaxa yaqha kunarusa tupantasa t'apkatatayna. Juykhjamakiwa jani uñjatapata kunanakarusa t'apkataspa, ukata sata jumaxa juykhütati t'apkatiri. <font color=blue>// Usuta anuxa khitirusa t'apkataskakiwa. </font>
t'aqa	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Kunasa payaru jani ukaxa waljaru jaljtatawa. Ñuñusiri wawanakawa t'aqata, jani achachi ñuñurïñapataki, achachi ñuñurinakaxa ñakakiwa sarnaqiri sapxiwa. <font color=blue>// Uywaxa qallunakapa t'aqapxarakiwa. Iwija qallunakaxa wañapacha t'aqasawa manq'ayañaxa. Mama satukaxa wawa ñuñuta t'aqxatayna. </font>
t'aqjaña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Ch'amampi mä chinuña, ch'ankha, wiskha payaru jaljañawa. Paninisa jani ukaxa maynikisa, phala, wiska payaru, kimsaru jalanuqañawa. <font color=blue>// Aka phisixa anatasa sawuña ch'ankha t'aqanuqatayna. </font>
t'aqaña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>(pacha aru)</font>. <font color=ForestGreen>/</font> T'aqaña wawani warminakana ñuñkiri niya marani wawaru jani ñuñuyxañapati. <font color=blue>// Wawaxa t'aqañataki manq'asirïñapawa. Awki taykaxa wawanakaparu uywañata (<i>herencia</i>) t'aqanuqiwa. </font>
t'aqaña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>(ajayu aru)</font> <font color=ForestGreen>/</font> T'aqañaxa lunthatsa jani ukaxa kuna sarxirsa katuñataki kayu takt'atatkama arktañawa. Usutanakaxa ch'iqampi t'aqayañawa. <font color=blue>// Usuta wawaxa qullirimpi t'aqayañawa. </font>
t'aqaqiri	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Yatirinakawa ch'iqa ch'ankhampi t'aqaqiri. Ayllunakana, markanakana jakirinakaxa yaqhipa pachaxa llakita, usutawa jikxatasiptana, ukata nayraqata kukata uñxatasa ukharuwa ch'iqa ch'ankhampi achachilanakata mayt'asa, ch'allt'asa mayni jila kullakata t'aqaqxi. <font color=blue>// Usutakisktasa qullirimpi t'aqaqayasimaya. </font>
t'aqhi/wajcha	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Usutaxa t'aqhikiwa jakasi. Ayllunakana kuna pachasa usuntana uka pachawa t'aqhiki sarnaqapxtana. Jach'a markanakanxa manq'añata, qullqita t'aqhiki sarnaqataraki. <font color=blue>// Wajcha wawanakawa t'aqhiki sarnaqapxaraki. Uywanaka usuntapxi uka pachaxa t'aqhikiwa sarnaqapxaraki, waña uraqina jakiri alinakaxa t'aqhikiwa jilapxaraki. Uñisita warmixa t'aqikiwa sarnaqi. Usuta uywaxa t'aqhikiwa sarnaqi.</font>
t'aqhisiña/t'aqhi	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> T'aqhisiñaxa jani kuna manq'añani, jani ukaxa sinti usuchjata jiwirjama jakañawa. Janchi usuta ayqusa t'aqhisiña. Jani manq'aña utjipana manq'ata t'aqhisiña. Jaya pampanakana, qullunakana sarkasa jalluna, thayana t'aqhisiña. Wajchana jakaña t'aqhisiñawa, qalasa pirqasa arsuriwa. Irnaqañanakana t'aqhisiña. Yaqhipa pachaxa jani askina sarnaqañanakawa utji uka pachanakawa t'aqhisiña. <font color=blue>// Markanakana waña pachana umata t'aqisiña. Ayllunakana jani yapuchirinaka manq'ata t'asipxi.</font>
t'aqhisiyaña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Juchanchaña, nuwaña, llawintaña, irnaqayaña, apaqaña, mutuyaña. Ch'amani, qullqini, munañani jaqinakawa pisinkatapata, jani tumpirinïtapata t'aqhisiyaña yati. Nayra pachanakana anqaxa markata jutiri jaqinakawa tunu achachilanakaru t'aqhisiyatayna, ukata, <i>patrón</i> ukanakarakiwa t'aqhisiyi, jichha pachanakanxa qamiri qullqini jaqinakarakiwa pisinkirinakaru t'aqhisiyapxi. Yaqhipa pachaxa jiwaspachawa masinakasaru, mayninakaru t'aqhisiyaña yatiraktana. <font color=blue>// Wajcha wawaxa walpini t'aqisi. Aylluna yapumpi jakiri jaqinakaxa waña maranxa manq'ata t'aqisipxi. </font>
t'ara	<font color=ForestGreen>sm.</font> <font color=ForestGreen>/</font> T'araxa jani kunasa wali amuyasiri jaqiwa. Jani suma amuyuni jaqiwa. T'araxa kunjsa arsukiriwa. <font color=blue>// Winituxa t'ara jaqiwa, janiwa kunsa munkiti. Tata Julikuxa suma amuyuniwa, janiwa t'aräkiti chiqa jaqiwa. </font>
t'arwa	<font color=ForestGreen>st.</font> Yaqhipa uywanakawa t'arwani. <font color=ForestGreen>/</font> T'arwaxa uywanakana janchiparu isi lantjama jilarata wali junt'uwa. T'arwanakata isinakawa sawuta ukhamaraki p'itata, jaqinakana uchasipxañapataki luratawa. Uywanakana t'arwapaxa kunaymani saminakaniwa. T'arwanakata, awayu, tari, ikiña, ch'ullu wayaqa ukata juk'ampi isinakawa sawuta. Wari t'arwaxa aski suma ñut'uwa isinaka lurañataki, ukhamarusa aski chaninirakiwa. <font color=blue>// Awichaxa t'arwa aliriwa sari. Aka t'arwaxa qapusa tukuntañasawa. Wari t'arwaxa jila chaniniwa. </font>
t'arwarara	<font color=ForestGreen>sm.</font> <font color=ForestGreen>/</font> Walja t'arwani uywawa. Jach'a walja tarwani uywa ukawa t'arwararaxa. Isinakaxa t'arwanakampi apkatata ukaxa t'arwarara satarakiwa. <font color=blue>// Uwijanakaxa t'arwararkamakiwa yawiraña wakisiwa.</font>
t'aja	<font color=ForestGreen>sm.</font> <font color=ForestGreen>/</font> T'ajaxa jaqi ñik'uta tixpuntata jani chhaxrjañjama, warminakaxa urasa pacha jani ñik'uta k'ant'asipki uka qultïpxi. Ch'ankhasa ina llaxchxata jani khiwt'añjama . <font color=blue>// Achachilaja mä t'aja anuniwa. Awichajana ñik'utapaxa wali t'ajawa. Taykaja janiwa t'aja nik'uta munirïkiti. Uka wila ch'ankha t'ajantatarakisa jararañawa. </font>
t'axlli	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> T'axllixa pusi ampara luk'anawa. Ampara t'axlli, ukhamaraki tupu. Punchu t'axllimpiwa chimpurt'apxi. <font color=blue>// Jichhüruxa kimsa t'axlli p'itañaxawa. Jayra tawaquxa mä t'axlliki jichhüruxa sawutayna. </font>
t'axlliña/t'axlli	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Ampara t'axllimpi nuwaña. Yaqhipa jaqinakaxa ajanunakaru t'axlliña yatipxaraki. Jaqi masiru qhumantasa t'axllikipañaraki. <font color=blue>// Jach'a tata siwara t'axllikipt'asawa khumuri suma yäpa sarañapataki. Awichaja kunasa wawaru t'axlliña siriwa. Khaya tawaqunaka sinti jani wali arunaka sata t'axlliriwa.</font>
t'axlliraña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Jaqixa pä amparampi kuna lurawitsa wali k'uchirt'asisa t'aqllirt'apxi. Jaqixa kuna tantachawinsa, phunchhawinsa pä amparampi k'uchiki jawq'art'apxaraki. <font color=blue>// Timukuxa jilaparu t'axllirpayiwa. Kullakajaru kusist'awipata t'axllirpayapxiwa. Markachirinaka Qullasuyu jilïri irpiriru wali t'axllirañampiwa katuqapxi. </font>
t'axmara	<font color=ForestGreen>sm.</font> <font color=ForestGreen>/</font> Jaqi jani suma amuyt'asirixa t'axmaratata uñt'atawa. T'axmara jaqixa jani kunsa suma amuyasa arusiriwa. Chuyma pisinakaru, jani ist'asiri ukanakaruwa t'axmara sapxi. <font color=blue>// Kullakaja t'axmarawa, wali k'achitata arusiriwa, yaqhipa pachaxa ina t'uxpi arsurirakiwa. Khaya jaqixa t'axmarjamawa arusi.</font>
t'axsuña/t'axsaña/t'axsiña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Jaqixa isinaka, ikiñanaka t'arwanaka llimphuchaña. Q'añunaka q'umachañataki umampi q'añu apsuñawa. <font color=blue>// Uma waytanirapita, isinaka jichhüru t'axsurä. Ipalaxa t'axsuña isinaka uskusiwayi. Jisk'a wawanakana isinakapa t'axskañakipuniwa.</font>
t'axsuta	<font color=ForestGreen>sm.</font> <font color=ForestGreen>/</font> Q'añuta llimphuchataña. Q'añu isinakaxa t'axsutaxiwa. T'axsuta isinaka isthapt'asiñataki askiwa. Isinakaxa jach'a jaqina ukhamaraki wawanakansa t'axsutañapawa. Jaypacha jani t'axsuta isinakaxa yaqhipa pachaxa churintiriwa. <font color=blue>// Yatiqirinakaxa yatiqaña utaru t'axsuta isinakampiwa q'umaki sarapxañapa. Wilamasinakaxa willka uruwa isinaka t'axsasipxi. </font>
t'ijuña/t'iskuña/jalaña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font>  Laqaki saraña. Laqaki chillqtasa jalaña. Uywa awatirinakaxa qullu pataru atipt'asisa t'ijsupxi. Kuna jani walinakatsa qhisphiyasiñatakiwa, utatsa uyutsa t'ijsuña. <font color=blue>// Irpirixa tantachawitxa t'ijsuwayxiwa. Waynaxa markaruwa jalawayatayna. Yatiqirinakaxa qharüru t'ijupxaniwa. </font>
