acjjz	<font color=green>ESP:</font> arrear\n<font color=blue>AYM:</font> anaña, anakiña\n<font color=orange>ENG:</font> to herd
waytiz = waytaz	<font color=green>ESP:</font> levantar\n<font color=blue>AYM:</font> waytaña\n<font color=orange>ENG:</font> to raise, to lift
wayu	<font color=green>ESP:</font> araña blanca\n<font color=blue>AYM:</font> kusi kusi\n<font color=orange>ENG:</font> white spider
waywara	<font color=green>ESP:</font> remolino de viento\n<font color=blue>AYM:</font> wayramustasa, ch'aska\n<font color=orange>ENG:</font> whirlwind
waz = was	<font color=green>ESP:</font> (saludo a) nuera\n<font color=blue>AYM:</font> yuxch'a\n<font color=orange>ENG:</font> (greeting to) daughter-in-law
wazca	<font color=green>ESP:</font> soga grande\n<font color=blue>AYM:</font> wiskha\n<font color=orange>ENG:</font> big rope
wazi = wasi	<font color=green>ESP:</font> (saludo a) yerno\n<font color=blue>AYM:</font> tullqa\n<font color=orange>ENG:</font> (greeting to) son-in-law
wazu	<font color=green>ESP:</font> taza, vaso\n<font color=blue>AYM:</font> wasu\n<font color=orange>ENG:</font> cup, glass
wazuñ	<font color=green>ESP:</font> desierto\n<font color=blue>AYM:</font> wasa\n<font color=orange>ENG:</font> desert, uninhabited place
waz̈a	<font color=green>ESP:</font> liviano\n<font color=blue>AYM:</font> phisnalla\n<font color=orange>ENG:</font> light (weight)
ween	<font color=green>ESP:</font> noche\n<font color=blue>AYM:</font> arama\n<font color=orange>ENG:</font> night
weena = wena	<font color=green>ESP:</font> antes del amanecer, en la madrugada\n<font color=blue>AYM:</font> aramata, alwata, qhantati\n<font color=orange>ENG:</font> before dawn, early morning
wees	<font color=green>ESP:</font> cubrir con nubes\n<font color=blue>AYM:</font> ch'iwikipata\n<font color=orange>ENG:</font> to cover with clouds
weez	<font color=green>ESP:</font> tapar, cubrir\n<font color=blue>AYM:</font> imantaña, janjataña\n<font color=orange>ENG:</font> to cover, to conceal
wejjru = wejru	<font color=green>ESP:</font> torcido\n<font color=blue>AYM:</font> wixru\n<font color=orange>ENG:</font> bent
wejjru = wejru	<font color=green>ESP:</font> patituerto\n<font color=blue>AYM:</font> wixru\n<font color=orange>ENG:</font> knockkneed
wejjru = wejru	<font color=green>ESP:</font> persona que se porta mal\n<font color=blue>AYM:</font> wixru\n<font color=orange>ENG:</font> person with bad behaviour
wejlz	<font color=green>ESP:</font> cocinar\n<font color=blue>AYM:</font> phayaña\n<font color=orange>ENG:</font> to cook
wejlzi	<font color=green>ESP:</font> maduro\n<font color=blue>AYM:</font> qhatita\n<font color=orange>ENG:</font> ripe
wejr	<font color=green>ESP:</font> yo\n<font color=blue>AYM:</font> naya\n<font color=orange>ENG:</font> I
wejrnaca	<font color=green>ESP:</font> nosotros\n<font color=blue>AYM:</font> nanaka\n<font color=orange>ENG:</font> we
wejru = wejjru	<font color=green>ESP:</font> torcido\n<font color=blue>AYM:</font> wixru\n<font color=orange>ENG:</font> bent
wejru = wejjru	<font color=green>ESP:</font> patituerto\n<font color=blue>AYM:</font> wixru\n<font color=orange>ENG:</font> knockkneed
wejru = wejjru	<font color=green>ESP:</font> persona que se porta mal\n<font color=blue>AYM:</font> wixru\n<font color=orange>ENG:</font> person with bad behaviour
wejt	<font color=green>ESP:</font> mi\n<font color=blue>AYM:</font> nän\n<font color=orange>ENG:</font> my
wejtta = wejttacha	<font color=green>ESP:</font> de mí, mío\n<font color=blue>AYM:</font> nayana\n<font color=orange>ENG:</font> mine
welz	<font color=green>ESP:</font> remover cereales (al tostar)\n<font color=blue>AYM:</font> jirtaña\n<font color=orange>ENG:</font> to stir cereals (while toasting)
wena = weena	<font color=green>ESP:</font> antes del amanecer, en la madrugada\n<font color=blue>AYM:</font> aramata, alwata, qhantati\n<font color=orange>ENG:</font> before dawn, early morning
wenay	<font color=green>ESP:</font> ¡buen trabajo!\n<font color=blue>AYM:</font> suma trawajuwa\n<font color=orange>ENG:</font> well done!
wenslaka	<font color=green>ESP:</font> h a 10h de la mañana\n<font color=blue>AYM:</font> aramata\n<font color=orange>ENG:</font> to 10 o'clock in the morning
wenta chacwa	<font color=green>ESP:</font> estrella del amanecer y del atardecer\n<font color=blue>AYM:</font> achachi\n<font color=orange>ENG:</font> morning and evening star
wentan	<font color=green>ESP:</font> al amanecer\n<font color=blue>AYM:</font> qhantati\n<font color=orange>ENG:</font> at dawn
wenz	<font color=green>ESP:</font> en la mañana\n<font color=blue>AYM:</font> arama\n<font color=orange>ENG:</font> in the morning
werara	<font color=green>ESP:</font> verdad, de verdad, seguro\n<font color=blue>AYM:</font> chiqapini\n<font color=orange>ENG:</font> truth, truly, certainly
wetz	<font color=green>ESP:</font> no cosechar bien\n<font color=blue>AYM:</font> jani sum luraña, pisik yapaphthapiña\n<font color=orange>ENG:</font> to harvest poorly
wewcz	<font color=green>ESP:</font> moverse, flamear (bandera)\n<font color=blue>AYM:</font> jawillt'aña\n<font color=orange>ENG:</font> to wave, to flap (flag)
wez̈la	<font color=green>ESP:</font> pájaro, ave\n<font color=blue>AYM:</font> jamach'inaka\n<font color=orange>ENG:</font> bird
wicalz = tjajjipicalz	<font color=green>ESP:</font> bambalearse la cabeza de sueño\n<font color=blue>AYM:</font> ik ch'utunkiña\n<font color=orange>ENG:</font> to nod the head with  sleep
wicu	<font color=green>ESP:</font> medida del pulgar al índice\n<font color=blue>AYM:</font> wik'u\n<font color=orange>ENG:</font> measurement from thumb to index finger
wichans	<font color=green>ESP:</font> dispersar, esparcir\n<font color=blue>AYM:</font> pampatataña\n<font color=orange>ENG:</font> to disperse, to scatter
wich'u	<font color=green>ESP:</font> hueso del antebrazo (pers.)/de la pierna (animales)\n<font color=blue>AYM:</font> wich'u\n<font color=orange>ENG:</font> bone of forearm (persons)/of lower leg (animals)
wijiña	<font color=green>ESP:</font> balsa cavada\n<font color=blue>AYM:</font> wijiña\n<font color=orange>ENG:</font> man-made pool
wijt	<font color=green>ESP:</font> fogón\n<font color=blue>AYM:</font> qhiri\n<font color=orange>ENG:</font> stove
wijta	<font color=green>ESP:</font> líquidos mezclados\n<font color=blue>AYM:</font> aptapita\n<font color=orange>ENG:</font> mixed liquids
wijz	<font color=green>ESP:</font> llenar con líquido\n<font color=blue>AYM:</font> phuqhantata\n<font color=orange>ENG:</font> to fill with liquid
wila	<font color=green>ESP:</font> vigilia\n<font color=blue>AYM:</font> jiwatar iñasiña\n<font color=orange>ENG:</font> watch, vigil
wilana	<font color=green>ESP:</font> animal para sacrificar\n<font color=blue>AYM:</font> uja wilanchañataki\n<font color=orange>ENG:</font> animal set apart for sacrifice
wilancha	<font color=green>ESP:</font> sangre del animal sacrificado\n<font color=blue>AYM:</font> wilancha\n<font color=orange>ENG:</font> blood of sacrificed animal
wils = wilz	<font color=green>ESP:</font> vigilar, velar\n<font color=blue>AYM:</font> injasiña\n<font color=orange>ENG:</font> to keep watch over
wils = wilz	<font color=green>ESP:</font> llamar con la mano\n<font color=blue>AYM:</font> jawsaña\n<font color=orange>ENG:</font> to call with the hand
wilta	<font color=green>ESP:</font> otra vez\n<font color=blue>AYM:</font> mayanti\n<font color=orange>ENG:</font> again
wiltiz	<font color=green>ESP:</font> revolver, dar vueltas, girar\n<font color=blue>AYM:</font> thijraña\n<font color=orange>ENG:</font> to turn around, to rotate, to twirl
wilz = wils	<font color=green>ESP:</font> vigilar, velar\n<font color=blue>AYM:</font> iñjasiña\n<font color=orange>ENG:</font> to keep watch over
wilz = wils	<font color=green>ESP:</font> llamar con la mano\n<font color=blue>AYM:</font> jawsaña\n<font color=orange>ENG:</font> to call with the hand
willcaparu	<font color=green>ESP:</font> variedad de maíz gris\n<font color=blue>AYM:</font> willkaparu\n<font color=orange>ENG:</font> type of gray corn
willi	<font color=green>ESP:</font> cazador, pescador, Uru\n<font color=blue>AYM:</font> willi, katuri, challwa\n<font color=orange>ENG:</font> hunter, fisherman, Uru
winta	<font color=green>ESP:</font> bufanda\n<font color=blue>AYM:</font> wujanta\n<font color=orange>ENG:</font> scarf
wintana	<font color=green>ESP:</font> ventana\n<font color=blue>AYM:</font> wintana, t'uqu\n<font color=orange>ENG:</font> window
wintana	<font color=green>ESP:</font> marca en la oreja de ganado\n<font color=blue>AYM:</font> wintana\n<font color=orange>ENG:</font> mark on ear of cattle (to denote ownership)
wiña	<font color=green>ESP:</font> hueso para ceñir tramas del tejido\n<font color=blue>AYM:</font> wich'uña\n<font color=orange>ENG:</font> bone to tighten weft of weaving
wiña	<font color=green>ESP:</font> persona de la misma edad\n<font color=blue>AYM:</font> mitapura\n<font color=orange>ENG:</font> person of the same age
wira	<font color=green>ESP:</font> clamor de pena\n<font color=blue>AYM:</font> wira, janiwiras\n<font color=orange>ENG:</font> yelp of pain
wira	<font color=green>ESP:</font> nunca\n<font color=blue>AYM:</font> jani wiras, jani piniw wiras, wirasa\n<font color=orange>ENG:</font> never
wiraz	<font color=green>ESP:</font> nunca\n<font color=blue>AYM:</font> janiwiras\n<font color=orange>ENG:</font> never
wiri	<font color=green>ESP:</font> trasero\n<font color=blue>AYM:</font> ch'ina\n<font color=orange>ENG:</font> buttocks
wiri = wirquiz	<font color=green>ESP:</font> atrás de\n<font color=blue>AYM:</font> qhipa\n<font color=orange>ENG:</font> behind, out back
wiri ejp	<font color=green>ESP:</font> padrastro\n<font color=blue>AYM:</font> yaqhatata\n<font color=orange>ENG:</font> stepfather
wiri maa	<font color=green>ESP:</font> madrastra\n<font color=blue>AYM:</font> yaqhamama\n<font color=orange>ENG:</font> stepmother
wirquiz	<font color=green>ESP:</font> atrás de\n<font color=blue>AYM:</font> qhipana\n<font color=orange>ENG:</font> behind
wirsu	<font color=green>ESP:</font> canción, verso\n<font color=blue>AYM:</font> wirsu\n<font color=orange>ENG:</font> song, verse
wiruñ	<font color=green>ESP:</font> más tarde, después\n<font color=blue>AYM:</font> ukata\n<font color=orange>ENG:</font> later, afterwards
wirwirz	<font color=green>ESP:</font> vivir solo y apenado\n<font color=blue>AYM:</font> sapallaki\n<font color=orange>ENG:</font> to live alone and in grieve
wisi	<font color=green>ESP:</font> cuñado\n<font color=blue>AYM:</font> masanu\n<font color=orange>ENG:</font> brother-in-law
witchz	<font color=green>ESP:</font> derramar tirando\n<font color=blue>AYM:</font> willikipaña\n<font color=orange>ENG:</font> to spread by throwing
wits	<font color=green>ESP:</font> poner olla en fogón\n<font color=blue>AYM:</font> phukhu qhirir uchaña\n<font color=orange>ENG:</font> to put kettle on the stove
witz	<font color=green>ESP:</font> caer al suelo (sólido)\n<font color=blue>AYM:</font> willikipaña\n<font color=orange>ENG:</font> to fall to the floor
wiwu	<font color=green>ESP:</font> vivo, sano\n<font color=blue>AYM:</font> wali, sanu\n<font color=orange>ENG:</font> well, lively, healthy
wiya	<font color=green>ESP:</font> sueño\n<font color=blue>AYM:</font> samka, iki\n<font color=orange>ENG:</font> dream
wiyaja	<font color=green>ESP:</font> viaje\n<font color=blue>AYM:</font> saraña\n<font color=orange>ENG:</font> journey, trip
wiyz	<font color=green>ESP:</font> soñar con personas muertas\n<font color=blue>AYM:</font> jaqi chaqhatanti musposiña\n<font color=orange>ENG:</font> to dream of dead people
wiyz	<font color=green>ESP:</font> decir (un moribundo) que no va a aparacer en sueños\n<font color=blue>AYM:</font> jiwxasan janipiniw, samkana iñstjamati\n<font color=orange>ENG:</font> to promise (dying person) not to appear in dreams
wiz̈talla	<font color=green>ESP:</font> chuspa\n<font color=blue>AYM:</font> wallqipu, wistalla\n<font color=orange>ENG:</font> bag, purse
wjajrz	<font color=green>ESP:</font> romper\n<font color=blue>AYM:</font> p'akjaña\n<font color=orange>ENG:</font> to tear, to break
wjajtz	<font color=green>ESP:</font> pegar, chicotear, golpear\n<font color=blue>AYM:</font> jawq'aña\n<font color=orange>ENG:</font> to hit, to whip, to beat
wjajtz	<font color=green>ESP:</font> tocar campana\n<font color=blue>AYM:</font> kalink jawq'aña\n<font color=orange>ENG:</font> to ring a bell
wjajtz	<font color=green>ESP:</font> coser el borde del tejido\n<font color=blue>AYM:</font> suwukipaña\n<font color=orange>ENG:</font> to sew the border of fabric
wjijllz = pjijllz	<font color=green>ESP:</font> suavizar lana para hilar\n<font color=blue>AYM:</font> quñart'aña\n<font color=orange>ENG:</font> to pull apart matted, crude wool to spin
wjijzlla	<font color=green>ESP:</font> cuchara\n<font color=blue>AYM:</font> wislla\n<font color=orange>ENG:</font> spoon
ya	<font color=green>ESP:</font> sí\n<font color=blue>AYM:</font> iyaw\n<font color=orange>ENG:</font> yes
yaaz	<font color=green>ESP:</font> llenar bolsas\n<font color=blue>AYM:</font> winantaña\n<font color=orange>ENG:</font> to fill up sacks
yaca yaca	<font color=green>ESP:</font> Yaca yaca (ave)\n<font color=blue>AYM:</font> yaka yaka, uuthu\n<font color=orange>ENG:</font> Andean Flicker (bird)
yacu	<font color=green>ESP:</font> sal\n<font color=blue>AYM:</font> jayu\n<font color=orange>ENG:</font> salt
yachalla	<font color=green>ESP:</font> poco\n<font color=blue>AYM:</font> juk'alla\n<font color=orange>ENG:</font> a bit, a little
yajcz	<font color=green>ESP:</font> abrir la boca\n<font color=blue>AYM:</font> aysaña\n<font color=orange>ENG:</font> to open the mouth
yajcz	<font color=green>ESP:</font> extender a un muerto\n<font color=blue>AYM:</font> winkt'ayaña\n<font color=orange>ENG:</font> to stretch out a dead person
yajcz	<font color=green>ESP:</font> pesar\n<font color=blue>AYM:</font> pisaña\n<font color=orange>ENG:</font> to weigh
yajcz	<font color=green>ESP:</font> jalar\n<font color=blue>AYM:</font> tiraña\n<font color=orange>ENG:</font> to pull
yajcz	<font color=green>ESP:</font> hacer señas para cortejar\n<font color=blue>AYM:</font> tawaqunt parlaña\n<font color=orange>ENG:</font> to court
yajczinz	<font color=green>ESP:</font> postergar\n<font color=blue>AYM:</font> tiraña\n<font color=orange>ENG:</font> to postpone
yajczinz	<font color=green>ESP:</font> ayudar a pesar/jalar/estirar\n<font color=blue>AYM:</font> jiyt'as makhat yanapt'aña\n<font color=orange>ENG:</font> to help weigh/pull/stretch
yajkz = yakz = yekz = yejkz	<font color=green>ESP:</font> servir comida\n<font color=blue>AYM:</font> liwaña\n<font color=orange>ENG:</font> to serve food
yak'achjuncja = yek'achjuncja	<font color=green>ESP:</font> alacrán\n<font color=blue>AYM:</font> yaq'a yaq'a\n<font color=orange>ENG:</font> scorpion
yak'atama = yek'atama	<font color=green>ESP:</font> orín fermentado\n<font color=blue>AYM:</font> yaq'a t'ama\n<font color=orange>ENG:</font> fermented urine
yak'at'atchi = yek'at'atchi	<font color=green>ESP:</font> obstrucción en los conductos orinales (enfermedad)\n<font color=blue>AYM:</font> usu\n<font color=orange>ENG:</font> obstruction in urinal ducts (illness)
yakja = yekja	<font color=green>ESP:</font> otro\n<font color=blue>AYM:</font> yaqha\n<font color=orange>ENG:</font> another
yakjapa = yekjapa	<font color=green>ESP:</font> algunos\n<font color=blue>AYM:</font> yaqhapa, yaqhipa\n<font color=orange>ENG:</font> some
yakz = yajkz = yekz = yejkz	<font color=green>ESP:</font> servir comida\n<font color=blue>AYM:</font> liwaña\n<font color=orange>ENG:</font> to serve food
yanapt'iz = yanapz = nanapz	<font color=green>ESP:</font> ayudar\n<font color=blue>AYM:</font> yanapaña, yanapt'aña\n<font color=orange>ENG:</font> to help
yanapz = nanapz = yanapt'iz	<font color=green>ESP:</font> ayudar\n<font color=blue>AYM:</font> yanapaña, yanapt'aña\n<font color=orange>ENG:</font> to help
yankja = yenkja = sajjra	<font color=green>ESP:</font> diablo, demonio, malo\n<font color=blue>AYM:</font> saxra, supaya, ñanqha\n<font color=orange>ENG:</font> devil, demon, evil
yankjakulla = yenkjakulla	<font color=green>ESP:</font> medicina contra malos espíritus\n<font color=blue>AYM:</font> ñanqha qulla\n<font color=orange>ENG:</font> medicine against evil spirits
yans	<font color=green>ESP:</font> probar si funciona\n<font color=blue>AYM:</font> yant'aña\n<font color=orange>ENG:</font> to test if it works
yanzinz	<font color=green>ESP:</font> tirar boleadoras\n<font color=blue>AYM:</font> ch'aqtaña, liwintaña, yanant'aña\n<font color=orange>ENG:</font> to throw bolas
yapanz = yapz	<font color=green>ESP:</font> aumentar, dar como extra\n<font color=blue>AYM:</font> yapaña\n<font color=orange>ENG:</font> to give a little extra
yapinta morok'o	<font color=green>ESP:</font> algo que se dice de broma\n<font color=blue>AYM:</font> yapintam muruq'u\n<font color=orange>ENG:</font> something they say in joking
yapinta morok'o	<font color=green>ESP:</font> algo que se dice para agarrar aves con bolas\n<font color=blue>AYM:</font> yapintaña\n<font color=orange>ENG:</font> something one says to catch birds with bolas
yapz = yapanz	<font color=green>ESP:</font> aumentar, dar como extra\n<font color=blue>AYM:</font> yapaña\n<font color=orange>ENG:</font> to give a little extra
yarita	<font color=green>ESP:</font> yareta (planta medicinal)\n<font color=blue>AYM:</font> yarita\n<font color=orange>ENG:</font> medicinal plant
yatekz	<font color=green>ESP:</font> aprender\n<font color=blue>AYM:</font> yatiqaña\n<font color=orange>ENG:</font> to learn
yaticha	<font color=green>ESP:</font> animal nuevo no acostumbrado al rebaño\n<font color=blue>AYM:</font> wasa\n<font color=orange>ENG:</font> new addition to the flock that is not yet accustomed
yatiiñi = quint'iñi	<font color=green>ESP:</font> chismear\n<font color=blue>AYM:</font> arjasiña, kuñtu q'ipiña\n<font color=orange>ENG:</font> to gossip
yatiiz	<font color=green>ESP:</font> avisar\n<font color=blue>AYM:</font> yatiyaña\n<font color=orange>ENG:</font> to inform, to warn
yatiri	<font color=green>ESP:</font> chamán, hechicero\n<font color=blue>AYM:</font> yatiri\n<font color=orange>ENG:</font> sorcerer, diviner
yatisins	<font color=green>ESP:</font> ¡ahí se sabrá!\n<font color=blue>AYM:</font> yatisini (ukana)\n<font color=orange>ENG:</font> now we know!
yat'iz	<font color=green>ESP:</font> acostumbrarse (animales)\n<font color=blue>AYM:</font> yatintasiña\n<font color=orange>ENG:</font> to get accustomed (animals)
yatjatz	<font color=green>ESP:</font> acostumbrarse al nuevo rebaño\n<font color=blue>AYM:</font> yatintaña\n<font color=orange>ENG:</font> to get accustomed to new flock
yatjjatz	<font color=green>ESP:</font> consultar al yatiri\n<font color=blue>AYM:</font> yatjataña, yatxataña\n<font color=orange>ENG:</font> to consult a sorcerer/diviner
yaw	<font color=green>ESP:</font> ¡oye!\n<font color=blue>AYM:</font> yaw\n<font color=orange>ENG:</font> listen!, look here!
yawz	<font color=green>ESP:</font> montar, subir\n<font color=blue>AYM:</font> latxataña\n<font color=orange>ENG:</font> to get on, to climb
yejkz = yekz = yakz = yajkz	<font color=green>ESP:</font> servir comida\n<font color=blue>AYM:</font> liwaña\n<font color=orange>ENG:</font> to serve food
yek'achjuncja = yak'achjuncja	<font color=green>ESP:</font> alacrán\n<font color=blue>AYM:</font> yaq'a yaq'a\n<font color=orange>ENG:</font> scorpion
yek'at'acz	<font color=green>ESP:</font> tener obstrucción en los conductos orinales (enfermedad)\n<font color=blue>AYM:</font> usuntaña\n<font color=orange>ENG:</font> to have an obstruction in urinal ducts (illness)
yek'atama = yak'atama	<font color=green>ESP:</font> orín fermentado\n<font color=blue>AYM:</font> yaq'a t'ama\n<font color=orange>ENG:</font> fermented urine
yek'at'atchi = yak'at'atchi	<font color=green>ESP:</font> obstrucción en los conductos orinales (enfermedad)\n<font color=blue>AYM:</font> usu\n<font color=orange>ENG:</font> obstruction in urinal ducts (illness)
yekja = yakja	<font color=green>ESP:</font> otro\n<font color=blue>AYM:</font> yaqha\n<font color=orange>ENG:</font> another
yekjapa = yakjapa	<font color=green>ESP:</font> algunos\n<font color=blue>AYM:</font> yaqhapa, yaqhipa\n<font color=orange>ENG:</font> some
yekz = yejkz = yakz = yajkz	<font color=green>ESP:</font> servir comida\n<font color=blue>AYM:</font> liwaña\n<font color=orange>ENG:</font> to serve food
yenjt'iz = yenjst'iz	<font color=green>ESP:</font> enfermarse gravemente\n<font color=blue>AYM:</font> usu katuña\n<font color=orange>ENG:</font> to be seriously ill
yenkja = yankja = sajjra	<font color=green>ESP:</font> diablo, demonio, malo\n<font color=blue>AYM:</font> saxra, supaya, ñanqha\n<font color=orange>ENG:</font> devil, demon, evil
yenkjakulla = yankjakulla	<font color=green>ESP:</font> medicina contra malos espíritus\n<font color=blue>AYM:</font> ñanqha qulla\n<font color=orange>ENG:</font> medicine against evil spirits
yoka	<font color=green>ESP:</font> suelo, tierra\n<font color=blue>AYM:</font> uraqi\n<font color=orange>ENG:</font> floor, soil, ground, land
yoka chjuuskatz = yoka tjeps	<font color=green>ESP:</font> confundirse de dirección\n<font color=blue>AYM:</font> pantjasina (almanti)\n<font color=orange>ENG:</font> to go in the wrong direction
yokalla	<font color=green>ESP:</font> hombre, varón\n<font color=blue>AYM:</font> chacha\n<font color=orange>ENG:</font> male
yoksami	<font color=green>ESP:</font> tipo de insecto de la tierra muy pequeño\n<font color=blue>AYM:</font> k'uytu, laq'at laq'u\n<font color=orange>ENG:</font> kind of tiny insect
yooz	<font color=green>ESP:</font> Dios\n<font color=blue>AYM:</font> yusa\n<font color=orange>ENG:</font> God
yucju = yujcpacha	<font color=green>ESP:</font> mucho (productos)\n<font color=blue>AYM:</font> walja, ancha\n<font color=orange>ENG:</font> a lot of (products)
yucunz	<font color=green>ESP:</font> regresar por el mismo camino\n<font color=blue>AYM:</font> k'uttaniña\n<font color=orange>ENG:</font> to return by the same road
yuczinz	<font color=green>ESP:</font> apuntar\n<font color=blue>AYM:</font> chhuqtaña\n<font color=orange>ENG:</font> to aim, to point
yujc	<font color=green>ESP:</font> cara\n<font color=blue>AYM:</font> innaqa\n<font color=orange>ENG:</font> face
yujc p'uzko	<font color=green>ESP:</font> mejilla\n<font color=blue>AYM:</font> anuna\n<font color=orange>ENG:</font> cheek
yujcpacha = yucju	<font color=green>ESP:</font> mucho (productos)\n<font color=blue>AYM:</font> walja, ancha\n<font color=orange>ENG:</font> a lot of (products)
yujcquiz	<font color=green>ESP:</font> en frente de, delante de (personas)\n<font color=blue>AYM:</font> layxa\n<font color=orange>ENG:</font> in front of (persons)
yuurñi	<font color=green>ESP:</font> comportamiento permanente, costumbre\n<font color=blue>AYM:</font> ukhampiniwa\n<font color=orange>ENG:</font> permanent behavior, custom
yuurz	<font color=green>ESP:</font> comportarse bien, acostumbrarse\n<font color=blue>AYM:</font> yatintaña\n<font color=orange>ENG:</font> to behave well, to get used to
yuuz	<font color=green>ESP:</font> volar en círculos\n<font color=blue>AYM:</font> muyruntaña\n<font color=orange>ENG:</font> to fly in circles
yuwanz	<font color=green>ESP:</font> no poder pasar un obstáculo\n<font color=blue>AYM:</font> jani ma makhikipaña\n<font color=orange>ENG:</font> to be unable to pass an obstacle
zaazqui	<font color=green>ESP:</font> \n<font color=blue>AYM:</font> \n<font color=orange>ENG:</font> 
zaca = saca	<font color=green>ESP:</font> igual\n<font color=blue>AYM:</font> kikjpa\n<font color=orange>ENG:</font> equal, alike
zacra	<font color=green>ESP:</font> pelo fino del cuello\n<font color=blue>AYM:</font> kunka, lank'uta\n<font color=orange>ENG:</font> soft hair on back of neck
zaczti	<font color=green>ESP:</font> sacristán, jefe de la iglesia\n<font color=blue>AYM:</font> tatakuran yanapiripa\n<font color=orange>ENG:</font> sacristan
zajjwi	<font color=green>ESP:</font> orín\n<font color=blue>AYM:</font> yaq'a\n<font color=orange>ENG:</font> urine
zajtz	<font color=green>ESP:</font> correr\n<font color=blue>AYM:</font> t'ijuña\n<font color=orange>ENG:</font> to run
zakaz = zakal	<font color=green>ESP:</font> también\n<font color=blue>AYM:</font> ukhamaraki, -raki\n<font color=orange>ENG:</font> also
zalawz	<font color=green>ESP:</font> tener frío de noche\n<font color=blue>AYM:</font> q'ara pampaña\n<font color=orange>ENG:</font> to be cold at night
zalniru	<font color=green>ESP:</font> salinero con llamas\n<font color=blue>AYM:</font> saliniru\n<font color=orange>ENG:</font> person transporting salt with llamas
zalz	<font color=green>ESP:</font> encontrarse con\n<font color=blue>AYM:</font> jikhisiña\n<font color=orange>ENG:</font> to meet, to run into
zalz	<font color=green>ESP:</font> concubinarse\n<font color=blue>AYM:</font> jikhtaptaña, jikhisiña\n<font color=orange>ENG:</font> to live together without being married
zalz	<font color=green>ESP:</font> alcanzar (transporte)\n<font color=blue>AYM:</font> alkansaña\n<font color=orange>ENG:</font> to catch (transport)
zallk'a	<font color=green>ESP:</font> carne de aves silvestres\n<font color=blue>AYM:</font> jamach'inak aycha\n<font color=orange>ENG:</font> meat from wild birds
zamiri	<font color=green>ESP:</font> espíritu guardián\n<font color=blue>AYM:</font> samiri\n<font color=orange>ENG:</font> guardian spirit
zamz	<font color=green>ESP:</font> dar gracia (rito de fertilidad)\n<font color=blue>AYM:</font> phuqhaña\n<font color=orange>ENG:</font> to give thanks (fertility ritual)
zana	<font color=green>ESP:</font> abertura de la entrada\n<font color=blue>AYM:</font> punku\n<font color=orange>ENG:</font> doorway, entrance opening
zancu	<font color=green>ESP:</font> afuera\n<font color=blue>AYM:</font> anqa, sankhu\n<font color=orange>ENG:</font> outside
zapa	<font color=green>ESP:</font> cada\n<font color=blue>AYM:</font> sapamayni\n<font color=orange>ENG:</font> each
zapamayni	<font color=green>ESP:</font> cada uno\n<font color=blue>AYM:</font> sapamayni\n<font color=orange>ENG:</font> each one
zapana	<font color=green>ESP:</font> arete de hembras\n<font color=blue>AYM:</font> sarsillu\n<font color=orange>ENG:</font> earring for female animals
zapana	<font color=green>ESP:</font> conjunto de trenzas\n<font color=blue>AYM:</font> sap'aña, waljak'aña, saxsak'ana\n<font color=orange>ENG:</font> several braids together
zapazezi	<font color=green>ESP:</font> cada noche, cada tarde\n<font color=blue>AYM:</font> sapa arama\n<font color=orange>ENG:</font> every night
zapuru	<font color=green>ESP:</font> cada día\n<font color=blue>AYM:</font> sapuru\n<font color=orange>ENG:</font> every day
zaquilawz	<font color=green>ESP:</font> tener/sentir frío\n<font color=blue>AYM:</font> thaya, llapi, ch'uñtapiña\n<font color=orange>ENG:</font> to be cold, to feel the cold
zara	<font color=green>ESP:</font> vello de las partes genitales, vello pubiano\n<font color=blue>AYM:</font> t'arwa\n<font color=orange>ENG:</font> pubic hair
zarakz	<font color=green>ESP:</font> irse\n<font color=blue>AYM:</font> sarxaña\n<font color=orange>ENG:</font> to go away, to leave
zarampiya	<font color=green>ESP:</font> sarampión\n<font color=blue>AYM:</font> iskarlatina\n<font color=orange>ENG:</font> measles
zat'ina	<font color=green>ESP:</font> timpu (plato típico)\n<font color=blue>AYM:</font> sat'ina, t'impu\n<font color=orange>ENG:</font> a typical Andean dish
zawjz	<font color=green>ESP:</font> orinar\n<font color=blue>AYM:</font> yaq'aña, chhuxaña\n<font color=orange>ENG:</font> to urinate
zcaaz	<font color=green>ESP:</font> caminar lentamente\n<font color=blue>AYM:</font> sumat saraña\n<font color=orange>ENG:</font> to walk slowly
zcara	<font color=green>ESP:</font> sapo\n<font color=blue>AYM:</font> jamp'atu\n<font color=orange>ENG:</font> toad
zcatz	<font color=green>ESP:</font> pegar, colar\n<font color=blue>AYM:</font> lip'iyayaña\n<font color=orange>ENG:</font> to glue
zcjejtinz	<font color=green>ESP:</font> sentir dolor en todo el cuerpo\n<font color=blue>AYM:</font> ustapiña\n<font color=orange>ENG:</font> to feel pain all over ones body
zcotz	<font color=green>ESP:</font> entumecerse por el frío\n<font color=blue>AYM:</font> thayanti p'artata, chhujchhujkaña\n<font color=orange>ENG:</font> to become numb from the cold
zcozi	<font color=green>ESP:</font> riñón\n<font color=blue>AYM:</font> mayruru\n<font color=orange>ENG:</font> kidney
zcozi	<font color=green>ESP:</font> ovalado\n<font color=blue>AYM:</font> mayruru\n<font color=orange>ENG:</font> oval shape
