abadesa	Aware:sa.
piñón	Chi'china:na'.
piojo	Dam'i.
piraquina	Masla:pos.
piroco	Tosworo'di.
pisar algo	Łeka:cho.
pisonear	Duke:łe.
pisonear algo	Du'na.
pita entorchada	Davuldi.
pitaí	Javułlo.
pitar	Se'na.
pitar un cigarrillo	Se'na.
pitón	Rochindi.
pitón	(árbol) Rochindo.
pitón	Vulni.
piyu	Da'ra.
plancharlo	Riłna.
planchar ropa	Riła'oj.
planear	Pabaycho.
planta acuática	Chichamra.
planta del mango	Manka:boj.
planta utilizada para teñir ropa de color anaranjado	Chuchuchi.
plátano frito	Deńchołmo.
plátano maduro	Bewmo.
plátano tierno	Łała:kwi.
plato	Cha:do.
plaza	Lo:los.
pleitear	Jaradakwa:na.
pluma	Mumuńkwa.
pluma de huaracachi	Wadakamuń.
pluma de la paraba	Kara'muń.
plumaje de machetero	Łewkwa.
plumero	Juḿwammo:ni.
Poboslo	(apellido) Powojlo.
pobrecito	Beyka.
pochi	Chichamra.
pocita que guarda agua por tiempo	Kokońkwa.
poco	Beyra.
poco profundo	Te:si.
poder hacerlo	Tanapanłe.
podrido	Dońra:ni.
polilla	Nunris.
pollito	Tochi'mo.
pollos huérfanos	Batayajmo.
polvo bien cernido	Ni'wis.
polvo de la tierra	Vuskwa.
poner algo	Bańna.
poner algo en el suelo	Daya:ra.
poner en el fuego	Bata:si.
poner en orden	Ajkapa:na.
poner hojas de palmera en un techo	Batamuń.
poner huevo	Jołti'.
ponerle en claro a alguien	Jelewa:na.
ponerlo al fuego	Bataleseł.
ponerse a la sombra	Chanlava:łe.
ponerse en fila	Samtova:cheł.
ponerse loco de amor	Sawa:way.
ponerse una vestimenta o joya	Do'na.
poner sobre algo	Jana:łe.
ponsoñoso	Diteswiń.
popa	Bobojkwa.
por eso	Jan.
por favor	Juma'pojdo'.
por la mitad	Alcho:ni.
por lo menos	Beya'ka.
por que	Bo.
por suerte	Manran.
posetacú	Chuya:ła.
posiblemente	Joy.
posiblemente	Joychoyka.
poste	Cha'vos.
potro	Pariye:wa.
poza parte de un bajío	Chisawascho.
pozo	Kokońkwa.
preguntar	Dajawane:łe.
preguntarle a alguien	Daja:wa.
preguntar por algo	Daja:ja.
prender fuego	Bata:les.
prender fuego	Chuta:les.
prenderse en algo	Bay'łełe.
prendido de la olla	Bay'bi:jeł.
preocupado	Kawka:ye.
preocupado	Onka:ye.
preservarse	I:lolomajni.
prestar algo	Botepojna.
prestarse	Bo:te.
prima	Pi:ri:ma.
primer día	Naychinye:mes.
primer día de fiesta	Naychinlo:wes.
primero	Naychi.
primo	Pi:ri:mo.
príncipe del agua	Bo:law.
principio	Nalomajwa:nas.
pringar	Pay'na.
probablemente	Joychoy.
probar algo	Opa:na.
probar el gusto	Owesna.
probar la calucha	Ochołna.
procurar algo	Dimbaychovałna.
profesor	Vatapanchaye:pa.
prohibido	Ura*be.
prohibir	Uḿna.
prohibir	Uta:be.
propinarle	Chilna.
protestar	Baka:wa.
puchíchi	Sin'i.
pueblerino	Lolosmajye.
pueblo	Lo:los.
pueblo viejo	Memelo:los.
puerco de la cueva	Siłkwammaj.
puerco espín	Dudu:tus.
puerco taitetú	Kayo:ti.
puerta	Ra:da.
puerta	Radanłe.
puerto	Tokwi:kwi.
pues	Rey.
pues sí	Lo.
puesto a la cruz	Bańsuneł.
puesto derecho	Bołoḿ'i.
pulga	Ku:duḿ.
punta con punta	Altura:chi.
punta de la caña	Churo:kwa.
punta de la nariz	Turu:chi.
puntiagudo	Do:jiń.
punzonear	Chaka:cho.
puño	Kolo:ba.
pura resina	Jemlo:si.
puro	Jemme.
puro	Kolojni.
puro	Ko'loj.
puro hoyo	Jemsi.
pus	Dońlo:wa.
que baila toda la noche	Telo'imna.
quebrado	Baycho.
quebrado	Kańpiń.
quebrado abierto	Ra:cho.
quebrar algo	Baya:cho.
quebrar algo de algo	Baka:łe.
quebrar algo de algo	Kata:łe.
quebrar algo largo por la mitad	Kata:piń.
quebrarse	Kańcho:cho.
quebrarse al tronco del árbol	Kańboje:łe.
quebrar un árbol	Kata:boj.
que brilla	Jelesni.
que camina feo	Cho'eslowe.
qué cosa?	Jeka'ni.
que da miedo	Dayimni.
que da miedo	Tino'ni.
quedar bien parado	Enu'ni.
quedar en lo seco	Osełni.
quedarse acostado	Deku'ni.
quedarse atrás	Elasłe.
quedarse atrás	Ela:ye.
quedarse en algún lugar	Asu'ni.
que es suave	Ni'loyni.
que está carbonizado	Tayko.
que está muy sabroso	Ma'nesni.
que está partido	Pajcho.
que está por llegar	Telayni.
que fluye agua	Limi:mi'.
qué fue?	Łeła'a.
qué has hecho?	Janwitan.
quejarse de dolor	Jaya:yas.
qué lástima! me pesa	Beyka:pa.
que llegue	Telaka'ni.
quemado	Ba:les.
quemar	Ise:łe.
quemar	Taya:ko.
quemar algo	Isna.
quemar chaqueado	Vusa:łim.
quemar o calentar algo por dentro	Isa:cho.
quemarse	Vusłe.
que no tiene paz con nadie	Jaradada:mo.
que pena!	Łavo:ni.
querer dormir	Jorosicha'kwa.
querer estimar a personas	Kwajescha:ye.
querer hacerlo	Didi'.
querer orinar	Chojsicaha'kwa.
queresa	Dumuychi:ya.
qué tal? ¿ayakweł? ¿cómo están? ¿aya kos jeyan? ¿qué tienes?	Aya.
que te vaya bien	Jay'lo.
que va bien cargado	Pampammo'mo.
que vive en el pleito	Jaradada:mo.
quiabó	(olor a pescado) Ka:loy.
quiabó	Kaloyni.
quién?	E:łe.
quitarle algo a alguien	Suyna.
quitarse el pantalón	Końła:ri.
quizás	Bu'ni.
quizás	Jina'.
rabia	Ja:lay.
rabioso	Jala:yij.
rabo	Bałewkwa.
raíz	Dudułkwa.
rallador	Pujła.
rallar	Jiłna.
rallar con la punta del cuchillo	Tułna.
rallar la yuca	Jiłapa.
rama	Tolejkwa.
ramillete	Mo'los.
rana	Si:ba.
ranchear	Jaje:łe.
rancio	Di:tes.
Rapu	(apellido) Ra:pu.
rascar	Wałna.
rasgar	Biłna.
raspar algo	Bołna.
raspar yuca	Boła:pa.
rata	Nołkwa.
ratón	Nołkwa.
raya	Chavo'.
rayar	Piłe:łe.
rayar	Piłna.
rayo	Yampa.
razo	Bancho.
rebalsar	Pelpel.
rebanar choclo	Muła:cho.
rebatir	Ta'kaba:na.
rebatir algo	Tańkaba:na.
reboleado	Boyboylo.
recaer de una enfermedad	Cholo:ma:maj.
rechazar	Nanalopa:nas.
recibir agua	Eya:mi.
recibir en propias manos	Uycho:pa.
recién	Jo'mi.
recién	Te:teka.
recimo	Pojełkwa.
recogerlo	Kulna.
recoger o escoger del suelo algo	Jońna.
recto	Bo:łoḿ.
recto	Imkato:ni.
redondo	A:te'.
redondo	Ja:pil.
reemplazar algo	Bońra:na.
reemplazar algo o a alguien	Bawchołna.
refregar	Juchu'.
refregar ropa	Juchu'ojna.
refresco	Wara:po.
regado	Dachis'i.
regalarle a alguien	Elna.
regalo	Elełwa.
regalo	(de nadie en particular) Elełwanra:ni.
regalo	Kayłewawa.
regalos	Elełwa:ni.
regar	Ruḿna.
regar agua	Tamunmi:na.
regarse	Tamu:mun.
regresar	Salmo.
reilón	Josika'asna:pa.
reilona	Josika'asna:pa.
reírse de algo o de alguien	Cosipa:na.
relampaguear	Tapela'ni.
relampaguear	Tapel cheł.
relatar	Ajalo:maj.
reloj	Paka'orawanra:ni.
remar	Saya:ve.
remedar algo	Ijikapa:na.
remedar el habla de otra persona	Ijikawa:na.
remedio	Lawa:jes.
remedio	Lawa:jes.
remendado de apenas	Way'cho.
remendar	Tonna.
remendar la ropa	Tona'oj.
remo batidor de madera	Sayłaye:do.
remo de boga	Jolkwandoneł.
renacuajo	Wosba.
rendido	Ba:te'.
renegar	Baka:wa.
reñir	Juke:łe.
reñir	Uru'ła.
representar algo	Chekasna.
representarse	Chekascheł.
resbalarse	Kachiḿpoj.
resbaloso	Kachi'ni.
resfriarse	Paluyasełni.
resina	Losi:kwa.
resina de ochoo	Kanawanlo:si.
resino de macororó	Kawa:wa.
respetar a alguien	Wayesna.
respeto	Wayeswa:nas.
respirar	Łowte'.
responder	Chaywanełe.
resucitar	Choyte'.
resurtir	Chaychi.
retaso de tela	Do'ewanojbeń.
retoñar	Tochinti'.
retoño	Tochinkwa.
retroceder	Choysi.
reunidos	Ińlo:ba.
reunión o lugar de reunión	Aylobawa:nas.
reunirse	Ay:loba.
reventado	Rałcho.
reventado	Rancho:cho.
reventar caña	Doposchacha'as.
reventarse con sonido	Doposcheł.
revivir	Choyte'.
revocar o afinar una pared	Payna.
revolcarse	Polkaba:ba.
rezador	Lewalo:pa.
rezar	Lewa:lo.
rezar por alguien	Lewalokwa:na.
rincón	Po:poj.
riñón	Torindi.
río	Bijra.
río	Mani:ki.
río grande	Ińwa.
río rapulo	Rapu'lo.
risa	Jo:si.
robarle a alguien	Doja:łe.
robarle a alguien	Tolkara:na.
rociado	Dachis'i.
rociar algo	Ruḿna.
rociar con gotas grande de agua	(por ejemplo con una tutuma) Dachisna.
rociar ropa	Vubuj'ojna.
rociart	Vubujna.
rocío	Bełlo.
rodar	Polkaba:ba.
rodear	Julałełe.
rodear a alguien	Muna:łe.
rodearlo	Jula:łe.
rodilla	Ba:mo.
rodilla	China:mo.
rojo	Ra:pal.
romper	Peła:cho.
romper el monte	Peła:mo.
romper trapo o papel	Pełna.
roncar	Łoro:doń.
ronchearse	Sonolba:ba.
ropa	Do'we.
rosado	Balo:si.
rosar	Dasa:mo.
roto de tal forma que se ve el interior	Pełcho.
rotoso	Rałba.
rubio	Wa:yo.
rugir	Łere'cho.
sábado	Sa:waro.
sábalo	Ukaḿ.
sabañón	Wojwoj.
saber	Bispa.
saber de algo	Paku'na.
saber hablar	Biswa.
sabor a fermentado	Chasoyni.
sabros	Ma'nes.
sacar	Łowa:łe.
sacar	Sawe:łe.
sacar agua de una vasija	Yata:mi.
sacar algo	Konna.
sacar algo	Końna.
sacar algo	Sayna.
sacar algo de a poco	Chelna.
sacar algo del agua	Kona:loł.
sacar algo desde adentro	Kona:choł.
sacar algo o hacerlo salir	Chipojna.
sacar cascar de alcornoque	Tipołbeńti'.
sacar con la mano	Wayna.
sacar del fuego	Konale:seł.
sacarle un pedazo a algo	Loka:cho.
sacerdote	Pa:'i.
sacudir algo	Lirijna.
sacudir con trapo para quitar el polvo o tierra	Toronja.
sacudir la cama	Torojka'waj.
sacudirse	Lirijcheł.
sacudirse la nariz	Suḿchi.
safarse	(por ejemplo un canasto de un gancho) Tańpa.
Sairama	(apellido) Sayra:ma.
sal	Do:yoń.
salado	Busuńni.
salado	Łoma'ni.
salar algo	Łoma'na.
salió como yo	Jayeni:kay.
salir	Chi:chi.
salir al paso	Kajłe:na.
salir de pena	Do'łe.
salir de pena terminar	Chopayni.
salirse del agua	Ko'lo:łe.
saliva	Alo:we.
saliva	Do:toń.
saltamonte o tucura	Sińdi.
saltar a algo	Desa:kwa.
saltar en el piso	Descheł.
saltar lejos desde arriba	Kulo:wiń.
salud!	Kila'wa.
saluda!	Pete:łe.
saludar	Pete:łe.
saludar a alguien	Peńna.
saludarse	Peńcheł.
saludo	Petełwa:nas.
salvar de un peligro	Toka'yaj.
salvarse	To'ya.
sama	Si:wa.
sanar	Tarałni.
sanar a alguien	Tarałna.
sancochar algo	Dejna.
sandia	Sani:ya.
sangrar	Chido:don.
sangre	Don'i.
santa rosita	(avecilla) Donajoylo.
sapito chico	Sulu:lu.
sapo	Wara'tey.
sapo escuerzo	Ulu'tey.
sarna	Nij'i.
sarnoso	Nijbeń.
sarso	Walaydi.
sartenejal	Bawaskwa.
sayubú	Si:siwa:di.
secar	Werelni.
seco	We'rel.
secretear	Ława'cheł.
se dice cuando una actividad a durado toda la noche	Al'imeł.
se dice sobre todo de ropa	Beyesni.
sedoso	Ni'loy.
sedoso	Ni'loyni.
se fue	Polala'as.
seguir a alguien sin que el lo sepa	Kwyna.
se huele	Payespayes.
semana santa	Kwaresma.
semblante de muerto	Kaynimo:ra.
semblante triste	Łavołavomora:ni.
sembradío	Wulwanra.
sembrar	Wulka:rim.
sembrar	Wulna.
semen humano	Lolo:lo.
semialtura	Roj'i.
semilla	Didinkwa.
semilla de joco	Warisdi.
semilla de lúcumo	Tichołdi.
semilla de naranja	Narasa:di.
semilla de papaya	Maropandi.
semilla grande	Dodo:kwa.
semilla que se usa para hacer collares	Kawayo:di.
sentado(a) en el agua	Asłol.
sentado(a) en el suelo	Asłabał.
sentado(a) en la estera	Aspo:jeł.
sentado al pie de un árbol	Asbojeł.
sentarse	Ascheł.
sentarse al pie de un árbol	Asbojełe.
sentarse en el agua	Aslo:łe.
sentarse en el suelo	Asłaba:łe.
sentido	To:ra.
sentir	Senna.
sentir algo	Payesna.
sentir algún pesar	Tivijpojkay.
sentir alivio	Jayawbaycho.
sentir cansancio	Yate:tej.
sentir deseo de algo que uno no puede tener	Che'che'e.
sentirse triste	Łavokabaycho.
señor	Pa'a.
señora	Ma'a.
separar algo	Ajna.
sepultado	Wulko.
sepultar a un muerto	Wula:ko.
será así	Di'joy.
ser abusivo	Pakapaka:ye.
será? palabra que utiliza para expresar incredulidad o sorpresa	Dojka.
ser así	Janlo:maj.
ser autoridad	Enonawa:nas.
ser blando movedizo	Likwi:kwiń.
ser capaz de alzar algo pesado	Daka:łe.
ser celoso	Keraaye:łe.
ser delgado	Soroyni.
ser enemigo	Alchiwanneni.
serere de la pampa	Piyo'.
serere del río	Chamba.
ser feo	Cho'esni.
ser filo	Peresni.
ser ganador	Jularawe:łe.
ser grasoso	Sumesni.
ser igual	Imkakara:ni.
ser la mitad de algo	Pascho.
ser lento	Ju:juma'lo.
ser madura una fruta	Bewni.
ser nacido	Donłe.
ser nutritivo	Su'mesni.
ser parecido	Jane:ni.
ser peligroso	Omawni.
ser pesado	Dino'ni.
serpiente cascabel	Oloba'was.
ser posible	Bisra.
ser soltero(a)	Jempa:ni.
ser valiente	Ove:ni.
servir comida	Wase:łe.
servite	Kila'wa.
ser vivo(a) entendido(a)	Paku'.
se siente	Payespayes.
seso	Tabvaloba:kwa.
se terminó su lengua	Ba:ruł.
se usa para nuera y yerno	Ulchał.
se usa para referirse a sus padres	Bija:jaw.
si	Jo:jo'.
sicurí	Yana:we.
siempre	Choń.
siempre hasta ahora	Daykaka.
si fuera	Disoy.
si fuera así	Ła'wa.
silbar	Siḿła.
silla	Si:ya.
silvaco	Bolawmo.
simbado	Samdinłew.
simbar	Samadinłew.
simbar lazo	Sama:di.
sin	Lol.
sin concluir	Mo:lowesni.
singa	Tokavewanra.
singuear	Toka:ve.
singuear	Tuka:ve.
sin mezcla	Jemme.
sin pantalón	Banal:ri.
sin ropa	Banne.
si pues	Choyrey.
siquiera	Beya'ka.
sirari	Tokwandi.
sirve	Kemakema:ra.
(situación demostrativa)	Ayru.
snacadilla	Sula:des.
sobaco	Chovajdimpo.
sobaco	Chowiń.
sobar despacio con algún ungüento	Jusna.
sobornarle a alguien	Chilna.
sobrar	Puńra:ni.
sobrar comida	Puta:ra.
sobresaliendo	Lemłe:łe.
sobrino	Ya:ni:kay.
sol	Tinno.
solamente	Ja'.
sol caliente	Dińwel.
soleado	Tinno:ti'.
solera de casa	Łała:kwi.
sólito	Soka'te.
solito(a)	Jempa:ni.
solo	Soka'te.
solo está la idea	Dis.
soltado	Rałpiń.
soltar	Nana:ra.
soltarse	Mańłe:łe.
soltarse	Ta'ka:pa.
soltarse de su penga	Lo'łe:łe.
sombra	Chanla:vał.
sombra	Lava:bał.
sombra	Lava:yas.
sombra	Lava:bał.
sombra	Lava:yas.
sombrero	Chorankwanto.
sonar	Siki:cheł.
sonar brevemente	Wutuscheł.
sonar fino como cristal	Sijilcheł.
sonido fuerte	Ditasłe.
son palabras demostrativas	Kolwa.
soñador	Beysikwampa.
soñar	Beysi.
soñar	Beysi:kwa.
soplador	Bo:ve.
soplador	Juḿwanra.
soplar	Javułna.
soportar	Jempa.
soportar algo	Jara'cho:na.
sordo(a)	Si'lo:to.
sorprender	Chika:pa.
sorprender hablando a alguien	Chika:wa.
sorprenderse	Jolbaycho.
suave	Jusawni.
suave	Ni'loy.
suave	Tiłoyni.
suavizarlo	Riłna.
subir a la nada	Welełka'asna.
subir al barranco	Welełba:łe.
subir arriba	Wele:łe.
su cabo	Baneła'a.
sucha	Tuspa'.
sucio	Cho'es.
sucio	Cho'esni.
su cola	Bałewa'a.
su color	Lowe:kwa.
sudor	Tayawlo.
suegro	Ulchał.
sueño	Beysi.
suficiente	Manra.
su follaje	Loranełe'as.
sufrir un percance	Rujlo:maj.
suicidarse	Tikoycheł.
sujal	Kwełrismo.
sujo	Kwełris.
sujo	(árbol) Ło'im.
sumamente	Tojeł.
su mango o cabo de un machete	Dineła'a.
sumergirse	Ya:ba:kwa.
sumuqué	(palmera) Morón.
sumurucucu	Tuku:ku.
sunchar algo	Cha'na.
sunchar con arma blanca	Chake:łe.
su par	Alchi.
suplicar	Karaye:łe.
su punta	Churudu'a.
su punta	Tu'ła'a.
sur	Ku:juy.
surcir algo	Waya'cho.
sur con agua	Kujuylu'u.
suspender las piernas a cada momento	De'kała:ri.
suspendido	De'łełe.
su tronco del árbol	Boboja'a.
su tronco del árbol	Bobojkwakwa'a.
Tababari	(apellido) Tawawa:ri.
tábano	Tenaymo.
tábano amarillo	Serejmo.
tábano grande	Chorammo.
tabla	Tawla.
tacú	Enłe:du'.
tacuara	Chiri:wan.
tacuara para flauta	Savu:di.
tajibo	Ta:wuł.
Talamani	(apellido) Talama:ni.
talar árboles	Latabojcha:vos.
tallo de la yuca	Layłapiteł.
talón	Ba:si.
tal vez	Jina'.
tamal	Boyboy.
tamaño	Janra.
tambalearse	Baska:to.
también	Jema'.
tapacaré	To'way.
tapado	Chuykwa.
tapar	Po'na.
tapar algo con su propia tapa	Poka:kwa.
tapar algo su abertura	Poka:cho.
taparse	Chankocheł.
taparse bien	Cho'ba:łe.
tapar una apertura con algo que no es específicamente su tapa	Chuya:kwa.
tapar una vasija que contiene algo	Roka:kwa.
tapeque	Chi:loj.
tapequearse	Chilojcheł.
tapera	Meme:di.
tapir	O:ma.
taracoe	Po'dala'.
tarántula	Kule:ma.
Taraune	(apellido) Tarawni.
tardar	Jumlo.
tardar una hora	Pe'oraneł.
tarde	Pola.
tardo	Ji:bal.
tarechi	Chi:tań.
tari	Ołneł.
tarope	Doyoḿpa.
tarro	Taro:ba.
tarumá	Che:kwes.
tatú	Sutulra.
taza	Ya:lowewamba:ni.
techar la casa con paja	Sama:ris.
techo	Ko:re.
técnicamente	Wuru:du.
tejer	Kojele.
tejer	Samna.
tejer sombrero	Sama:to.
tejón	Bi:chichiḿma.
tela	Do'ewa:noj.
tela negra	Tun'oj.
teléfono	Iwaniwamba:ni.
temblar	Liti:tiń.
temer	Tino'ba:na.
temor a un peligro	Onridisni.
templado	Kwiri:dil.
templar a algo o a alguien	Kwirilna.
tender algo al sol	Ilna.
tender algo con su apertura al sol	(por ejemplo una tutuma para seque por dentro) Ila:cho.
tender chive	Ila:cho.
tender ropa para que seque	Ila:'oj.
tener ave	Joḿjoḿme.
tener cabello crespo	Mulayni.
tener calambre	Way'kachocho.
tener cicatrices	Sili:ni.
tener conocimiento	Bispa.
tener cuidado	Jayawkapa:na.
tener deudas	Bawabawa:ra.
tener el cabello crespo	Mulaykaba:kwa.
tener en la boca	Uykwa.
tener fallo de un ojo	Pascho:ra.
tener frío	Jilo:ka.
tener hipo	Łe'kwa.
tener ideas	Pembaycho.
tener la oreja cortada	Tanloto:veł.
tener larga respiración	Ku:te'.
tenerle lastima a alguien	Łavoye:na.
tener más	Nayra.
tener miedo	Dayimni:wa.
tener miedo	Tino:ka.
tener noticia	Paku'na.
tener otra cosa que hacer	Sońtijna.
tener presentimiento	Jambaycho.
tener sed	Ya:lowesicha'kwa.
tener sueño	Jorosicha'kwa.
tener una buena vista	Dewajkwi.
tentar	Otolna.
teñir algo	Łoyna.
terminado	Ba:lomaj.
terminar	Bara:na.
terminar de arder	Ba:le:les.
terminar de bañarse	Ba:ła:vij.
terminar de caer una fruta	Ba:ris.
terminar de comer	Ba:bu.
terminar un evento	Ba:loweskwiwa:wa.
termino que se utiliza como saludo de respeto a una mujer mayor	Ke'e.
termino usado entre mujeres	Chejta.
terraplén	Payto.
terraplenar	Ela:cho.
terreno plano	Imkakawajni.
testículos	Loto:di.
teta	Chajkwa.
tía	Ay'ku.
tiempo	Tino:na'.
tiempo bueno	Jaya:was.
tiempo caluroso	Ewelwa:wa.
tiempo con amenaza de lluvia	Ruja:jas.
tiempo de agua	Tomi:na'.
tiempo de cosecha	Tanadiwa:wa.
tiempo de guayaba	Padiwa:wa.
tiempo de la viruela	Dorosbawa:wa.
tiempo de lluvia	Lu'cho:na.
tiene 10 cm de largo	Olo'tey.
tiene color	Lowe:kwa.
tiene delito	Kovijko:vij.
tierra	Łakaḿba.
tierra greda especial para alfarería	So'la.
tiesto	Wereycho.
tigre	Rulrul.
tigre gente	Juyenirulrul.
tiluchi	Titi:ti.
tinaja	Loto:ba.
tío	Ya:ya'.
típicamente de curi	Cha'di.
tipo de caña	Kaya:na.
tipoy	Chon'oj.
tirado o botado en el agua	Jara'loł.
tirar con buena puntería	Bisi'na.
tirarse al agua	Jara'lo:łe.
tirarse al agua	Manlo:łe.
tirarse o caerse al agua	Chosoma'ni.
tizón	Veba:kwa.
tobillo	Lotoba:kwi.
tocar algo	Otolna.
tocar instrumento	Ponot'.
tocar instrumento de viento	Javułna.
tocar una canción	(por ejemplo con guitarra) Pono:na.
tocar un instrumento	(por ejemplo el tambor) Bayna.
tocayo	Ełpanchi.
toda la noche	Al'imeł.
todas las veces	A:lalas.
todavía	Di:ra.
todavía	Mo.
todavía	Paspas.
todo	Pe'łełe.
todo completo	Ba:ra.
todo cortado	Tanka:ba.
todo el día	Pe'ye:mes.
todo mordido	(por ejemplo una fruta) Danka:ba.
tojo del grande	Jo:ri.
tojo del pequeño	Nunris.
toldo del carretón	Kamaro:te.
tomar beber	Ya:lo:we.
tomar café	Kapelo:ti'.
tomar chive preparado	Boya:lo.
tórax	Be'łała.
torcer algo	Damoyna.
torcer algo	Davulna.
torcerse	Ralcheł.
torcido	Salkacho.
tordo	Chi:ko'.
torrarse	Sedenni.
tortita de almidón de yuca	Mo'inchoba.
tortuga	So:no.
tos	Jo:wo.
toser	Jowo:kwa.
tostado	Deń'i.
tostar algo	Deńna.
tostar chive	Chawa:cho.
totachi	Tojtey.
totaí	Pu:rań.
totora	Pe:ra.
totora fina	Chukuwampa.
totora nudo ciega	Chompa.
trabajador	Tijkarimpa.
trabajar	Tijka:rim.
trabajar con una sola mano	Pasyiń.
trabajo	Tijkarimwa:nas.
trabajoso	Batejasra.
traer agua	Ja:mi.
traer algo	Jiwałe:na.
traer de vuelta	Salmołe:na.
traer el ganado	Ja:poy.
tragar	Kobe:łe.
tragar agua	Koka:mi.
tragar algo	Ko'na.
tragar algo pequeño	Koka:di.
tranquilidad	Jayawbaycho.
transparente	(por ejemplo el agua) I:lim.
trapo	Dońwanojbeń.
trasero	Kwanres.
traspasado	Dońpiń.
traspasar algo con algo punzante	Doka:piń.
trasplantar una planta	Dowajbojna.
traste	Dayajna.
trastes	Tijkaka:ra.
tratar a alguien mal con palabras groseras	Donkara:na.
tratarle	Lawajesna.
tratarle	Lawajesna.
travieso	Kwajtej.
traza de manechi	Judimlo:wes.
trazado	Sawi:pa.
trenzado	Samdinłew.
trenzar el pelo	Samadinłew.
trepador(a)	Welełpa.
trepar	Wele:łe.
trepar a un árbol o palo	Upa:vos.
tres	Tasra.
tribu desaparecida	Molo:we.
trinidad	Tirinra.
tripas	Chiraskwa.
tristeza	Da:yim.
tronar	Wurulcheł.
tronco	Bakwanłe:kwa.
tronco	Bobojkwa.
tronquito de árbol	Ko'ba:ri.
tropezarse	La'dimpoj.
truncar	Rujkapa:na.
tu	Ij.
tu	Ulkwań.
tucán	Wonowo'.
tucandera	Tu:we.
tucunaré	Bojkoń.
tuerto	Pascho:ra.
tuétano	Tava:lo.
tumbar algo de arriba	Loka:łe.
tumbar algo o a alguien	Łoka:poj.
tumbar árboles	Lata:boj.
tunante	Tolacho:pa.
tunar	Tola:cho.
tupido	Du:yuḿ.
turbarse	Sankapa:na.
turbio	Koybubu'.
turbión	Cheslo.
turo	(caracol del agua) Mejła.
turril	Turil.
tutuma	Sapa'mo.
tutumillo	Sapa'monana.
ubicarle un lugar a alguien	O:kawajna.
ubicar su lugar	O:kakawajcheł.
ubre de animal	Chajkwa.
ultrajarlo	Ke'a:ra.
una botella entera	Pe'bał.
una cosa	Sota'ra.
una cosa concluida	Joyra:ni.
una hora entera	Pe'o:ra.
una lágrima	Lodinkwa.
una noche con luna	Je:lew.
una sola persona	Soka'te.
una u otra persona	So:kate.
una vez	Sota'lo:maj.
un avión	Pencheł.
un montón	Sota'lo:ba.
uno	Sota'ra.
un poco más	Dochi'.
un racimo entero	Pe'pojeł.
untar	Jusna.
untar	Rińna.
uña del pie	Chorimpa.
uña del pie	Chorimpoj.
urucú	Chuchuchi.
usted	Ij.
usted	Ulkwań.
utensilios	Tijkaka:ra.
utensilios para guardar cosas	Amka:rim.
vaca	Wa:ka.
vaciar	Bońyełna.
vacío	Ama'kwa'a.
vagina	Ła:cho.
vaina	Dodo:kwa.
vaivenearse a causa de algo	Matoy'kałe:łe.
vaivennear	Matoy'kałe.
vale la pena	Wawalo:maj.
valiente	Da:rań.
vamonos	Jiyakweł.
vamos	Jiya.
vampiro	Wo'ray.
vapor	Ru:du.
vaquilla	Kaki:ya.
vara larga	Ku:ri:di.
varias cosas	Ta'ka:pa.
varilla cortita	Te:ridi.
varilla del mosquitero	Tu'chołwanri:di.
varita de madera	Kori:di.
varón	Alla:kwa.
vaso	Wa:so.
vaso	Ya:lowewamba:ni.
váyase	Jay'i.
vecino o compañero de vivienda	Asto'maj.
vejiga urinaria	Chojwamba.
vela	Ve'e:piń.
veloz	So:riń.
ven	Jela.
ven	Je'la.
venado	Poyyey.
venderlo	Rima:łe.
venga	Jela.
venga	Je'la.
vengarse	Bawpane:łe.
venidero	Telayni.
venir	Jiwa:wa.
venteador	Juḿwammo:ni.
venteando del sur	Kujuyti'.
ventear algo	Juḿna.
ventear algo	Kavujna.
ventilado	Kavu'ni.
ventón	(pez) Se:ya.
ver	Velna.
ver algo	Dewajna.
verano	Ewelwa:wa.
verdadero	Wawalo:maj.
verde	No'na.
vergonzoso	Chajanni.
verija	Pojsi.
ver las huellas de alguien o algo	De:wajna.
ver lo que alguien hace y no entenderlo	De:pa:na.
verter sangre	Chido:don.
vestimenta	Do'we.
vestimenta de las personas	Do'wewanra:ni.
vestirse	Do'we:cheł.
vete	Jay'i.
vi	(árbol) La:va.
viajar	Jo:be.
viajero	Jobewanne.
víbora	Mimi:di.
víbora yoperojobobo	Chondini:wa.
victima	Sanka:ye.
vida	Ite'niwa:nas.
vidrio	Todankwa.
viejito	Bito'.
viejo(a)	Bi:jaw.
viento	Powmuj.
viento del este	Jata'mu:muj.
viento del norte	Choymuj.
viento del oeste	Deke'mu:muj.
viento del sur	Kujuymuj.
viento fuerte	Dińmuj.
viento huracanado	Bubuyaka:pa.
vieras que estoy yeta	Je:ni.
vigilar a alguien	Pachołcha:ye.
violín	Pono:na.
viruela	Dorosba.
visible	Chondusłe.
visitar	Pa'kachołna.
visitar a alguien	Dulna.
visitar a personas	Dula:ye.
vistar a una mujer	Tola:cho.
viudo	Kayni:beł.
vivienda	Asna.
vivienda	Aswa:nas.
vivienda de la banda	Aldimmajye.
vivir juntos	Asu'tomajni.
vivir sufriendo	Łavo:ra.
volar	Javu:buḿ.
volcado	Jolkwa.
volcar	Paka:si.
volcarse	Pa'sine:łe.
