anaña, anakiña	<font color=red>CHP:</font> acjjz\n<font color=green>ESP:</font> arrear\n<font color=orange>ENG:</font> to herd
chulluchiña	<font color=red>CHP:</font> t'awanz = t'awunz\n<font color=green>ESP:</font> remojar\n<font color=orange>ENG:</font> to soak
jiwsuta, mujuchata	<font color=red>CHP:</font> t'awñi\n<font color=green>ESP:</font> marchitado\n<font color=orange>ENG:</font> wilted
chulluchiña	<font color=red>CHP:</font> t'awunz = t'awanz\n<font color=green>ESP:</font> remojar\n<font color=orange>ENG:</font> to soak
chulluchaña	<font color=red>CHP:</font> t'awz\n<font color=green>ESP:</font> regar, mojar\n<font color=orange>ENG:</font> to water, to wet
qasawiña	<font color=red>CHP:</font> t'awz\n<font color=green>ESP:</font> marchitarse\n<font color=orange>ENG:</font> to wither, to wilt
paltaqaña	<font color=red>CHP:</font> t'ecs\n<font color=green>ESP:</font> quitar peso de la carga\n<font color=orange>ENG:</font> to lighten weight of burden
p'isaqa	<font color=red>CHP:</font> t'ejjllu\n<font color=green>ESP:</font> perdiz\n<font color=orange>ENG:</font> partridge
t'axllu	<font color=red>CHP:</font> t'ejjllu\n<font color=green>ESP:</font> combinación de varios colores en llamas\n<font color=orange>ENG:</font> combination of various colors on llama
piris luraña	<font color=red>CHP:</font> t'etinz\n<font color=green>ESP:</font> represar agua\n<font color=orange>ENG:</font> to dam water
machayaña, umayaña	<font color=red>CHP:</font> t'etinz\n<font color=green>ESP:</font> obligar a tomar\n<font color=orange>ENG:</font> to make someone drink a lot
tinkuyaña	<font color=red>CHP:</font> t'ez\n<font color=green>ESP:</font> hacer caer\n<font color=orange>ENG:</font> to cause to fall
lanktayaña	<font color=red>CHP:</font> t'ezinz\n<font color=green>ESP:</font> hacer tropezar\n<font color=orange>ENG:</font> to cause to stumble
t'ikha	<font color=red>CHP:</font> t'icja\n<font color=green>ESP:</font> flor\n<font color=orange>ENG:</font> flower
t'ikha	<font color=red>CHP:</font> t'icja\n<font color=green>ESP:</font> adorno de lana para animales\n<font color=orange>ENG:</font> woolen adornment for animals
t'ik'anchaña	<font color=red>CHP:</font> t'icjachiz\n<font color=green>ESP:</font> adornar el cordón de mujeres con borla colorada\n<font color=orange>ENG:</font> to adorn women's belt with a colored tassel
usurkiptaña, walq'intayaña	<font color=red>CHP:</font> t'icz\n<font color=green>ESP:</font> embarazar\n<font color=orange>ENG:</font> to impregnate (persons)
alañkam mayiña	<font color=red>CHP:</font> t'ichanz\n<font color=green>ESP:</font> seguir pidiendo hasta que se lo vende\n<font color=orange>ENG:</font> to beg until someone sells
ñuñuyaña	<font color=red>CHP:</font> t'ichinz\n<font color=green>ESP:</font> hacer mamar a bebé/cría de otra\n<font color=orange>ENG:</font> to let nurse baby/offspring of another
q'ipiña	<font color=red>CHP:</font> t'impjiz\n<font color=green>ESP:</font> llevar en la espalda\n<font color=orange>ENG:</font> to carry on the back
tupusiña	<font color=red>CHP:</font> t'iraziz\n<font color=green>ESP:</font> economizar, ahorrar\n<font color=orange>ENG:</font> to economize, to save
jakt'ata	<font color=red>CHP:</font> t'iri\n<font color=green>ESP:</font> cicatriz\n<font color=orange>ENG:</font> scar
phiñasita	<font color=red>CHP:</font> t'irmu\n<font color=green>ESP:</font> resentido\n<font color=orange>ENG:</font> resentful
phiñtasiña, sintisiña	<font color=red>CHP:</font> t'irmuz\n<font color=green>ESP:</font> resentirse\n<font color=orange>ENG:</font> to resent
t'iriña	<font color=red>CHP:</font> t'irs\n<font color=green>ESP:</font> zurcir\n<font color=orange>ENG:</font> to darn
jaqchiya	<font color=red>CHP:</font> t'iscana\n<font color=green>ESP:</font> espantapájaros\n<font color=orange>ENG:</font> scarecrow
ñuñuyaña	<font color=red>CHP:</font> t'itz\n<font color=green>ESP:</font> amamantar\n<font color=orange>ENG:</font> to suckle, to nurse
k'ak'alli	<font color=red>CHP:</font> t'iwulla\n<font color=green>ESP:</font> rajaduras profundas en la piel\n<font color=orange>ENG:</font> deep cracks in skin
t'uxu	<font color=red>CHP:</font> t'ojjo = t'ojo = t'ojju = t'oju\n<font color=green>ESP:</font> hoyo, hueco vacío\n<font color=orange>ENG:</font> hole, hollow space
lisu	<font color=red>CHP:</font> t'ojjpi = t'ojpi\n<font color=green>ESP:</font> pícaro, molestoso, travieso\n<font color=orange>ENG:</font> roguish, annoying, mischievous
rawichuyiri	<font color=red>CHP:</font> t'ojjpiz = t'ojpiz\n<font color=green>ESP:</font> ser pícaro, ser molestoso, ser travieso\n<font color=orange>ENG:</font> to be roguish/annoying/mischievous
t'uxu t'uxu	<font color=red>CHP:</font> t'ojju = t'oju = t'ojjo = t'ojo\n<font color=green>ESP:</font> hoyo, hueco vacío\n<font color=orange>ENG:</font> hole, hollow space
phalt'jiña	<font color=red>CHP:</font> t'ojkz = t'okz\n<font color=green>ESP:</font> aplastar, oprimir\n<font color=orange>ENG:</font> to crush, to press
t'uxu	<font color=red>CHP:</font> t'ojo = t'ojjo = t'ojju = t'oju\n<font color=green>ESP:</font> hoyo, hueco vacío\n<font color=orange>ENG:</font> hole, hollow space
lisu	<font color=red>CHP:</font> t'ojpi = t'ojjpi\n<font color=green>ESP:</font> pícaro, molestoso, travieso\n<font color=orange>ENG:</font> roguish, annoying, mischievous
rawichuyiri	<font color=red>CHP:</font> t'ojpiz = t'ojjpiz\n<font color=green>ESP:</font> ser pícaro, ser molestoso, ser travieso\n<font color=orange>ENG:</font> to be roguish/annoying/mischievous
t'uxra	<font color=red>CHP:</font> t'ojra\n<font color=green>ESP:</font> color claro\n<font color=orange>ENG:</font> light color
sik'a qura	<font color=red>CHP:</font> t'ojt'ura\n<font color=green>ESP:</font> tipo de arbusto pequeño\n<font color=orange>ENG:</font> type of small bush
t'uxu t'uxu	<font color=red>CHP:</font> t'oju = t'ojju = t'ojjo = t'ojo\n<font color=green>ESP:</font> hoyo, hueco vacío\n<font color=orange>ENG:</font> hole, hollow space
phalt'jayaña	<font color=red>CHP:</font> t'oksnaquic̈ha = kuzquis t'okz\n<font color=green>ESP:</font> ordenar para aplastar\n<font color=orange>ENG:</font> to order to press
imantaña	<font color=red>CHP:</font> t'oksnaquic̈ha = kuzquis t'okz\n<font color=green>ESP:</font> guardar un secreto\n<font color=orange>ENG:</font> to keep a secret
ch'aktaña	<font color=red>CHP:</font> t'oktayz\n<font color=green>ESP:</font> coscachear, golpear\n<font color=orange>ENG:</font> to hit in the face, to beat
phalt'jiña	<font color=red>CHP:</font> t'okz = t'ojkz\n<font color=green>ESP:</font> aplastar, oprimir\n<font color=orange>ENG:</font> to crush, to press
jark'aña	<font color=red>CHP:</font> t'omz\n<font color=green>ESP:</font> protegerse\n<font color=orange>ENG:</font> to protect
t'unqura	<font color=red>CHP:</font> t'oncjura\n<font color=green>ESP:</font> laringe\n<font color=orange>ENG:</font> larynx
t'ukuña	<font color=red>CHP:</font> t'ucchi\n<font color=green>ESP:</font> tener un ataque\n<font color=orange>ENG:</font> to have an attack
sayaña	<font color=red>CHP:</font> t'uct'ucz\n<font color=green>ESP:</font> pararse al pasear\n<font color=orange>ENG:</font> to stop walking, to stand around
t'ukuri	<font color=red>CHP:</font> t'ucuri\n<font color=green>ESP:</font> persona que tiene ataque\n<font color=orange>ENG:</font> person who has an attack
t'ukuraña	<font color=red>CHP:</font> t'ucurz\n<font color=green>ESP:</font> admirar\n<font color=orange>ENG:</font> to admire
t'ukuña	<font color=red>CHP:</font> t'ucurz\n<font color=green>ESP:</font> inmovilizarse por susto\n<font color=orange>ENG:</font> to be paralyzed from fear
t'ukuña, amayuña	<font color=red>CHP:</font> t'ucz\n<font color=green>ESP:</font> pensar\n<font color=orange>ENG:</font> to think
aliq mä phiyasiña	<font color=red>CHP:</font> t'ujpz\n<font color=green>ESP:</font> cocinar sólo de una cosa\n<font color=orange>ENG:</font> to cook only one thing
jiq'icht'asiña	<font color=red>CHP:</font> t'ujtz\n<font color=green>ESP:</font> sahumar\n<font color=orange>ENG:</font> to burn incense
lak'ut ch'isiyaña	<font color=red>CHP:</font> t'ujunz\n<font color=green>ESP:</font> dolor al peinar/trenzar el pelo\n<font color=orange>ENG:</font> pain when combing/braiding hair
k'ayra	<font color=red>CHP:</font> t'uli\n<font color=green>ESP:</font> débil\n<font color=orange>ENG:</font> weak
kayu takt'ata, kayutakita	<font color=red>CHP:</font> t'ultiz\n<font color=green>ESP:</font> pisotear, dejar huellas\n<font color=orange>ENG:</font> to trample, to leave tracks
t'ullku	<font color=red>CHP:</font> t'ullcju\n<font color=green>ESP:</font> hilo muy torcelado\n<font color=orange>ENG:</font> thread well twisted
t'unqhuri, t'ullu	<font color=red>CHP:</font> t'ullu\n<font color=green>ESP:</font> nuez de Adán\n<font color=orange>ENG:</font> Adam's apple
t'iqi	<font color=red>CHP:</font> t'ullu\n<font color=green>ESP:</font> apretado\n<font color=orange>ENG:</font> tight
ancha t'iqi	<font color=red>CHP:</font> t'ullulla\n<font color=green>ESP:</font> muy apretado/ajustado\n<font color=orange>ENG:</font> very tight
t'una	<font color=red>CHP:</font> t'una\n<font color=green>ESP:</font> pedazo menudo\n<font color=orange>ENG:</font> little piece
t'unsuña, t'unayaña	<font color=red>CHP:</font> t'unz\n<font color=green>ESP:</font> quebrajar\n<font color=orange>ENG:</font> to crack, to break in pieces
pisiqtayaña	<font color=red>CHP:</font> t'upz\n<font color=green>ESP:</font> disminuir\n<font color=orange>ENG:</font> to diminish
chhixchinqayasiña	<font color=red>CHP:</font> t'uuz\n<font color=green>ESP:</font> adormecerse, congelarse\n<font color=orange>ENG:</font> to be asleep, to be frozen (leg, arm)
t'usu	<font color=red>CHP:</font> t'uzu = t'uz̈u\n<font color=green>ESP:</font> pantorrilla\n<font color=orange>ENG:</font> calf of leg
aruntaña	<font color=red>CHP:</font> tsaanz\n<font color=green>ESP:</font> saludar\n<font color=orange>ENG:</font> to greet, to salute
t'isnu	<font color=red>CHP:</font> tsaas koch\n<font color=green>ESP:</font> cordón para pantalón\n<font color=orange>ENG:</font> type of rope for pants
jaljtaña	<font color=red>CHP:</font> tsajjz\n<font color=green>ESP:</font> separar personas peleando\n<font color=orange>ENG:</font> to separate fighting persons
nina t'ijura	<font color=red>CHP:</font> tsajl tsajlñi = tsajr tsajrñi\n<font color=green>ESP:</font> chispas\n<font color=orange>ENG:</font> sparks
thuqhu	<font color=red>CHP:</font> tsajta\n<font color=green>ESP:</font> baile\n<font color=orange>ENG:</font> a dance
jaljata	<font color=red>CHP:</font> tsajtac̈ha\n<font color=green>ESP:</font> separado\n<font color=orange>ENG:</font> separated
thalsuña	<font color=red>CHP:</font> tsajts\n<font color=green>ESP:</font> sacudir\n<font color=orange>ENG:</font> to shake
thuqhuña	<font color=red>CHP:</font> tsajtz\n<font color=green>ESP:</font> bailar\n<font color=orange>ENG:</font> to dance
chakt'ayasiña, qult'ayasiña	<font color=red>CHP:</font> tsamz\n<font color=green>ESP:</font> atragantarse\n<font color=orange>ENG:</font> to choke
alliña, jimp'iña	<font color=red>CHP:</font> tsarins = tsjajwz\n<font color=green>ESP:</font> tostar\n<font color=orange>ENG:</font> to toast
jiwk'i	<font color=red>CHP:</font> tsars\n<font color=green>ESP:</font> olla para tostar\n<font color=orange>ENG:</font> pot for toasting
katusita, lakjatata	<font color=red>CHP:</font> tsarunchi\n<font color=green>ESP:</font> comida que se pega en la olla\n<font color=orange>ENG:</font> food that sticks to pan
thuqhupxam!	<font color=red>CHP:</font> tsata\n<font color=green>ESP:</font> ¡baile(n)!\n<font color=orange>ENG:</font> dance!
thuqhu	<font color=red>CHP:</font> tsati\n<font color=green>ESP:</font> un baile\n<font color=orange>ENG:</font> a dance
chhijchi	<font color=red>CHP:</font> tsawa\n<font color=green>ESP:</font> granizo\n<font color=orange>ENG:</font> hail
pata	<font color=red>CHP:</font> tseecu = tsewc\n<font color=green>ESP:</font> arriba, alto\n<font color=orange>ENG:</font> up, above, high
ayquña	<font color=red>CHP:</font> tsianz\n<font color=green>ESP:</font> gemir\n<font color=orange>ENG:</font> to moan
jark'aña	<font color=red>CHP:</font> tsitsinz\n<font color=green>ESP:</font> evitar, atajar\n<font color=orange>ENG:</font> to avoid, to halt
kurpu junt'utasiña	<font color=red>CHP:</font> tsiyanz\n<font color=green>ESP:</font> calentarse\n<font color=orange>ENG:</font> to warm oneself up
mä	<font color=red>CHP:</font> tsjaa\n<font color=green>ESP:</font> una (personas, animales)\n<font color=orange>ENG:</font> one (female persons and animals)
tukuña	<font color=red>CHP:</font> tsjacs\n<font color=green>ESP:</font> terminar la última fila (pared, tejido)\n<font color=orange>ENG:</font> to finish the last row (wall, weave)
wallqa	<font color=red>CHP:</font> tsjaja\n<font color=green>ESP:</font> collar pequeño\n<font color=orange>ENG:</font> small necklace
allita, jimp'i	<font color=red>CHP:</font> tsjajwi\n<font color=green>ESP:</font> tostado\n<font color=orange>ENG:</font> toasted
alliña, jimp'iña	<font color=red>CHP:</font> tsjajwz = tsarins\n<font color=green>ESP:</font> tostar\n<font color=orange>ENG:</font> to toast
mayüru	<font color=red>CHP:</font> tsjamajuñ\n<font color=green>ESP:</font> la otra vez\n<font color=orange>ENG:</font> the other time
juk'anti	<font color=red>CHP:</font> tsjan\n<font color=green>ESP:</font> mucho (más), muy\n<font color=orange>ENG:</font> a lot, very
juk'anti	<font color=red>CHP:</font> tsjan anacusa\n<font color=green>ESP:</font> peor\n<font color=orange>ENG:</font> worse
suma, kusa	<font color=red>CHP:</font> tsjan cusa\n<font color=green>ESP:</font> mejor\n<font color=orange>ENG:</font> better
sirasu	<font color=red>CHP:</font> tsjara\n<font color=green>ESP:</font> cedazo\n<font color=orange>ENG:</font> sieve
t'isnu	<font color=red>CHP:</font> tsjay chicha\n<font color=green>ESP:</font> cordón de faja\n<font color=orange>ENG:</font> cord used as belt
yapisa	<font color=red>CHP:</font> tsjayi\n<font color=green>ESP:</font> faja\n<font color=orange>ENG:</font> belt
thantharata	<font color=red>CHP:</font> tsjela\n<font color=green>ESP:</font> gastado\n<font color=orange>ENG:</font> worn-out
yaqha kasta	<font color=red>CHP:</font> tsjemata\n<font color=green>ESP:</font> otra clase, de otra manera\n<font color=orange>ENG:</font> different kind of, in a different way
t'irtaña	<font color=red>CHP:</font> tsjenz\n<font color=green>ESP:</font> separar hilos de tela para zurcir\n<font color=orange>ENG:</font> to separate threads of cloth to darn
ankuta	<font color=red>CHP:</font> tsjicja\n<font color=green>ESP:</font> camélido de un año\n<font color=orange>ENG:</font> one year old cameloid
maya	<font color=red>CHP:</font> tsjii\n<font color=green>ESP:</font> un, uno\n<font color=orange>ENG:</font> a, one (m.)
qhara, miryawara	<font color=red>CHP:</font> tsjii kjara = miria wara\n<font color=green>ESP:</font> medida del codo a la punta del dedo\n<font color=orange>ENG:</font> measurement from elbow to fingertip
mä uruna	<font color=red>CHP:</font> tsjii nooj wiruñ\n<font color=green>ESP:</font> un dia futuro\n<font color=orange>ENG:</font> a future day
wara	<font color=red>CHP:</font> tsjii wara\n<font color=green>ESP:</font> medida de la punta del dedo hasta la garganta\n<font color=orange>ENG:</font> measurement from fingertip to throat
mä taykan, mä awkin	<font color=red>CHP:</font> tsjiimati\n<font color=green>ESP:</font> hijos de una familia\n<font color=orange>ENG:</font> sons/daughters of one family
mayanti	<font color=red>CHP:</font> tsjiiz̈tan\n<font color=green>ESP:</font> otra vez\n<font color=orange>ENG:</font> again
yaqha	<font color=red>CHP:</font> tsjiiz̈uñ\n<font color=green>ESP:</font> la otra persona\n<font color=orange>ENG:</font> the other person
ch'aka	<font color=red>CHP:</font> tsjij = ch'acja\n<font color=green>ESP:</font> hueso\n<font color=orange>ENG:</font> bone
alman uta	<font color=red>CHP:</font> tsjij kjuya = almiz̈ kjuya\n<font color=green>ESP:</font> casa pequeña con huesos de difuntos\n<font color=orange>ENG:</font> little house with the bones of dead people, raised tomb
jaljtaña	<font color=red>CHP:</font> tsjijls\n<font color=green>ESP:</font> dividir, partir\n<font color=orange>ENG:</font> to divide, to split
chupiq phuyu	<font color=red>CHP:</font> tsjijps\n<font color=green>ESP:</font> pluma rojo en el sombrero\n<font color=orange>ENG:</font> red feather used during
warkhuña	<font color=red>CHP:</font> tsjijps\n<font color=green>ESP:</font> colgar\n<font color=orange>ENG:</font> to hang
warkhuntata	<font color=red>CHP:</font> tsjijpta\n<font color=green>ESP:</font> colgado\n<font color=orange>ENG:</font> hanging, hung
kumun yapu	<font color=red>CHP:</font> tsjijwi\n<font color=green>ESP:</font> (parcela de) sembradío colectivo/comunal\n<font color=orange>ENG:</font> (parcel of) land for communal planting
satañataki	<font color=red>CHP:</font> tsjijwi\n<font color=green>ESP:</font> cortado en oreja de animales; terreno para sembrar\n<font color=orange>ENG:</font> a slit/cut: like for a mark in the ear of ganado
khariña	<font color=red>CHP:</font> tsjijws\n<font color=green>ESP:</font> cortar en la mitad\n<font color=orange>ENG:</font> to cut in half
ch'iwjatata	<font color=red>CHP:</font> tsjir chjipic̈ha = tsjiri urpuc̈ha\n<font color=green>ESP:</font> cubierto con nubes\n<font color=orange>ENG:</font> covered with clouds
ch'iwi	<font color=red>CHP:</font> tsjiri\n<font color=green>ESP:</font> nube\n<font color=orange>ENG:</font> cloud
ch'iwjatata	<font color=red>CHP:</font> tsjiri urpuc̈ha = tsjir chjipic̈ha\n<font color=green>ESP:</font> cubierto con nubes\n<font color=orange>ENG:</font> covered with clouds
sartam!, saltam!	<font color=red>CHP:</font> tsjita\n<font color=green>ESP:</font> ¡levántate!, ¡retírate!\n<font color=orange>ENG:</font> get up!, go away!
tilata	<font color=red>CHP:</font> tsjiti\n<font color=green>ESP:</font> urdimbre\n<font color=orange>ENG:</font> warping, lengthwise threads for weaving
tansa	<font color=red>CHP:</font> tsjiti\n<font color=green>ESP:</font> estatura\n<font color=orange>ENG:</font> stature
sartaña	<font color=red>CHP:</font> tsjits\n<font color=green>ESP:</font> levantarse para irse\n<font color=orange>ENG:</font> to stand up to leave
p'uskachuyma	<font color=red>CHP:</font> tsjoma\n<font color=green>ESP:</font> pulpa\n<font color=orange>ENG:</font> pulp
ch'isi (ch'isiñji)	<font color=red>CHP:</font> tsjorchi\n<font color=green>ESP:</font> calmado (viento)\n<font color=orange>ENG:</font> calmed down (wind)
ch'isi	<font color=red>CHP:</font> tsjorz\n<font color=green>ESP:</font> calmar (viento)\n<font color=orange>ENG:</font> to calm (wind)
kullaka	<font color=red>CHP:</font> tsjun\n<font color=green>ESP:</font> cuñada\n<font color=orange>ENG:</font> sister-in-law
mosana	<font color=red>CHP:</font> tsjuñi\n<font color=green>ESP:</font> cuñado\n<font color=orange>ENG:</font> brother-in-law
ch'ara	<font color=red>CHP:</font> tsojk\n<font color=green>ESP:</font> negro\n<font color=orange>ENG:</font> black
jan sayt'asa	<font color=red>CHP:</font> tsomanchi\n<font color=green>ESP:</font> con persistencia, sin parar\n<font color=orange>ENG:</font> persistently, nonstop
tira atiña	<font color=red>CHP:</font> tsomanz\n<font color=green>ESP:</font> persistir\n<font color=orange>ENG:</font> to persist
ch'irmiña	<font color=red>CHP:</font> tsomsinz\n<font color=green>ESP:</font> guiñar\n<font color=orange>ENG:</font> to wink
ch'irmt'apiña	<font color=red>CHP:</font> tsomz\n<font color=green>ESP:</font> cerrar los ojos\n<font color=orange>ENG:</font> to close the eyes
sik'artuki	<font color=red>CHP:</font> tsorunchi\n<font color=green>ESP:</font> encogido\n<font color=orange>ENG:</font> shrunk
jalthaptayaña	<font color=red>CHP:</font> tsorunz\n<font color=green>ESP:</font> encoger, encogerse\n<font color=orange>ENG:</font> to shrink, to contract
jalthaptayasiña	<font color=red>CHP:</font> tsorunz\n<font color=green>ESP:</font> acalambrarse\n<font color=orange>ENG:</font> to get cramps
jalthapta	<font color=red>CHP:</font> tsoruñi\n<font color=green>ESP:</font> calambre\n<font color=orange>ENG:</font> cramp
sustjasiña	<font color=red>CHP:</font> tsucuñi\n<font color=green>ESP:</font> asustarse\n<font color=orange>ENG:</font> to be scared
mulla apaña, sustyasita	<font color=red>CHP:</font> tsucz\n<font color=green>ESP:</font> asustar\n<font color=orange>ENG:</font> to scare
wat'ataña	<font color=red>CHP:</font> tsutz\n<font color=green>ESP:</font> estirar las piernas\n<font color=orange>ENG:</font> to stretch ones legs
llupt'aña	<font color=red>CHP:</font> ts'ajcz\n<font color=green>ESP:</font> tapar hoyo\n<font color=orange>ENG:</font> to cover up a hole
lik'i chhuwa apaqaña	<font color=red>CHP:</font> ts'ijrs\n<font color=green>ESP:</font> pelar tripa de grasa\n<font color=orange>ENG:</font> to strip fat from intestines
phuqha	<font color=red>CHP:</font> ts'ina\n<font color=green>ESP:</font> lleno\n<font color=orange>ENG:</font> full - with solids
p'ispi	<font color=red>CHP:</font> ts'irka\n<font color=green>ESP:</font> pez sin escamas\n<font color=orange>ENG:</font> fish without scales
chiq sayt'ata	<font color=red>CHP:</font> ts'iru\n<font color=green>ESP:</font> firme y recto\n<font color=orange>ENG:</font> firm and straight
ch'isintiña	<font color=red>CHP:</font> ts'isintayz\n<font color=green>ESP:</font> hacer frío fuerte\n<font color=orange>ENG:</font> to be really cold
ancha ch'uñuri, ch'isiyiri	<font color=red>CHP:</font> ts'isiri\n<font color=green>ESP:</font> muy frío\n<font color=orange>ENG:</font> really cold
waña phuju	<font color=red>CHP:</font> ts'iyanz\n<font color=green>ESP:</font> sacar agua poco a poco de un pozo casi seco\n<font color=orange>ENG:</font> to take out water little by little from an almost dried up well
amparant lawa p'akiña	<font color=red>CHP:</font> ts'ojrz\n<font color=green>ESP:</font> quebrar leña con la mano\n<font color=orange>ENG:</font> to break firewood by hand
uraqir imantaña	<font color=red>CHP:</font> ucz\n<font color=green>ESP:</font> esconder en la tierra\n<font color=orange>ENG:</font> to hide in the ground
sinija	<font color=red>CHP:</font> uchju\n<font color=green>ESP:</font> fangoso\n<font color=orange>ENG:</font> muddy, miry
uchaña	<font color=red>CHP:</font> uchz\n<font color=green>ESP:</font> nombrar, poner, colocar\n<font color=orange>ENG:</font> to appoint, to place, to position
jiwasa	<font color=red>CHP:</font> uc̈hum\n<font color=green>ESP:</font> nosotros\n<font color=orange>ENG:</font> we
jiwasata	<font color=red>CHP:</font> uc̈humta\n<font color=green>ESP:</font> de nosotros\n<font color=orange>ENG:</font> ours
nina	<font color=red>CHP:</font> uj\n<font color=green>ESP:</font> fuego\n<font color=orange>ENG:</font> fire
jucha	<font color=red>CHP:</font> uj\n<font color=green>ESP:</font> pecado\n<font color=orange>ENG:</font> sin
juchhaña	<font color=red>CHP:</font> uj paaz\n<font color=green>ESP:</font> pecar\n<font color=orange>ENG:</font> to sin
p'asp'a	<font color=red>CHP:</font> ujchi\n<font color=green>ESP:</font> piel quemada/rajada/resecada\n<font color=orange>ENG:</font> burnt/cracked/dry skin
q'ichichi	<font color=red>CHP:</font> ujira\n<font color=green>ESP:</font> llorón, niño mimado\n<font color=orange>ENG:</font> crybaby, pampered child
nin lakt'aña	<font color=red>CHP:</font> ujjpekz\n<font color=green>ESP:</font> prender fuego\n<font color=orange>ENG:</font> to light a fire
axsayasiña	<font color=red>CHP:</font> ujps\n<font color=green>ESP:</font> asfixiarse, sofocarse\n<font color=orange>ENG:</font> to suffocate, to smother
qhatikipaña	<font color=red>CHP:</font> ujps\n<font color=green>ESP:</font> cocer al vapor, cocer en el horno\n<font color=orange>ENG:</font> to cook with steam, to cook in oven
urkhu	<font color=red>CHP:</font> ujrcju\n<font color=green>ESP:</font> vestido de mujeres\n<font color=orange>ENG:</font> women's dress
ayquña	<font color=red>CHP:</font> ujrz\n<font color=green>ESP:</font> gemir de pena/después de llanto\n<font color=orange>ENG:</font> to moan from sorrow/after crying
laksuña, lakhaña	<font color=red>CHP:</font> ujs\n<font color=green>ESP:</font> quemar\n<font color=orange>ENG:</font> to burn
laqaya	<font color=red>CHP:</font> ujtjiri\n<font color=green>ESP:</font> ruina, casa abandonada y sin techo\n<font color=orange>ENG:</font> ruin; abandoned, roofless house
nina nina	<font color=red>CHP:</font> ujujñi\n<font color=green>ESP:</font> avispa comearaña\n<font color=orange>ENG:</font> wasp that eats spiders
wawachiña, mistuña	<font color=red>CHP:</font> ulans = ulanz\n<font color=green>ESP:</font> nacer, salir\n<font color=orange>ENG:</font> to be born, to come out
ullpu	<font color=red>CHP:</font> ulpita = ullpita\n<font color=green>ESP:</font> refresco de pito\n<font color=orange>ENG:</font> type of refreshment from grains
chiqapini	<font color=red>CHP:</font> ultimu\n<font color=green>ESP:</font> es cierto, en serio\n<font color=orange>ENG:</font> certainly, truly
jiq'intata	<font color=red>CHP:</font> ulurusu\n<font color=green>ESP:</font> oloroso\n<font color=orange>ENG:</font> good-smelling, perfumed
kanka	<font color=red>CHP:</font> ulla\n<font color=green>ESP:</font> pura carne asada\n<font color=orange>ENG:</font> only roasted meat
aycha, juchha	<font color=red>CHP:</font> ulljiña\n<font color=green>ESP:</font> sopa de carne, caldo\n<font color=orange>ENG:</font> broth of meat
ullpu	<font color=red>CHP:</font> ullpita = ulpita\n<font color=green>ESP:</font> refresco de pito\n<font color=orange>ENG:</font> type of refreshment from grains
aycha wallxtaña	<font color=red>CHP:</font> ullz\n<font color=green>ESP:</font> hervir carne\n<font color=orange>ENG:</font> to boil meat
p'anta, inkuña	<font color=red>CHP:</font> uncuña\n<font color=green>ESP:</font> velo\n<font color=orange>ENG:</font> veil
unt'u	<font color=red>CHP:</font> untju\n<font color=green>ESP:</font> grasa del estómago/vientre\n<font color=orange>ENG:</font> fat from stomach/belly
minusa, juk'a	<font color=red>CHP:</font> upa\n<font color=green>ESP:</font> menos\n<font color=orange>ENG:</font> less
p'up'a, amuli, amutu	<font color=red>CHP:</font> upa\n<font color=green>ESP:</font> mudo\n<font color=orange>ENG:</font> mute
qhinqhuña	<font color=red>CHP:</font> upa kuz\n<font color=green>ESP:</font> desanimado, afligido\n<font color=orange>ENG:</font> discouraged, distressed
anchhichha	<font color=red>CHP:</font> upacjiz̈tan\n<font color=green>ESP:</font> en un rato, más después\n<font color=orange>ENG:</font> in a little while, later
ipala, laqusi	<font color=red>CHP:</font> upla = upli\n<font color=green>ESP:</font> tía (hermana del padre)\n<font color=orange>ENG:</font> aunt (father's sister)
laqusi	<font color=red>CHP:</font> uplalla\n<font color=green>ESP:</font> saludo a tía (hermana del padre)\n<font color=orange>ENG:</font> greeting to aunt (father's sister)
ipala, laqusi	<font color=red>CHP:</font> upli = upla\n<font color=green>ESP:</font> tía (hermana del padre)\n<font color=orange>ENG:</font> aunt (father's sister)
janjiktiri, janatjiri	<font color=red>CHP:</font> upsi\n<font color=green>ESP:</font> no alcanzador, insuficiente\n<font color=orange>ENG:</font> insufficient
sik'anchata sapaki	<font color=red>CHP:</font> urawaz\n<font color=green>ESP:</font> sentirse solo\n<font color=orange>ENG:</font> to feel lonely
apura	<font color=red>CHP:</font> uri\n<font color=green>ESP:</font> rápido\n<font color=orange>ENG:</font> quick, fast
taqi kunani	<font color=red>CHP:</font> urichiz\n<font color=green>ESP:</font> persona que ha realizado muchas obras\n<font color=orange>ENG:</font> person who has accomplished a lot of things
urt'a	<font color=red>CHP:</font> urt'a\n<font color=green>ESP:</font> luna nueva, día de mala suerte\n<font color=orange>ENG:</font> new moon, bad luck day
uruchayiri	<font color=red>CHP:</font> uruntini\n<font color=green>ESP:</font> pasante\n<font color=orange>ENG:</font> person who organizes a religious festival
phunchaw wakt'ayaña	<font color=red>CHP:</font> uruntiz\n<font color=green>ESP:</font> organizar fiesta ceremonial\n<font color=orange>ENG:</font> to organize a ceremonial festival
sapa kutimanq'aña	<font color=red>CHP:</font> uruquipz\n<font color=green>ESP:</font> comer colectivamente para buena suerte\n<font color=orange>ENG:</font> to eat collectively for good luck
