anaña, anakiña	<font color=red>CHP:</font> acjjz\n<font color=#2E8B57>ESP:</font> arrear\n<font color=#FF8C00>ENG:</font> to herd
qhantati	<font color=red>CHP:</font> wentan\n<font color=#2E8B57>ESP:</font> al amanecer\n<font color=#FF8C00>ENG:</font> at dawn
arama	<font color=red>CHP:</font> wenz\n<font color=#2E8B57>ESP:</font> en la mañana\n<font color=#FF8C00>ENG:</font> in the morning
chiqapini	<font color=red>CHP:</font> werara\n<font color=#2E8B57>ESP:</font> verdad, de verdad, seguro\n<font color=#FF8C00>ENG:</font> truth, truly, certainly
jani sum luraña, pisik yapaphthapiña	<font color=red>CHP:</font> wetz\n<font color=#2E8B57>ESP:</font> no cosechar bien\n<font color=#FF8C00>ENG:</font> to harvest poorly
jawillt'aña	<font color=red>CHP:</font> wewcz\n<font color=#2E8B57>ESP:</font> moverse, flamear (bandera)\n<font color=#FF8C00>ENG:</font> to wave, to flap (flag)
jamach'inaka	<font color=red>CHP:</font> wez̈la\n<font color=#2E8B57>ESP:</font> pájaro, ave\n<font color=#FF8C00>ENG:</font> bird
ik ch'utunkiña	<font color=red>CHP:</font> wicalz = tjajjipicalz\n<font color=#2E8B57>ESP:</font> bambalearse la cabeza de sueño\n<font color=#FF8C00>ENG:</font> to nod the head with  sleep
wik'u	<font color=red>CHP:</font> wicu\n<font color=#2E8B57>ESP:</font> medida del pulgar al índice\n<font color=#FF8C00>ENG:</font> measurement from thumb to index finger
pampatataña	<font color=red>CHP:</font> wichans\n<font color=#2E8B57>ESP:</font> dispersar, esparcir\n<font color=#FF8C00>ENG:</font> to disperse, to scatter
wich'u	<font color=red>CHP:</font> wich'u\n<font color=#2E8B57>ESP:</font> hueso del antebrazo (pers.)/de la pierna (animales)\n<font color=#FF8C00>ENG:</font> bone of forearm (persons)/of lower leg (animals)
wijiña	<font color=red>CHP:</font> wijiña\n<font color=#2E8B57>ESP:</font> balsa cavada\n<font color=#FF8C00>ENG:</font> man-made pool
qhiri	<font color=red>CHP:</font> wijt\n<font color=#2E8B57>ESP:</font> fogón\n<font color=#FF8C00>ENG:</font> stove
aptapita	<font color=red>CHP:</font> wijta\n<font color=#2E8B57>ESP:</font> líquidos mezclados\n<font color=#FF8C00>ENG:</font> mixed liquids
phuqhantata	<font color=red>CHP:</font> wijz\n<font color=#2E8B57>ESP:</font> llenar con líquido\n<font color=#FF8C00>ENG:</font> to fill with liquid
jiwatar iñasiña	<font color=red>CHP:</font> wila\n<font color=#2E8B57>ESP:</font> vigilia\n<font color=#FF8C00>ENG:</font> watch, vigil
uja wilanchañataki	<font color=red>CHP:</font> wilana\n<font color=#2E8B57>ESP:</font> animal para sacrificar\n<font color=#FF8C00>ENG:</font> animal set apart for sacrifice
wilancha	<font color=red>CHP:</font> wilancha\n<font color=#2E8B57>ESP:</font> sangre del animal sacrificado\n<font color=#FF8C00>ENG:</font> blood of sacrificed animal
injasiña	<font color=red>CHP:</font> wils = wilz\n<font color=#2E8B57>ESP:</font> vigilar, velar\n<font color=#FF8C00>ENG:</font> to keep watch over
jawsaña	<font color=red>CHP:</font> wils = wilz\n<font color=#2E8B57>ESP:</font> llamar con la mano\n<font color=#FF8C00>ENG:</font> to call with the hand
mayanti	<font color=red>CHP:</font> wilta\n<font color=#2E8B57>ESP:</font> otra vez\n<font color=#FF8C00>ENG:</font> again
thijraña	<font color=red>CHP:</font> wiltiz\n<font color=#2E8B57>ESP:</font> revolver, dar vueltas, girar\n<font color=#FF8C00>ENG:</font> to turn around, to rotate, to twirl
iñjasiña	<font color=red>CHP:</font> wilz = wils\n<font color=#2E8B57>ESP:</font> vigilar, velar\n<font color=#FF8C00>ENG:</font> to keep watch over
jawsaña	<font color=red>CHP:</font> wilz = wils\n<font color=#2E8B57>ESP:</font> llamar con la mano\n<font color=#FF8C00>ENG:</font> to call with the hand
willkaparu	<font color=red>CHP:</font> willcaparu\n<font color=#2E8B57>ESP:</font> variedad de maíz gris\n<font color=#FF8C00>ENG:</font> type of gray corn
willi, katuri, challwa	<font color=red>CHP:</font> willi\n<font color=#2E8B57>ESP:</font> cazador, pescador, Uru\n<font color=#FF8C00>ENG:</font> hunter, fisherman, Uru
wujanta	<font color=red>CHP:</font> winta\n<font color=#2E8B57>ESP:</font> bufanda\n<font color=#FF8C00>ENG:</font> scarf
wintana, t'uqu	<font color=red>CHP:</font> wintana\n<font color=#2E8B57>ESP:</font> ventana\n<font color=#FF8C00>ENG:</font> window
wintana	<font color=red>CHP:</font> wintana\n<font color=#2E8B57>ESP:</font> marca en la oreja de ganado\n<font color=#FF8C00>ENG:</font> mark on ear of cattle (to denote ownership)
wich'uña	<font color=red>CHP:</font> wiña\n<font color=#2E8B57>ESP:</font> hueso para ceñir tramas del tejido\n<font color=#FF8C00>ENG:</font> bone to tighten weft of weaving
mitapura	<font color=red>CHP:</font> wiña\n<font color=#2E8B57>ESP:</font> persona de la misma edad\n<font color=#FF8C00>ENG:</font> person of the same age
wira, janiwiras	<font color=red>CHP:</font> wira\n<font color=#2E8B57>ESP:</font> clamor de pena\n<font color=#FF8C00>ENG:</font> yelp of pain
jani wiras, jani piniw wiras, wirasa	<font color=red>CHP:</font> wira\n<font color=#2E8B57>ESP:</font> nunca\n<font color=#FF8C00>ENG:</font> never
janiwiras	<font color=red>CHP:</font> wiraz\n<font color=#2E8B57>ESP:</font> nunca\n<font color=#FF8C00>ENG:</font> never
ch'ina	<font color=red>CHP:</font> wiri\n<font color=#2E8B57>ESP:</font> trasero\n<font color=#FF8C00>ENG:</font> buttocks
qhipa	<font color=red>CHP:</font> wiri = wirquiz\n<font color=#2E8B57>ESP:</font> atrás de\n<font color=#FF8C00>ENG:</font> behind, out back
yaqhatata	<font color=red>CHP:</font> wiri ejp\n<font color=#2E8B57>ESP:</font> padrastro\n<font color=#FF8C00>ENG:</font> stepfather
yaqhamama	<font color=red>CHP:</font> wiri maa\n<font color=#2E8B57>ESP:</font> madrastra\n<font color=#FF8C00>ENG:</font> stepmother
qhipana	<font color=red>CHP:</font> wirquiz\n<font color=#2E8B57>ESP:</font> atrás de\n<font color=#FF8C00>ENG:</font> behind
wirsu	<font color=red>CHP:</font> wirsu\n<font color=#2E8B57>ESP:</font> canción, verso\n<font color=#FF8C00>ENG:</font> song, verse
ukata	<font color=red>CHP:</font> wiruñ\n<font color=#2E8B57>ESP:</font> más tarde, después\n<font color=#FF8C00>ENG:</font> later, afterwards
sapallaki	<font color=red>CHP:</font> wirwirz\n<font color=#2E8B57>ESP:</font> vivir solo y apenado\n<font color=#FF8C00>ENG:</font> to live alone and in grieve
masanu	<font color=red>CHP:</font> wisi\n<font color=#2E8B57>ESP:</font> cuñado\n<font color=#FF8C00>ENG:</font> brother-in-law
willikipaña	<font color=red>CHP:</font> witchz\n<font color=#2E8B57>ESP:</font> derramar tirando\n<font color=#FF8C00>ENG:</font> to spread by throwing
phukhu qhirir uchaña	<font color=red>CHP:</font> wits\n<font color=#2E8B57>ESP:</font> poner olla en fogón\n<font color=#FF8C00>ENG:</font> to put kettle on the stove
willikipaña	<font color=red>CHP:</font> witz\n<font color=#2E8B57>ESP:</font> caer al suelo (sólido)\n<font color=#FF8C00>ENG:</font> to fall to the floor
wali, sanu	<font color=red>CHP:</font> wiwu\n<font color=#2E8B57>ESP:</font> vivo, sano\n<font color=#FF8C00>ENG:</font> well, lively, healthy
samka, iki	<font color=red>CHP:</font> wiya\n<font color=#2E8B57>ESP:</font> sueño\n<font color=#FF8C00>ENG:</font> dream
saraña	<font color=red>CHP:</font> wiyaja\n<font color=#2E8B57>ESP:</font> viaje\n<font color=#FF8C00>ENG:</font> journey, trip
jaqi chaqhatanti musposiña	<font color=red>CHP:</font> wiyz\n<font color=#2E8B57>ESP:</font> soñar con personas muertas\n<font color=#FF8C00>ENG:</font> to dream of dead people
jiwxasan janipiniw, samkana iñstjamati	<font color=red>CHP:</font> wiyz\n<font color=#2E8B57>ESP:</font> decir (un moribundo) que no va a aparacer en sueños\n<font color=#FF8C00>ENG:</font> to promise (dying person) not to appear in dreams
wallqipu, wistalla	<font color=red>CHP:</font> wiz̈talla\n<font color=#2E8B57>ESP:</font> chuspa\n<font color=#FF8C00>ENG:</font> bag, purse
p'akjaña	<font color=red>CHP:</font> wjajrz\n<font color=#2E8B57>ESP:</font> romper\n<font color=#FF8C00>ENG:</font> to tear, to break
jawq'aña	<font color=red>CHP:</font> wjajtz\n<font color=#2E8B57>ESP:</font> pegar, chicotear, golpear\n<font color=#FF8C00>ENG:</font> to hit, to whip, to beat
kalink jawq'aña	<font color=red>CHP:</font> wjajtz\n<font color=#2E8B57>ESP:</font> tocar campana\n<font color=#FF8C00>ENG:</font> to ring a bell
suwukipaña	<font color=red>CHP:</font> wjajtz\n<font color=#2E8B57>ESP:</font> coser el borde del tejido\n<font color=#FF8C00>ENG:</font> to sew the border of fabric
quñart'aña	<font color=red>CHP:</font> wjijllz = pjijllz\n<font color=#2E8B57>ESP:</font> suavizar lana para hilar\n<font color=#FF8C00>ENG:</font> to pull apart matted, crude wool to spin
wislla	<font color=red>CHP:</font> wjijzlla\n<font color=#2E8B57>ESP:</font> cuchara\n<font color=#FF8C00>ENG:</font> spoon
iyaw	<font color=red>CHP:</font> ya\n<font color=#2E8B57>ESP:</font> sí\n<font color=#FF8C00>ENG:</font> yes
winantaña	<font color=red>CHP:</font> yaaz\n<font color=#2E8B57>ESP:</font> llenar bolsas\n<font color=#FF8C00>ENG:</font> to fill up sacks
yaka yaka, uuthu	<font color=red>CHP:</font> yaca yaca\n<font color=#2E8B57>ESP:</font> Yaca yaca (ave)\n<font color=#FF8C00>ENG:</font> Andean Flicker (bird)
jayu	<font color=red>CHP:</font> yacu\n<font color=#2E8B57>ESP:</font> sal\n<font color=#FF8C00>ENG:</font> salt
juk'alla	<font color=red>CHP:</font> yachalla\n<font color=#2E8B57>ESP:</font> poco\n<font color=#FF8C00>ENG:</font> a bit, a little
aysaña	<font color=red>CHP:</font> yajcz\n<font color=#2E8B57>ESP:</font> abrir la boca\n<font color=#FF8C00>ENG:</font> to open the mouth
winkt'ayaña	<font color=red>CHP:</font> yajcz\n<font color=#2E8B57>ESP:</font> extender a un muerto\n<font color=#FF8C00>ENG:</font> to stretch out a dead person
pisaña	<font color=red>CHP:</font> yajcz\n<font color=#2E8B57>ESP:</font> pesar\n<font color=#FF8C00>ENG:</font> to weigh
tiraña	<font color=red>CHP:</font> yajcz\n<font color=#2E8B57>ESP:</font> jalar\n<font color=#FF8C00>ENG:</font> to pull
tawaqunt parlaña	<font color=red>CHP:</font> yajcz\n<font color=#2E8B57>ESP:</font> hacer señas para cortejar\n<font color=#FF8C00>ENG:</font> to court
tiraña	<font color=red>CHP:</font> yajczinz\n<font color=#2E8B57>ESP:</font> postergar\n<font color=#FF8C00>ENG:</font> to postpone
jiyt'as makhat yanapt'aña	<font color=red>CHP:</font> yajczinz\n<font color=#2E8B57>ESP:</font> ayudar a pesar/jalar/estirar\n<font color=#FF8C00>ENG:</font> to help weigh/pull/stretch
liwaña	<font color=red>CHP:</font> yajkz = yakz = yekz = yejkz\n<font color=#2E8B57>ESP:</font> servir comida\n<font color=#FF8C00>ENG:</font> to serve food
yaq'a yaq'a	<font color=red>CHP:</font> yak'achjuncja = yek'achjuncja\n<font color=#2E8B57>ESP:</font> alacrán\n<font color=#FF8C00>ENG:</font> scorpion
yaq'a t'ama	<font color=red>CHP:</font> yak'atama = yek'atama\n<font color=#2E8B57>ESP:</font> orín fermentado\n<font color=#FF8C00>ENG:</font> fermented urine
usu	<font color=red>CHP:</font> yak'at'atchi = yek'at'atchi\n<font color=#2E8B57>ESP:</font> obstrucción en los conductos orinales (enfermedad)\n<font color=#FF8C00>ENG:</font> obstruction in urinal ducts (illness)
yaqha	<font color=red>CHP:</font> yakja = yekja\n<font color=#2E8B57>ESP:</font> otro\n<font color=#FF8C00>ENG:</font> another
yaqhapa, yaqhipa	<font color=red>CHP:</font> yakjapa = yekjapa\n<font color=#2E8B57>ESP:</font> algunos\n<font color=#FF8C00>ENG:</font> some
liwaña	<font color=red>CHP:</font> yakz = yajkz = yekz = yejkz\n<font color=#2E8B57>ESP:</font> servir comida\n<font color=#FF8C00>ENG:</font> to serve food
yanapaña, yanapt'aña	<font color=red>CHP:</font> yanapt'iz = yanapz = nanapz\n<font color=#2E8B57>ESP:</font> ayudar\n<font color=#FF8C00>ENG:</font> to help
yanapaña, yanapt'aña	<font color=red>CHP:</font> yanapz = nanapz = yanapt'iz\n<font color=#2E8B57>ESP:</font> ayudar\n<font color=#FF8C00>ENG:</font> to help
saxra, supaya, ñanqha	<font color=red>CHP:</font> yankja = yenkja = sajjra\n<font color=#2E8B57>ESP:</font> diablo, demonio, malo\n<font color=#FF8C00>ENG:</font> devil, demon, evil
ñanqha qulla	<font color=red>CHP:</font> yankjakulla = yenkjakulla\n<font color=#2E8B57>ESP:</font> medicina contra malos espíritus\n<font color=#FF8C00>ENG:</font> medicine against evil spirits
yant'aña	<font color=red>CHP:</font> yans\n<font color=#2E8B57>ESP:</font> probar si funciona\n<font color=#FF8C00>ENG:</font> to test if it works
ch'aqtaña, liwintaña, yanant'aña	<font color=red>CHP:</font> yanzinz\n<font color=#2E8B57>ESP:</font> tirar boleadoras\n<font color=#FF8C00>ENG:</font> to throw bolas
yapaña	<font color=red>CHP:</font> yapanz = yapz\n<font color=#2E8B57>ESP:</font> aumentar, dar como extra\n<font color=#FF8C00>ENG:</font> to give a little extra
yapintam muruq'u	<font color=red>CHP:</font> yapinta morok'o\n<font color=#2E8B57>ESP:</font> algo que se dice de broma\n<font color=#FF8C00>ENG:</font> something they say in joking
yapintaña	<font color=red>CHP:</font> yapinta morok'o\n<font color=#2E8B57>ESP:</font> algo que se dice para agarrar aves con bolas\n<font color=#FF8C00>ENG:</font> something one says to catch birds with bolas
yapaña	<font color=red>CHP:</font> yapz = yapanz\n<font color=#2E8B57>ESP:</font> aumentar, dar como extra\n<font color=#FF8C00>ENG:</font> to give a little extra
yarita	<font color=red>CHP:</font> yarita\n<font color=#2E8B57>ESP:</font> yareta (planta medicinal)\n<font color=#FF8C00>ENG:</font> medicinal plant
yatiqaña	<font color=red>CHP:</font> yatekz\n<font color=#2E8B57>ESP:</font> aprender\n<font color=#FF8C00>ENG:</font> to learn
wasa	<font color=red>CHP:</font> yaticha\n<font color=#2E8B57>ESP:</font> animal nuevo no acostumbrado al rebaño\n<font color=#FF8C00>ENG:</font> new addition to the flock that is not yet accustomed
arjasiña, kuñtu q'ipiña	<font color=red>CHP:</font> yatiiñi = quint'iñi\n<font color=#2E8B57>ESP:</font> chismear\n<font color=#FF8C00>ENG:</font> to gossip
yatiyaña	<font color=red>CHP:</font> yatiiz\n<font color=#2E8B57>ESP:</font> avisar\n<font color=#FF8C00>ENG:</font> to inform, to warn
yatiri	<font color=red>CHP:</font> yatiri\n<font color=#2E8B57>ESP:</font> chamán, hechicero\n<font color=#FF8C00>ENG:</font> sorcerer, diviner
yatisini (ukana)	<font color=red>CHP:</font> yatisins\n<font color=#2E8B57>ESP:</font> ¡ahí se sabrá!\n<font color=#FF8C00>ENG:</font> now we know!
yatintasiña	<font color=red>CHP:</font> yat'iz\n<font color=#2E8B57>ESP:</font> acostumbrarse (animales)\n<font color=#FF8C00>ENG:</font> to get accustomed (animals)
yatintaña	<font color=red>CHP:</font> yatjatz\n<font color=#2E8B57>ESP:</font> acostumbrarse al nuevo rebaño\n<font color=#FF8C00>ENG:</font> to get accustomed to new flock
yatjataña, yatxataña	<font color=red>CHP:</font> yatjjatz\n<font color=#2E8B57>ESP:</font> consultar al yatiri\n<font color=#FF8C00>ENG:</font> to consult a sorcerer/diviner
yaw	<font color=red>CHP:</font> yaw\n<font color=#2E8B57>ESP:</font> ¡oye!\n<font color=#FF8C00>ENG:</font> listen!, look here!
latxataña	<font color=red>CHP:</font> yawz\n<font color=#2E8B57>ESP:</font> montar, subir\n<font color=#FF8C00>ENG:</font> to get on, to climb
liwaña	<font color=red>CHP:</font> yejkz = yekz = yakz = yajkz\n<font color=#2E8B57>ESP:</font> servir comida\n<font color=#FF8C00>ENG:</font> to serve food
yaq'a yaq'a	<font color=red>CHP:</font> yek'achjuncja = yak'achjuncja\n<font color=#2E8B57>ESP:</font> alacrán\n<font color=#FF8C00>ENG:</font> scorpion
usuntaña	<font color=red>CHP:</font> yek'at'acz\n<font color=#2E8B57>ESP:</font> tener obstrucción en los conductos orinales (enfermedad)\n<font color=#FF8C00>ENG:</font> to have an obstruction in urinal ducts (illness)
yaq'a t'ama	<font color=red>CHP:</font> yek'atama = yak'atama\n<font color=#2E8B57>ESP:</font> orín fermentado\n<font color=#FF8C00>ENG:</font> fermented urine
usu	<font color=red>CHP:</font> yek'at'atchi = yak'at'atchi\n<font color=#2E8B57>ESP:</font> obstrucción en los conductos orinales (enfermedad)\n<font color=#FF8C00>ENG:</font> obstruction in urinal ducts (illness)
yaqha	<font color=red>CHP:</font> yekja = yakja\n<font color=#2E8B57>ESP:</font> otro\n<font color=#FF8C00>ENG:</font> another
yaqhapa, yaqhipa	<font color=red>CHP:</font> yekjapa = yakjapa\n<font color=#2E8B57>ESP:</font> algunos\n<font color=#FF8C00>ENG:</font> some
liwaña	<font color=red>CHP:</font> yekz = yejkz = yakz = yajkz\n<font color=#2E8B57>ESP:</font> servir comida\n<font color=#FF8C00>ENG:</font> to serve food
usu katuña	<font color=red>CHP:</font> yenjt'iz = yenjst'iz\n<font color=#2E8B57>ESP:</font> enfermarse gravemente\n<font color=#FF8C00>ENG:</font> to be seriously ill
saxra, supaya, ñanqha	<font color=red>CHP:</font> yenkja = yankja = sajjra\n<font color=#2E8B57>ESP:</font> diablo, demonio, malo\n<font color=#FF8C00>ENG:</font> devil, demon, evil
ñanqha qulla	<font color=red>CHP:</font> yenkjakulla = yankjakulla\n<font color=#2E8B57>ESP:</font> medicina contra malos espíritus\n<font color=#FF8C00>ENG:</font> medicine against evil spirits
uraqi	<font color=red>CHP:</font> yoka\n<font color=#2E8B57>ESP:</font> suelo, tierra\n<font color=#FF8C00>ENG:</font> floor, soil, ground, land
pantjasina (almanti)	<font color=red>CHP:</font> yoka chjuuskatz = yoka tjeps\n<font color=#2E8B57>ESP:</font> confundirse de dirección\n<font color=#FF8C00>ENG:</font> to go in the wrong direction
chacha	<font color=red>CHP:</font> yokalla\n<font color=#2E8B57>ESP:</font> hombre, varón\n<font color=#FF8C00>ENG:</font> male
k'uytu, laq'at laq'u	<font color=red>CHP:</font> yoksami\n<font color=#2E8B57>ESP:</font> tipo de insecto de la tierra muy pequeño\n<font color=#FF8C00>ENG:</font> kind of tiny insect
yusa	<font color=red>CHP:</font> yooz\n<font color=#2E8B57>ESP:</font> Dios\n<font color=#FF8C00>ENG:</font> God
walja, ancha	<font color=red>CHP:</font> yucju = yujcpacha\n<font color=#2E8B57>ESP:</font> mucho (productos)\n<font color=#FF8C00>ENG:</font> a lot of (products)
k'uttaniña	<font color=red>CHP:</font> yucunz\n<font color=#2E8B57>ESP:</font> regresar por el mismo camino\n<font color=#FF8C00>ENG:</font> to return by the same road
chhuqtaña	<font color=red>CHP:</font> yuczinz\n<font color=#2E8B57>ESP:</font> apuntar\n<font color=#FF8C00>ENG:</font> to aim, to point
innaqa	<font color=red>CHP:</font> yujc\n<font color=#2E8B57>ESP:</font> cara\n<font color=#FF8C00>ENG:</font> face
anuna	<font color=red>CHP:</font> yujc p'uzko\n<font color=#2E8B57>ESP:</font> mejilla\n<font color=#FF8C00>ENG:</font> cheek
walja, ancha	<font color=red>CHP:</font> yujcpacha = yucju\n<font color=#2E8B57>ESP:</font> mucho (productos)\n<font color=#FF8C00>ENG:</font> a lot of (products)
layxa	<font color=red>CHP:</font> yujcquiz\n<font color=#2E8B57>ESP:</font> en frente de, delante de (personas)\n<font color=#FF8C00>ENG:</font> in front of (persons)
ukhampiniwa	<font color=red>CHP:</font> yuurñi\n<font color=#2E8B57>ESP:</font> comportamiento permanente, costumbre\n<font color=#FF8C00>ENG:</font> permanent behavior, custom
yatintaña	<font color=red>CHP:</font> yuurz\n<font color=#2E8B57>ESP:</font> comportarse bien, acostumbrarse\n<font color=#FF8C00>ENG:</font> to behave well, to get used to
muyruntaña	<font color=red>CHP:</font> yuuz\n<font color=#2E8B57>ESP:</font> volar en círculos\n<font color=#FF8C00>ENG:</font> to fly in circles
jani ma makhikipaña	<font color=red>CHP:</font> yuwanz\n<font color=#2E8B57>ESP:</font> no poder pasar un obstáculo\n<font color=#FF8C00>ENG:</font> to be unable to pass an obstacle
kikjpa	<font color=red>CHP:</font> zaca = saca\n<font color=#2E8B57>ESP:</font> igual\n<font color=#FF8C00>ENG:</font> equal, alike
kunka, lank'uta	<font color=red>CHP:</font> zacra\n<font color=#2E8B57>ESP:</font> pelo fino del cuello\n<font color=#FF8C00>ENG:</font> soft hair on back of neck
tatakuran yanapiripa	<font color=red>CHP:</font> zaczti\n<font color=#2E8B57>ESP:</font> sacristán, jefe de la iglesia\n<font color=#FF8C00>ENG:</font> sacristan
yaq'a	<font color=red>CHP:</font> zajjwi\n<font color=#2E8B57>ESP:</font> orín\n<font color=#FF8C00>ENG:</font> urine
t'ijuña	<font color=red>CHP:</font> zajtz\n<font color=#2E8B57>ESP:</font> correr\n<font color=#FF8C00>ENG:</font> to run
ukhamaraki, -raki	<font color=red>CHP:</font> zakaz = zakal\n<font color=#2E8B57>ESP:</font> también\n<font color=#FF8C00>ENG:</font> also
q'ara pampaña	<font color=red>CHP:</font> zalawz\n<font color=#2E8B57>ESP:</font> tener frío de noche\n<font color=#FF8C00>ENG:</font> to be cold at night
saliniru	<font color=red>CHP:</font> zalniru\n<font color=#2E8B57>ESP:</font> salinero con llamas\n<font color=#FF8C00>ENG:</font> person transporting salt with llamas
jikhisiña	<font color=red>CHP:</font> zalz\n<font color=#2E8B57>ESP:</font> encontrarse con\n<font color=#FF8C00>ENG:</font> to meet, to run into
jikhtaptaña, jikhisiña	<font color=red>CHP:</font> zalz\n<font color=#2E8B57>ESP:</font> concubinarse\n<font color=#FF8C00>ENG:</font> to live together without being married
alkansaña	<font color=red>CHP:</font> zalz\n<font color=#2E8B57>ESP:</font> alcanzar (transporte)\n<font color=#FF8C00>ENG:</font> to catch (transport)
jamach'inak aycha	<font color=red>CHP:</font> zallk'a\n<font color=#2E8B57>ESP:</font> carne de aves silvestres\n<font color=#FF8C00>ENG:</font> meat from wild birds
samiri	<font color=red>CHP:</font> zamiri\n<font color=#2E8B57>ESP:</font> espíritu guardián\n<font color=#FF8C00>ENG:</font> guardian spirit
phuqhaña	<font color=red>CHP:</font> zamz\n<font color=#2E8B57>ESP:</font> dar gracia (rito de fertilidad)\n<font color=#FF8C00>ENG:</font> to give thanks (fertility ritual)
punku	<font color=red>CHP:</font> zana\n<font color=#2E8B57>ESP:</font> abertura de la entrada\n<font color=#FF8C00>ENG:</font> doorway, entrance opening
anqa, sankhu	<font color=red>CHP:</font> zancu\n<font color=#2E8B57>ESP:</font> afuera\n<font color=#FF8C00>ENG:</font> outside
sapamayni	<font color=red>CHP:</font> zapa\n<font color=#2E8B57>ESP:</font> cada\n<font color=#FF8C00>ENG:</font> each
sapamayni	<font color=red>CHP:</font> zapamayni\n<font color=#2E8B57>ESP:</font> cada uno\n<font color=#FF8C00>ENG:</font> each one
sarsillu	<font color=red>CHP:</font> zapana\n<font color=#2E8B57>ESP:</font> arete de hembras\n<font color=#FF8C00>ENG:</font> earring for female animals
sap'aña, waljak'aña, saxsak'ana	<font color=red>CHP:</font> zapana\n<font color=#2E8B57>ESP:</font> conjunto de trenzas\n<font color=#FF8C00>ENG:</font> several braids together
sapa arama	<font color=red>CHP:</font> zapazezi\n<font color=#2E8B57>ESP:</font> cada noche, cada tarde\n<font color=#FF8C00>ENG:</font> every night
sapuru	<font color=red>CHP:</font> zapuru\n<font color=#2E8B57>ESP:</font> cada día\n<font color=#FF8C00>ENG:</font> every day
thaya, llapi, ch'uñtapiña	<font color=red>CHP:</font> zaquilawz\n<font color=#2E8B57>ESP:</font> tener/sentir frío\n<font color=#FF8C00>ENG:</font> to be cold, to feel the cold
t'arwa	<font color=red>CHP:</font> zara\n<font color=#2E8B57>ESP:</font> vello de las partes genitales, vello pubiano\n<font color=#FF8C00>ENG:</font> pubic hair
sarxaña	<font color=red>CHP:</font> zarakz\n<font color=#2E8B57>ESP:</font> irse\n<font color=#FF8C00>ENG:</font> to go away, to leave
iskarlatina	<font color=red>CHP:</font> zarampiya\n<font color=#2E8B57>ESP:</font> sarampión\n<font color=#FF8C00>ENG:</font> measles
sat'ina, t'impu	<font color=red>CHP:</font> zat'ina\n<font color=#2E8B57>ESP:</font> timpu (plato típico)\n<font color=#FF8C00>ENG:</font> a typical Andean dish
yaq'aña, chhuxaña	<font color=red>CHP:</font> zawjz\n<font color=#2E8B57>ESP:</font> orinar\n<font color=#FF8C00>ENG:</font> to urinate
sumat saraña	<font color=red>CHP:</font> zcaaz\n<font color=#2E8B57>ESP:</font> caminar lentamente\n<font color=#FF8C00>ENG:</font> to walk slowly
jamp'atu	<font color=red>CHP:</font> zcara\n<font color=#2E8B57>ESP:</font> sapo\n<font color=#FF8C00>ENG:</font> toad
lip'iyayaña	<font color=red>CHP:</font> zcatz\n<font color=#2E8B57>ESP:</font> pegar, colar\n<font color=#FF8C00>ENG:</font> to glue
ustapiña	<font color=red>CHP:</font> zcjejtinz\n<font color=#2E8B57>ESP:</font> sentir dolor en todo el cuerpo\n<font color=#FF8C00>ENG:</font> to feel pain all over ones body
thayanti p'artata, chhujchhujkaña	<font color=red>CHP:</font> zcotz\n<font color=#2E8B57>ESP:</font> entumecerse por el frío\n<font color=#FF8C00>ENG:</font> to become numb from the cold
mayruru	<font color=red>CHP:</font> zcozi\n<font color=#2E8B57>ESP:</font> riñón\n<font color=#FF8C00>ENG:</font> kidney
mayruru	<font color=red>CHP:</font> zcozi\n<font color=#2E8B57>ESP:</font> ovalado\n<font color=#FF8C00>ENG:</font> oval shape
k'anasilla	<font color=red>CHP:</font> zcurpancho\n<font color=#2E8B57>ESP:</font> tipo de escarabajo (blanco y negro)\n<font color=#FF8C00>ENG:</font> type of beetle (black and white)
k'ana	<font color=red>CHP:</font> zcuru\n<font color=#2E8B57>ESP:</font> trenza\n<font color=#FF8C00>ENG:</font> braid
k'anaña	<font color=red>CHP:</font> zcurz\n<font color=#2E8B57>ESP:</font> trenzar\n<font color=#FF8C00>ENG:</font> to braid
k'uk'u, mich'a	<font color=red>CHP:</font> zcutu\n<font color=#2E8B57>ESP:</font> cóccix\n<font color=#FF8C00>ENG:</font> coccyx
kutiña	<font color=red>CHP:</font> zcutz\n<font color=#2E8B57>ESP:</font> volver, retornar\n<font color=#FF8C00>ENG:</font> to return
winkullt'aña	<font color=red>CHP:</font> zcutz\n<font color=#2E8B57>ESP:</font> amarrar patas de camélidos\n<font color=#FF8C00>ENG:</font> to tie legs of cameloids
willikipaña	<font color=red>CHP:</font> zcwajlz\n<font color=#2E8B57>ESP:</font> esparcir paja\n<font color=#FF8C00>ENG:</font> to scatter straw
mayjst'aña, taqi tuqut wayri	<font color=red>CHP:</font> zcwejrz = zquejrz\n<font color=#2E8B57>ESP:</font> cambiar de dirección, soplar de todas las direcciones (viento)\n<font color=#FF8C00>ENG:</font> to change directions, to blow from all directions (wind)
siqtasiña	<font color=red>CHP:</font> zeekz\n<font color=#2E8B57>ESP:</font> persignar\n<font color=#FF8C00>ENG:</font> to make the sign of the cross
mayiña	<font color=red>CHP:</font> zejjz\n<font color=#2E8B57>ESP:</font> cobrar en especie\n<font color=#FF8C00>ENG:</font> to charge/collect in kind
