abajo	Uray.
resbalar	Lluchkhay ~ lluchk'ay.
reservar	(guardar): waqaychay.\n(ocultar): pakay.
resfriarse	Chiriyakuy.
residir	Tiyay, yachakuy.
residuo	Puchu, puchun.
resina	Sach'ap wiqin.
respetar	Yupaychay.
respirar	Samay.
resplandor	K'anchay, llipikyay.
responder	Kutichiy, rimariy.
restante	Puchuq, puchun.
restituir	Kutichipuy.
restregar	Qaquy.
resucitar	Kawsariy.
resuello	Samay.
retardar	Unachiy, unayachiy.
retazo	Llik'i, ch'iqtay.
retirarse	Anchhukuy, achhuriy.
retoño	Yura, mallki.
retorcer	Q'iwiy.\n(el hilo): k'antiy, kawpuy.
retornar	Kutiy, kutichiy.
retozar	Pukllaykachay, phawaykachay.
retrasar	Qhipachiy.
retroceder	Kutiriy, qhipaman kutiy.
retumbar	T'uqyay.
reumatismo	Tullu unquy, tullu nanay.
reunir	Huñuy, tantay.
revelar	Willay.
reventar	T'uqyay.\n(la flor): phanchiy.
reverenciar	Yupaychay.
revivir	Kawsariy.
revolcarse	Qhuchpakachay.
rezagarse	Qhipakuy.
rezar	Mañakuy.
rico	Qhapaq, qullqiyuq.
riesgo	Ch'iki.
rincón	K'uchu.
riña	(de manos): maqanakuy.\n(de palabras): k'aminakuy, phiñakuy.
riñon	Ruru.
río	Mayu.
risa	Asiy.
robar	Suway.
robo	Suwasqa.
robusto	Kallpasapa, sinchi.
roca	Qaqa, wank'a.
rocío	Sulla.
rodar	Muyuy, sinkuy; suchuy.
rodear	Tumay, muyuriy.
rodilla	Qunqur, muqu.\n(ponerse de): qunquriy, qunquray.
roer	K'utkuy ~ k'uchkuy.
rogar	Mañay, mañakuy.
rojo	Puka.
rollo	Mayt'u.
romper	(cosa sólida): p'akiy.\n(telas): llik'iy, llipchiy.\n(hilo): p'itiy, tipiy.
ronco	Ch'aka.
ropa	P'acha.
rostro	Uya.
rotoso	Ratapa.
rubio	P'aqu, puka.
rueca	Pallqa, piruru.
rumiar	Kutipakuy.
sabandija	Uru.
saber	Yachay.
sabio	Hamawt'a, yachayniyuq.
saborear	Malliy, malliykuy.
sabroso	Misk'i.
sacar	Hurquy.
saciarse	Saksay.
sacudir	Chhapchiy, taspiy.
saeta	Wach'i.
sagaz	Yachaysapa.
sahumar	Q'usñichiy.
sal	Kachi.
salar	Kachichay.
salida	Lluqsina.
salir	Lluqsiy.
salitre	Qullpa.
saliva	Thuqay.
salpicar	Ch'allay, maqchiy.
saltar	P'itay, phaway.
saludar	Napaykuy.
salvador	Qispichiq.
sanar	Allichay.
sancochar	Wayk'uy, yanuy.
sandalia	Husut'a, usuta.
sangrar	Sirk'ay.
sangre	Yawar.
sano	Allin, qharilla.
sapo	Hamp'atu.
saquear	Waykay, suway.
sarna	Qaracha.
sarpullido	Muru-muru, mullkhu.
satisfacerse	Saksaykukuy.
sauce	Wayaw.
saúco	Rayan.
sebo	Wira.
seboso	Wirasapa.
secarse	Ch'akiy.
sed	Ch'akiy, yakunay.
sedimento	Qunchu.
segar	Rutuy.\n(el maíz): kallchay ~ karchay.
seguir	Qatiy.
según	Hina.
seguro	(cierto) Chiqaq.
seis	Suqta.
selva	Sach'a-sach'a.
semblante	Uyan, rikch'ay.
sembrar	Tarpuy.
semejante	Niraq, rikch'aq, kaqlla.
semen	Yumay.
sementera	Chakra.
semilla	Muhu, muru.
senectud	Rukuyay, yuyaqyay.\n(el hombre): machu kay, machuyay.\n(la mujer): paya kay, payayay.
seno	Uqllay, qhasqu.
sentarse	Tiyay, tiyakuy.
señal	Unancha, sananpa.
señalar	Sananpay, unanchay.
señor	Wiraqucha.
separar	Rakiy.
sepelio	Aya p'ampay.
sepultar	P'ampay.
sepultura	Aya p'ukru, aya uchku.
sequía	Ch'aki mit'a.
ser	Kay.
serpiente	Amaru, machaqway.
serranía	Sallqa.
sesgo	Wiksu, kinray.
seso	Ñutq'u.
sesudo	Yuyaysapa.
sí	Arí.
siega	Kallchay mit'a, rutuy.
siembra	Tarpuy mit'a.
siempre	Wiñay.
siete	Qanchis.
sífilis	Wanthi.
silbar	Wisyay, sukay.
silencio	Chunyaq, ch'inyaq.
silvestre	Sallqa, k'ita.
silla	Tiyana.
simultáneo	Kuska, kuskalla.
sitiar	Intuykuy, tumay.
sobaco	Wallwak'u.
sobar	Qaquy.
soberbia	Apuskachay.
sobornar	Waqllichiy.
sobra	Puchu.
sobrar	Puchuy.\n(exceder): yalliy, llalliy.
sobre	(encima) Hawa.
sobresaliente	Yalliq.
socavar	Hasp'iy, uchkuy.
socio	Kaq masi.
socorrer	Amachay.
sofocar	Ruphapakuy.
soga	Waskha.
sol	Inti.
soldar	Tinkiy, laqay, k'askachiy.
soledad	Sapan kay.
solicitar	Maskhapayay.
solidificarse	Tikayay.
sólido	Rumiyasqa.
solo	Sapan, sapallan.
soltar	Kachariy, paskay.
sollozar	Anchiy, waqay.
sombra	Llanthu.
sombrearse	Llanthukuy.
sonámbulo	Musphaq.
sonar	Uyarikuy, waqay.\n(sonarse la nariz): pichakuy.
sonrojarse	P'inqarikuy.
soñar	Musquy.
sopapear	Saqmay, lapyay, laqyay.
soplar	Phukuy.
sorber	Upiy, upuy, suquy.
sordera	Upayay.
sordomudo	Upa.
soso	Q'ayma, q'amya.
suave	Ñukñu.
suavizar	Llamp'uyachiy.
subir	Wichay, siqay.
subsanar	Allichay.
subsistir	Kakuy, kawsakuy.
sucesor	Qatiq, rantin.
sudar	Hump'iy.
suelo	Pampa.
suelto	Kacharisqa, paskasqa.
sueño	(dormir): puñuy.\n(soñar): musquy.
suerte	(buena) Sami.
sufrir	Ñak'ariy, muchuy.
suicidarse	Wañuchikuy.
sumar	Huñuy, yapay.
sumergir	Challpuy.
sumiso	Uyakuq.
superar	Yalliy, atipay.
superficie	Muyuynin.
superior	Qullana.
suplicar	Mañakuy.
suprimir	Qulluchiy, chinkachiy.
surcar	Suk'ay, yapuy.
surco	Suk'a.
suspirar	Anchiy.
sustento	Mikhuna, kawsay.
sustituto	Ranti.
susto	Manchay.
sustraer	Rakiy, t'aqay.
tabaco	Sayri.
tacaño	Mich'a.
tajar	Kuchuy.
taladrar	Hutk'uy, uchkuy.
talega	Wayaqa, ch'uspa.
talla	Sayay.
tamaño	Chhikan.
tamboril	Tinya.
tamiz	Suysuna.
tanto	Chhika.
tapadera	Kirpana, kirpakuq.
tapar	Kirpay.\n(con la tierra): p'ampay.\n(con lodo): llut'ay.\n(abrigar): qatay.\n(encubrir): pakay.
tapia	Pirqa.
tapir	Sach'a waka.
tardar	Unay, unakuy.
tarde	Ch'isi.
tartamudo	Hakllu, akllu.
tasajo	Ch'arki.
tasar	Chaninchay.
tea	K'anchachina, akchikuq.
techar	Wasi qatay.
tejer	Away.
tela	Awasqa.
telaraña	Llika.
temblar	Chukukukuy, khatkatay.
temblor	Pacha kuyuy.
temer	Manchay.
temor	Manchay.
tender	Mant'ay, mast'ay, masay.
tenderse	Sirikuy, waqtapakuy.
tendón	Hank'u.
tener	(poseer) Kapuy,uyway.
tentación	Watiqay.
teñir	Tullpuy.
terciana	Chukchu.
terminar	Tukuy, p'uchukay.
terremoto	Pacha kuyuy.
terreno	Allpa, chakra.
terrible	Manchana.
terrón	K'urpa.
testa	Uma.
testículo	Q'uruta, runtu.
teta	Ñuñu, chuchu.
tibia	Chaki tullu.
tiempo	Pacha.
tierno	Llullu, llamp'u.
tierra	(planeta): tiqsi muyu, pacha.\n(suelo): pampa, allpa.\n(de sembrío): chakra.
tiesto	K'analla, kallana.
tigre	Uturunku.
tímido	Llakllaq, manchaq.
tinaja	Urpu, raki.
tirar	(arrojar): chuqay, chamqay.\n(jalar): chutay, aysay.\n(con arma): t'uqyachiy.\n(con honda): warak'ay.
tiritar	Khatatay.
tizne	Qhichincha, qitya.
tocar	(la puerta): takay.\n(un instrumento musical): waqachiy.\n(palpar): llamkhay.\n(manosear): llapiy.
todo	Llapan, tukuy.
todopoderoso	Llapan atiq.
tomar	(coger): hap'iy.\n(aceptar): chaskiy.\n(beber): upyay.
tonto	P'anra, upa.
toparse	Tinkunakuy.
torcer	Q'iwiy.\n(la lana): k'antiy, kawpuy.
tordo	Chiwaku.
torre	(fortaleza) Pukara.
tórtola	Kullku.
tos	Uhu.
tostado	(maíz) Hamk'a, kamcha.
total	Llapantin, huñuntin.
trabajar	Llamk'ay, ruray.
traer	(una cosa): apamuy, aysamuy.\n(una persona): pusay, pusamuy.
tragar	Millp'uy.
trama	(tejido) Mini.
trampa	Tuqlla.
tranca	Q'imina.
tranquilizar	Sunquyachiykuq, hawkayachiykuq.
transeúnte	Puriq, purikuq.
transitable	Purinalla.
transparente	Ch'uya.
transpirar	Hump'iy.
trapo	Ratapa.
tráquea	Tunquri.
trasegar	Hillp'uy, talliy.
trasero	Siki.
trasladar	(allá): apay, astay.\n(acá): apamuy, astamuy.
traspasar	(con un objeto). T'urpuy, tuksiy.
trasquilar	Rutuy, kuchuy.
trastornarse	Musphakuy.
través	Kinrayninta.
travieso	Pukllakachaq.
trenza	Simp'a.
trenzar	Simp'ay.
trepar	Lluqay, siqay.
tres	Kimsa.
trillar	Saruy, saruchiy.
trinar	Wichichichiy, pichiwyay.
tripa	Ch'unchull, ch'unchulli.
triste	Llakisqa, phutisqa.
tristeza	Llakiy, llakikuy.
triturar	Chamqay.
triunfar	Atiy.
trocar	Rantiy, chhalay, yankiy.
troja	Qullqa, pirwa.
trompear	Saqmay, takay.
tronco	K'ullu, k'aspi.
tropezar	Mitk'ay.
tú	Qam.
tuerto	Ch'ulla ñawi.
tumbar	Urmachiy, saqtay.
tumor	Ch'upu.
turbio	Q'ata, qhunchu, putka.
turnarse	Mit'anakuy.
turno	Mit'a.
ubre	Ñuñu.
último	P'uchukaq.
uncir	Watay, t'inkiy.
único	Sapan, sapallan.
unidad	Huk kay.
unificar	Hukllachay.
unir	Huñuy, hukllachay, t'inkirquy.
uno	Huk.
untar	Llusiy.
unto	Wira.
uña	Sillu.
urdir	Allwiy.
usado	(objeto) Mawk'a.
usurpar	Qichupakuy, waykarquy.
útil	Allin.
vaca	Waka.
vaciar	Talliy, hillp'uy.
vacío	Ch'usaq.
vacilar	Iskayay.
vadear	Chimpay.
vago	Purikuq.
vagina	Raka, chupi.
vaho	Wapsiy.
valiente	Sinchi.
valor	(de las cosas): chanin.\n(virtud): sinchi kay.
vampiro	Masu.
vanamente	Yanqalla.
vapor	Wapsiy.
variar	Hukman rikch'achiy.
varón	Qhari.
vasija	P'uyñu, urpu.
vedar	Hark'ay, amaniy.
vejez	(del varón): machuyay.\n(de la mujer): payayay.\n(de las cosas): mawk'ayay.
veloz	K'uchi, wayralla.
vello	Millma, millwa.
vena	Sirk'a.
venado	Taruka, lluychu, luychu.
vencer	Atipay.
vender	Rantiy, rantikuy.
veneno	Miyu.
venerar	Yupaychay.
venir	Hamuy.
ventaja	Llalliy, yalliy.
ventana	T'uqu.
ventear	Wayrachiy.
ventosear	Supiy.
ventura	Kusi, sami.
ver	Rikuy, qhaway.
verdad	Chiqan.
verde	Q'umir.
vergüenza	P'inqay.
verruga	Tikti.
verter	Hillp'uy, talliy.
vestido	P'acha.
vestigio	Yupi.
vez	Kuti, mit'a.
vía	Ñan.
viajar	Puriy, illay.
viajero	Puriq.
vianda	Mikhuna.
víbora	Katari.
vida	Kawsay.
vidrio	Qispi.
vieja	Paya.
viejo	Machu.
viento	Wayra.
vientre	Wiksa.
vigilar	Qhawapayay.
vigor	Kallpa.
virtud	Allin kay.
viruela	Muru unquy.
visible	Rikunalla, qhawanalla.
visitar	Watukuy, napaykuy.
vista	Rikuy, qhaway.
vivienda	Wasi.
viviente	Kawsaq.
vivir	Kawsay.
vocablo	Simi, rimay.
vocear	Waqyaykachay, qayaykachay.
volar	Phaway.
volcar	T'ikray.
voltear	(una prenda): t'ikray.\n(dar vueltas): muyuy.
voluntad	Munay.
volver	(regresar allá): kutiy, kutiriy.\n(regresar acá): kutimuy, kutirimuy.
vomitar	Wikch'upakuy, wischuy.
voz	Kunka, rimay.
vuelo	Phaway.
vuelta	Muyuy, kutiy.
yacer	Chutarayay.
yerba	Qura, qachun.
yermo	Purun.
yerno	Qatay, masa.
yerro	Pantay.
yerto	Chutarayaq, chiriyasqa.
yeso	Pachas.
yo	Ñuqa.
zambullirse	Challpuy, challpukuy.
zancudo	Wanwan.
zángano	Qilla.
zapatear	Tusuy, qhachway.
zonzo	P'anra, upa.
zorro	Atuq.
zorrillo	Añas.
zorzal	Chiwaku.
zurdo	Lluq'i maki, ichuq maki.
zurrar	Waqtay, hasut'iy.
zurriago	Hasut'i, wipyana.
zurrón	Ch'uspa.
